package_id,package,equipment_id,equipment_tag,component_type_id,component_type_name,quantity,component_id,component_name,component_model,component_manufacturer_name,bod_manufacturer_name
11489003-7484-4b42-8c51-1e611d0a1d6b,"Packaged, Indirect-Fired, Outdoor, Heating-Only Makeup-Air Units",fe4c53bc-5a6d-4a7c-bf22-052d788da232,MAU-03,8574f153-3f51-45d4-811b-3fb57d73280b,"Packaged, Indirect-Fired, Outdoor, Heating-Only Makeup-Air Units",0,2ff56681-0c88-4740-b280-aa5b0e4befa0,SFA10-EHIDX,SFA10-EHIDX,SPRING AIR,
11489003-7484-4b42-8c51-1e611d0a1d6b,"Packaged, Indirect-Fired, Outdoor, Heating-Only Makeup-Air Units",306b6cde-47a4-41d5-a7ff-fceb3f87e98d,MAU-01,8574f153-3f51-45d4-811b-3fb57d73280b,"Packaged, Indirect-Fired, Outdoor, Heating-Only Makeup-Air Units",0,52d45225-d2e2-4b38-84fa-7c3b218ac9bc,EDT-650/D2O/O,EDT-650/D2O/O,ENVENT,
11489003-7484-4b42-8c51-1e611d0a1d6b,"Packaged, Indirect-Fired, Outdoor, Heating-Only Makeup-Air Units",a03d3d7c-62e7-42d9-b077-56a577827f8d,MAU-02,8574f153-3f51-45d4-811b-3fb57d73280b,"Packaged, Indirect-Fired, Outdoor, Heating-Only Makeup-Air Units",0,2ff56681-0c88-4740-b280-aa5b0e4befa0,SFA10-EHIDX,SFA10-EHIDX,SPRING AIR,
5f71ab4a-6f00-4a02-ae35-28763525a4b8,Condensing Boilers,d02f3032-9f5f-458c-bc47-182332186a9c,B-2,a8f2e2f0-870a-494f-86ad-900740254871,Condensing Boilers,0,07fd49ba-bdc3-4bc4-b1e7-31a614d88957,FB2001,FB2001,Lochinvar,
5f71ab4a-6f00-4a02-ae35-28763525a4b8,Condensing Boilers,91979551-4bc6-47c6-8c60-428a8367c12b,B-1,a8f2e2f0-870a-494f-86ad-900740254871,Condensing Boilers,0,07fd49ba-bdc3-4bc4-b1e7-31a614d88957,FB2001,FB2001,Lochinvar,
2f468aa2-03fc-4a29-b4ea-f60ce7002529,Duct Silencers,b79749d4-2cd5-4cb8-bdf1-d5824a7ffc39,SL-MAU-01,fac453a4-7ebf-4610-8ac4-78ba44872cc4,Duct Silencers,0,adef0f7d-abf9-44df-a121-f23af632fe76,RH96/2F,RH96/2F,Price Industries,
4aafe6a3-4289-4951-862d-ab969d6fbd35,Variable Refrigerant Flow Systems,61a7dc78-74b8-42c7-925a-53eb19c60ef3,CU-P1.5,6e8977c7-aa28-4436-9fa4-2e23e0d5d07e,VRF Outdoor Units,0,aecf8678-cf7d-40e8-ba85-83ad12c548af,RXYQ72AATJB,RXYQ72AATJB,Daikin AC,
4aafe6a3-4289-4951-862d-ab969d6fbd35,Variable Refrigerant Flow Systems,41565606-78de-413c-bf7a-ba6e892d3f98,FC-L-1.5- 04,f5f15013-f094-4ee0-8435-70d145807388,Variable Refrigerant Flow Systems,0,bb5f180d-31de-4499-a809-8aaaad6e8b6a,FXSQ18TBVJU,FXSQ18TBVJU,Daikin Comfort Technologies (VRV and Mini Split),
4aafe6a3-4289-4951-862d-ab969d6fbd35,Variable Refrigerant Flow Systems,40e483ff-271e-43e5-b0a8-1425d912e4bb,FC-GF- 09,a08a70f9-5010-4e72-b96c-3916f4072e32,Fan Coil Units,0,ab6c3365-3f25-4bd4-b3fd-658089917751,FXSQ12TBVJU,FXSQ12TBVJU,Daikin Comfort Technologies (VRV and Mini Split),
4aafe6a3-4289-4951-862d-ab969d6fbd35,Variable Refrigerant Flow Systems,672be57f-fd5b-488d-a905-56253ba63bfd,CU-L2-B,f5f15013-f094-4ee0-8435-70d145807388,Variable Refrigerant Flow Systems,0,23c1bcd1-0128-4df7-bcbb-234d5b10ce4d,RXYQ240AATJB,RXYQ240AATJB,Daikin Applied,
4aafe6a3-4289-4951-862d-ab969d6fbd35,Variable Refrigerant Flow Systems,b4536543-1815-4567-ae98-6e13ee40ae1e,FC-GF- 02,f5f15013-f094-4ee0-8435-70d145807388,Variable Refrigerant Flow Systems,0,b37509da-1ae3-411f-9920-081c14faa696,FXSQ30TBVJU,FXSQ30TBVJU,Daikin Comfort Technologies (VRV and Mini Split),
4aafe6a3-4289-4951-862d-ab969d6fbd35,Variable Refrigerant Flow Systems,e714dd2d-4486-415a-b129-1a2e7e950581,FC-L3-04,f5f15013-f094-4ee0-8435-70d145807388,Variable Refrigerant Flow Systems,0,d5e59aff-f25e-4e8b-b4df-9c564e3b00c0,FXMQ96MVJU,FXMQ96MVJU,Daikin Comfort Technologies (VRV and Mini Split),
4aafe6a3-4289-4951-862d-ab969d6fbd35,Variable Refrigerant Flow Systems,4516252f-67ef-47fa-8738-a6d0272b00cc,FC-L3-02,f5f15013-f094-4ee0-8435-70d145807388,Variable Refrigerant Flow Systems,0,b37509da-1ae3-411f-9920-081c14faa696,FXSQ30TBVJU,FXSQ30TBVJU,Daikin Comfort Technologies (VRV and Mini Split),
4aafe6a3-4289-4951-862d-ab969d6fbd35,Variable Refrigerant Flow Systems,52ab4d8d-307d-43bd-a6c0-e7de4ced7237,FC-GF- 07,a08a70f9-5010-4e72-b96c-3916f4072e32,Fan Coil Units,0,ab6c3365-3f25-4bd4-b3fd-658089917751,FXSQ12TBVJU,FXSQ12TBVJU,Daikin Comfort Technologies (VRV and Mini Split),
4aafe6a3-4289-4951-862d-ab969d6fbd35,Variable Refrigerant Flow Systems,6e7794ad-4024-4c02-87c4-804ecaaa217b,FC-L2-04,4a80002b-1eb1-457d-9a4d-4aa96d873248,VRF Indoor Units - Ducted,0,56f2020a-3c24-4a7d-be71-31e311b3a69e,FXSQ48TBVJU,FXSQ48TBVJU,Daikin AC,
4aafe6a3-4289-4951-862d-ab969d6fbd35,Variable Refrigerant Flow Systems,df601cc4-faaf-41ba-8ad5-ebf4a33ff9be,FC-L3-01,4a80002b-1eb1-457d-9a4d-4aa96d873248,VRF Indoor Units - Ducted,0,56f2020a-3c24-4a7d-be71-31e311b3a69e,FXSQ48TBVJU,FXSQ48TBVJU,Daikin AC,
4aafe6a3-4289-4951-862d-ab969d6fbd35,Variable Refrigerant Flow Systems,abc82a48-890a-4fc1-9e53-4f67b0f1be28,FC-L-1.5- 01,f5f15013-f094-4ee0-8435-70d145807388,Variable Refrigerant Flow Systems,0,bb5f180d-31de-4499-a809-8aaaad6e8b6a,FXSQ18TBVJU,FXSQ18TBVJU,Daikin Comfort Technologies (VRV and Mini Split),
4aafe6a3-4289-4951-862d-ab969d6fbd35,Variable Refrigerant Flow Systems,240e284a-3654-470f-800e-b843c9e3d990,FC-L2-02,f5f15013-f094-4ee0-8435-70d145807388,Variable Refrigerant Flow Systems,0,d5e59aff-f25e-4e8b-b4df-9c564e3b00c0,FXMQ96MVJU,FXMQ96MVJU,Daikin Comfort Technologies (VRV and Mini Split),
4aafe6a3-4289-4951-862d-ab969d6fbd35,Variable Refrigerant Flow Systems,29051c9e-a0a0-4a47-a59a-674896b97b6c,AC-L2-01,f5f15013-f094-4ee0-8435-70d145807388,Variable Refrigerant Flow Systems,0,f97c6da8-44cd-4395-9e60-0942e3b90a91,FXSA18AAVJU,FXSA18AAVJU,Daikin AC,
4aafe6a3-4289-4951-862d-ab969d6fbd35,Variable Refrigerant Flow Systems,6aede28b-cbb2-4333-8307-4d41a6f98aab,FC-L2-08,4a80002b-1eb1-457d-9a4d-4aa96d873248,VRF Indoor Units - Ducted,0,56f2020a-3c24-4a7d-be71-31e311b3a69e,FXSQ48TBVJU,FXSQ48TBVJU,Daikin AC,
4aafe6a3-4289-4951-862d-ab969d6fbd35,Variable Refrigerant Flow Systems,3610f721-33cb-4d4c-8537-33d23fc7f064,FC-L3-05,f5f15013-f094-4ee0-8435-70d145807388,Variable Refrigerant Flow Systems,0,d5e59aff-f25e-4e8b-b4df-9c564e3b00c0,FXMQ96MVJU,FXMQ96MVJU,Daikin Comfort Technologies (VRV and Mini Split),
4aafe6a3-4289-4951-862d-ab969d6fbd35,Variable Refrigerant Flow Systems,228594e4-26e7-46f4-b591-3a3645c7a071,FC-L2-07,4a80002b-1eb1-457d-9a4d-4aa96d873248,VRF Indoor Units - Ducted,0,56f2020a-3c24-4a7d-be71-31e311b3a69e,FXSQ48TBVJU,FXSQ48TBVJU,Daikin AC,
4aafe6a3-4289-4951-862d-ab969d6fbd35,Variable Refrigerant Flow Systems,199113e9-083f-46db-a098-86a6338da433,FC-GF- 01,a08a70f9-5010-4e72-b96c-3916f4072e32,Fan Coil Units,0,ab6c3365-3f25-4bd4-b3fd-658089917751,FXSQ12TBVJU,FXSQ12TBVJU,Daikin Comfort Technologies (VRV and Mini Split),
4aafe6a3-4289-4951-862d-ab969d6fbd35,Variable Refrigerant Flow Systems,2dc535f9-d5f2-4f6c-9d99-c8aeead9446d,CU-L3-B,f5f15013-f094-4ee0-8435-70d145807388,Variable Refrigerant Flow Systems,0,042a6683-0549-4c21-afca-f731257631f6,RXYQ192AATJB,RXYQ192AATJB,Daikin Applied,
