equipment_id,equipment_tag,component_type_id,component_type_name,quantity,component_id,component_name,component_model,component_manufacturer_name,bod_manufacturer_name
30d3d007-b02c-4564-8431-0eb2c8f489b5,EF-L4.5-07,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,0,4b92ea6a-6173-4d81-9d23-6c0cbdb8238f,Z9H,Z9H,PennBarry,
064d0dad-14e4-4c1f-94e8-a591f034f469,EF-L3-01,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,0,1deb50d0-b424-4b44-899f-a4bf0efcf41c,SX085S,SX085S,PennBarry,
d11e7a72-db01-498a-a563-3f87914399e0,EF-L1.5-10,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,0,4b92ea6a-6173-4d81-9d23-6c0cbdb8238f,Z9H,Z9H,PennBarry,
b4ba8e9e-10a0-49fd-abc3-2dbd6818da45,EF-L1.5-12,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,0,ddfe0061-ba55-455c-9f35-1435565f0f63,SX095Q,SX095Q,PennBarry,
fcc62fd1-51d3-4dd2-a0fe-83f62ed51483,EF-L1.5-07,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,0,4b92ea6a-6173-4d81-9d23-6c0cbdb8238f,Z9H,Z9H,PennBarry,
94fa79e4-09f3-4007-bf7b-09e2e92db22c,EF-L1.5-09,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,0,4b92ea6a-6173-4d81-9d23-6c0cbdb8238f,Z9H,Z9H,PennBarry,
977b53de-17ce-4b58-bc1a-ab93db27cd59,EF-L2-02,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,0,68f67d9a-c66b-4774-b36e-1989cd6ccd34,SX095R,SX095R,PennBarry,
5b2d4f57-d7f6-442f-9231-bcdcd654b8a4,EF-L2.5-02,325195ec-2b34-47df-8649-72c4d599c693,Axial HVAC Fans,0,b5bfd06a-ef02-4c84-8e0d-3ab30bac7bd0,BC30T1,BC30T1,PennBarry,
da6e7872-9b1e-4340-96c8-8c838f2592d0,EF-A,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,0,c8fd05e6-23ca-4a45-9bcb-5e969de9c7fe,BND130SS,BND130SS,Broan-NuTone,
454853fb-415c-41c6-b066-d7521b2a21e2,EF-L1.5-08,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,0,4b92ea6a-6173-4d81-9d23-6c0cbdb8238f,Z9H,Z9H,PennBarry,
