package_id,package,equipment_id,equipment_tag,component_type_id,component_type_name,quantity,component_id,component_name,component_model,component_manufacturer_name,bod_manufacturer_name
cbc32200-0689-4341-82e7-90605f5fb7ca,EXHAUST FAN SCHEDULE,3ea089a7-ac2f-4a5e-b08c-f7889601c782,EF2-H-06,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,0,80afa989-45fb-439b-8f95-fc2111b78093,G-097-VG,G-097-VG,Greenheck,Greenheck
cbc32200-0689-4341-82e7-90605f5fb7ca,EXHAUST FAN SCHEDULE,123373f0-5530-47ba-9813-c9455151baa7,EF2-H-01,70453ac9-069e-4574-9d1e-42bbfd7fb5a9,HVAC Power Ventilators,0,e9cea24b-a393-4d19-880a-f1191e4245a7,G-095-VG,G-095-VG,Greenheck,Greenheck
cbc32200-0689-4341-82e7-90605f5fb7ca,EXHAUST FAN SCHEDULE,295c9df4-0222-4532-b806-9cb81acd0c13,EF2-H-03,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,0,338b81a3-e7dd-4d78-8dbc-7692602d088a,G-160-VG,G-160-VG,Greenheck,Greenheck
cbc32200-0689-4341-82e7-90605f5fb7ca,EXHAUST FAN SCHEDULE,e0af477c-8d05-4f06-bacd-c1fd58329915,EF2-H-05,70453ac9-069e-4574-9d1e-42bbfd7fb5a9,HVAC Power Ventilators,0,a0e4e2b8-9e53-4157-a761-17106d93e6f7,G-080-VG,G-080-VG,Greenheck,Greenheck
cbc32200-0689-4341-82e7-90605f5fb7ca,EXHAUST FAN SCHEDULE,5e9f973c-9394-48cb-bf6f-6abf55dd7a5c,EF2-H-07,70453ac9-069e-4574-9d1e-42bbfd7fb5a9,HVAC Power Ventilators,0,e9cea24b-a393-4d19-880a-f1191e4245a7,G-095-VG,G-095-VG,Greenheck,Greenheck
cbc32200-0689-4341-82e7-90605f5fb7ca,EXHAUST FAN SCHEDULE,b1849545-22d5-4247-a5b8-b1b5924e5f48,EF2-H-02,70453ac9-069e-4574-9d1e-42bbfd7fb5a9,HVAC Power Ventilators,0,40d54784-34e3-4573-b2ab-c95883e9bda7,G-120-VG,G-120-VG,Greenheck,Greenheck
cbc32200-0689-4341-82e7-90605f5fb7ca,EXHAUST FAN SCHEDULE,90b781e1-8733-4547-bdcc-b7fec9b9e3ea,EF2-H-04,70453ac9-069e-4574-9d1e-42bbfd7fb5a9,HVAC Power Ventilators,0,a0e4e2b8-9e53-4157-a761-17106d93e6f7,G-080-VG,G-080-VG,Greenheck,Greenheck
17cff490-f25d-410e-af62-18c5c54ab367,RTU SCHEDULE,ca252fb3-12de-4e1b-a8aa-53f4c2b8f121,RTU2-XXY-1,c9f534b8-3836-487c-b8c4-6faa10e0b1f2,Packaged Rooftop Air-Conditioning Units,0,0eaaa75d-7ba7-4bca-aaa2-2c2bc33f7baf,RNA-020-C,RNA-020-C,AAON,AAON
17cff490-f25d-410e-af62-18c5c54ab367,RTU SCHEDULE,1df7a898-12cb-41e6-b996-385e3c36ddd0,RTU2-XXY-03,c9f534b8-3836-487c-b8c4-6faa10e0b1f2,Packaged Rooftop Air-Conditioning Units,0,0eaaa75d-7ba7-4bca-aaa2-2c2bc33f7baf,RNA-020-C,RNA-020-C,AAON,AAON
17cff490-f25d-410e-af62-18c5c54ab367,RTU SCHEDULE,407504f0-2095-4703-a43d-9be0e6aadff8,RTU2-XXY-2,c9f534b8-3836-487c-b8c4-6faa10e0b1f2,Packaged Rooftop Air-Conditioning Units,0,be947086-c0cf-44b7-82f4-d854d1039e4a,RNA-016-C,RNA-016-C,AAON,AAON
17cff490-f25d-410e-af62-18c5c54ab367,RTU SCHEDULE,dd2f8684-0c5b-4d5c-af36-e553f09cc844,RTU2-XXY-04,c9f534b8-3836-487c-b8c4-6faa10e0b1f2,Packaged Rooftop Air-Conditioning Units,0,0eaaa75d-7ba7-4bca-aaa2-2c2bc33f7baf,RNA-020-C,RNA-020-C,AAON,AAON
17cff490-f25d-410e-af62-18c5c54ab367,RTU SCHEDULE,9e3c4770-2abe-4cac-88f4-f23ffc407a8a,RTU2-A100/200-1,c9f534b8-3836-487c-b8c4-6faa10e0b1f2,Packaged Rooftop Air-Conditioning Units,0,bd861631-bc77-4942-be51-659baf15f9c1,RNA-060-D,RNA-060-D,AAON,AAON
f7e8f407-0fd1-4d3d-b3ec-83fba78c2211,UNIT HEATER SCHEDULE,c300e2e2-813b-4d7c-84a0-26fda2b9a2b4,UH2-220-01,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,0,98cb53c2-3863-4751-8cbe-14df38cd6285,HUHAA-548,HUHAA-548,Berko,Berko
f7e8f407-0fd1-4d3d-b3ec-83fba78c2211,UNIT HEATER SCHEDULE,ba4f90de-b11c-4cf8-b609-57c4466c9330,UH2-133-01,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,0,98cb53c2-3863-4751-8cbe-14df38cd6285,HUHAA-548,HUHAA-548,Berko,Berko
f7e8f407-0fd1-4d3d-b3ec-83fba78c2211,UNIT HEATER SCHEDULE,8cf8ccf5-2650-46a3-bc3f-ce82a9921f4b,UH2-120-01,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,0,98cb53c2-3863-4751-8cbe-14df38cd6285,HUHAA-548,HUHAA-548,Berko,Berko
f7e8f407-0fd1-4d3d-b3ec-83fba78c2211,UNIT HEATER SCHEDULE,fd999d96-b7f1-47be-bff7-fee387c02ae3,UH2-101-02,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,0,98cb53c2-3863-4751-8cbe-14df38cd6285,HUHAA-548,HUHAA-548,Berko,Berko
f7e8f407-0fd1-4d3d-b3ec-83fba78c2211,UNIT HEATER SCHEDULE,a1e6ee4a-5d96-4c64-a1c3-caddcddbf93c,UH2-101-01,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,0,98cb53c2-3863-4751-8cbe-14df38cd6285,HUHAA-548,HUHAA-548,Berko,Berko
f7e8f407-0fd1-4d3d-b3ec-83fba78c2211,UNIT HEATER SCHEDULE,b2e96771-6ce0-49c1-a9ff-df17382d95dd,UH2-S04-01,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,0,98cb53c2-3863-4751-8cbe-14df38cd6285,HUHAA-548,HUHAA-548,Berko,Berko
f7e8f407-0fd1-4d3d-b3ec-83fba78c2211,UNIT HEATER SCHEDULE,91358d3f-70b3-4e96-8cc4-2f0852a26f4b,UH2-260-02,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,0,98cb53c2-3863-4751-8cbe-14df38cd6285,HUHAA-548,HUHAA-548,Berko,Berko
f7e8f407-0fd1-4d3d-b3ec-83fba78c2211,UNIT HEATER SCHEDULE,cabbeb9b-1da3-4339-a244-4fea8f1d214b,UH2-S08-01,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,0,98cb53c2-3863-4751-8cbe-14df38cd6285,HUHAA-548,HUHAA-548,Berko,Berko
f7e8f407-0fd1-4d3d-b3ec-83fba78c2211,UNIT HEATER SCHEDULE,1f173806-15df-4824-9289-3170217a612f,UH2-180-01,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,0,98cb53c2-3863-4751-8cbe-14df38cd6285,HUHAA-548,HUHAA-548,Berko,Berko
f7e8f407-0fd1-4d3d-b3ec-83fba78c2211,UNIT HEATER SCHEDULE,ec604001-b482-4c06-9363-20e3dda3bcfa,UH2-S05-01,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,0,98cb53c2-3863-4751-8cbe-14df38cd6285,HUHAA-548,HUHAA-548,Berko,Berko
f7e8f407-0fd1-4d3d-b3ec-83fba78c2211,UNIT HEATER SCHEDULE,52720f12-20ac-4405-bc96-a9f1f8659824,UH2-160-01,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,0,98cb53c2-3863-4751-8cbe-14df38cd6285,HUHAA-548,HUHAA-548,Berko,Berko
f7e8f407-0fd1-4d3d-b3ec-83fba78c2211,UNIT HEATER SCHEDULE,461dd517-becd-4a24-b6a8-45a484737040,UH2-S02-01,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,0,98cb53c2-3863-4751-8cbe-14df38cd6285,HUHAA-548,HUHAA-548,Berko,Berko
f7e8f407-0fd1-4d3d-b3ec-83fba78c2211,UNIT HEATER SCHEDULE,9529f1b9-62d5-4bb5-af2e-843ad89f28c2,UH2-185-01,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,0,98cb53c2-3863-4751-8cbe-14df38cd6285,HUHAA-548,HUHAA-548,Berko,Berko
f7e8f407-0fd1-4d3d-b3ec-83fba78c2211,UNIT HEATER SCHEDULE,abc3e6ac-8fb5-41f4-9f9b-56c285df7dac,UH2-280-01,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,0,98cb53c2-3863-4751-8cbe-14df38cd6285,HUHAA-548,HUHAA-548,Berko,Berko
f7e8f407-0fd1-4d3d-b3ec-83fba78c2211,UNIT HEATER SCHEDULE,77493fe6-c098-4e76-94b7-761597bd881f,UH2-133-03,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,0,98cb53c2-3863-4751-8cbe-14df38cd6285,HUHAA-548,HUHAA-548,Berko,Berko
f7e8f407-0fd1-4d3d-b3ec-83fba78c2211,UNIT HEATER SCHEDULE,f90944c1-0a9b-4dcf-8f8e-a5d4318efe70,UH2-133-02,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,0,98cb53c2-3863-4751-8cbe-14df38cd6285,HUHAA-548,HUHAA-548,Berko,Berko
f7e8f407-0fd1-4d3d-b3ec-83fba78c2211,UNIT HEATER SCHEDULE,ea5c9b85-171b-40d0-b760-dc642b2d61ce,UH2-260-01,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,0,98cb53c2-3863-4751-8cbe-14df38cd6285,HUHAA-548,HUHAA-548,Berko,Berko
f7e8f407-0fd1-4d3d-b3ec-83fba78c2211,UNIT HEATER SCHEDULE,429238e4-c5a7-4e77-8c24-1c832bf4b981,UH2-220-02,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,0,98cb53c2-3863-4751-8cbe-14df38cd6285,HUHAA-548,HUHAA-548,Berko,Berko
f7e8f407-0fd1-4d3d-b3ec-83fba78c2211,UNIT HEATER SCHEDULE,b8141854-3a6c-4a8e-b7d5-ce3da737849c,UH2-S06-01,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,0,98cb53c2-3863-4751-8cbe-14df38cd6285,HUHAA-548,HUHAA-548,Berko,Berko
f7e8f407-0fd1-4d3d-b3ec-83fba78c2211,UNIT HEATER SCHEDULE,c1a525b0-96f5-43cf-a360-7317a560f03c,UH2-102-01,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,0,98cb53c2-3863-4751-8cbe-14df38cd6285,HUHAA-548,HUHAA-548,Berko,Berko
f7e8f407-0fd1-4d3d-b3ec-83fba78c2211,UNIT HEATER SCHEDULE,0f85fb6f-faf7-44d2-90aa-1760c943e519,UH2-S07-01,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,0,98cb53c2-3863-4751-8cbe-14df38cd6285,HUHAA-548,HUHAA-548,Berko,Berko
f7e8f407-0fd1-4d3d-b3ec-83fba78c2211,UNIT HEATER SCHEDULE,e0a1ed2c-8649-4235-8a4e-37b47ecfba09,UH2-S03-01,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,0,98cb53c2-3863-4751-8cbe-14df38cd6285,HUHAA-548,HUHAA-548,Berko,Berko
24a404c2-be04-4e9c-9cf9-28ed73ae2eb4,DOAS SCHEDULE,b8e96b51-7084-48c1-a863-0452c398e0aa,DOAS2-140/240-1,4295a092-463f-41a9-a5c9-3da05f1d954a,DOAS Equipment,0,51c0043c-bca4-4aa5-8e0d-193525c7ab36,RNA-040-D,RNA-040-D,AAON,AAON
24a404c2-be04-4e9c-9cf9-28ed73ae2eb4,DOAS SCHEDULE,659aedc2-7432-4cf1-978b-f51bd6214f1f,DOAS2-120/220-01,4295a092-463f-41a9-a5c9-3da05f1d954a,DOAS Equipment,0,51c0043c-bca4-4aa5-8e0d-193525c7ab36,RNA-040-D,RNA-040-D,AAON,AAON
24a404c2-be04-4e9c-9cf9-28ed73ae2eb4,DOAS SCHEDULE,4d4b1042-60dd-46a8-9430-dc06544082e9,DOAS2-150/250-01,4295a092-463f-41a9-a5c9-3da05f1d954a,DOAS Equipment,0,51c0043c-bca4-4aa5-8e0d-193525c7ab36,RNA-040-D,RNA-040-D,AAON,AAON
24a404c2-be04-4e9c-9cf9-28ed73ae2eb4,DOAS SCHEDULE,93fa481c-2e7d-408f-821d-20e92358cac9,DOAS2-130/230-1,4295a092-463f-41a9-a5c9-3da05f1d954a,DOAS Equipment,0,51c0043c-bca4-4aa5-8e0d-193525c7ab36,RNA-040-D,RNA-040-D,AAON,
24a404c2-be04-4e9c-9cf9-28ed73ae2eb4,DOAS SCHEDULE,9431dbaa-b89e-46b8-8480-545b3bc4be5f,DOAS2-110/210-01,4295a092-463f-41a9-a5c9-3da05f1d954a,DOAS Equipment,0,51c0043c-bca4-4aa5-8e0d-193525c7ab36,RNA-040-D,RNA-040-D,AAON,AAON
24a404c2-be04-4e9c-9cf9-28ed73ae2eb4,DOAS SCHEDULE,e28af100-8535-42de-b968-05c0d59a5f60,DOAS2-170/270-01,4295a092-463f-41a9-a5c9-3da05f1d954a,DOAS Equipment,0,51c0043c-bca4-4aa5-8e0d-193525c7ab36,RNA-040-D,RNA-040-D,AAON,AAON
24a404c2-be04-4e9c-9cf9-28ed73ae2eb4,DOAS SCHEDULE,34d22685-3021-4c58-b5d8-1ea08a15dae8,DOAS2-160/260-01,4295a092-463f-41a9-a5c9-3da05f1d954a,DOAS Equipment,0,51c0043c-bca4-4aa5-8e0d-193525c7ab36,RNA-040-D,RNA-040-D,AAON,AAON
24a404c2-be04-4e9c-9cf9-28ed73ae2eb4,DOAS SCHEDULE,812d38de-235a-42dd-aaea-55f141891cd8,DOAS2-180/280-01,4295a092-463f-41a9-a5c9-3da05f1d954a,DOAS Equipment,0,51c0043c-bca4-4aa5-8e0d-193525c7ab36,RNA-040-D,RNA-040-D,AAON,AAON
33ed455e-6e2d-41dd-a0a5-bde03dd22459,Small-Capacity Split-System Air-Conditioners,c394ab2f-c109-47ea-a49c-a3960100fa6b,ACCU2-A2-209-01,cc54fa6e-5a9b-4e3b-8b32-4c1714ae6ec1,Small-Capacity Split-System Air-Conditioners,0,792ccdcc-c7c9-45f2-9627-8289f607fec4,KUSAP361A,KUSAP361A,LG,LG
33ed455e-6e2d-41dd-a0a5-bde03dd22459,Small-Capacity Split-System Air-Conditioners,0d5c1478-8a69-4819-9169-d64966e8b3e5,ACCU2-200-1-01,cc54fa6e-5a9b-4e3b-8b32-4c1714ae6ec1,Small-Capacity Split-System Air-Conditioners,0,792ccdcc-c7c9-45f2-9627-8289f607fec4,KUSAP361A,KUSAP361A,LG,LG
33ed455e-6e2d-41dd-a0a5-bde03dd22459,Small-Capacity Split-System Air-Conditioners,08103c30-a691-426a-9cf0-b050ef29167a,FCU2-100-2-02,f5f15013-f094-4ee0-8435-70d145807388,Variable Refrigerant Flow Systems,0,17f509c7-c7b2-4d86-b8b2-4e30942979d5,KNSAP361A,KNSAP361A,LG,LG
33ed455e-6e2d-41dd-a0a5-bde03dd22459,Small-Capacity Split-System Air-Conditioners,c51d452f-efc9-4306-bac0-2549f3b9cf1a,FCU2-101-02,f5f15013-f094-4ee0-8435-70d145807388,Variable Refrigerant Flow Systems,0,17f509c7-c7b2-4d86-b8b2-4e30942979d5,KNSAP361A,KNSAP361A,LG,LG
33ed455e-6e2d-41dd-a0a5-bde03dd22459,Small-Capacity Split-System Air-Conditioners,e783e40b-eeff-487c-9dfd-35258a8b39b3,ACCU2-202-02,cc54fa6e-5a9b-4e3b-8b32-4c1714ae6ec1,Small-Capacity Split-System Air-Conditioners,0,792ccdcc-c7c9-45f2-9627-8289f607fec4,KUSAP361A,KUSAP361A,LG,LG
33ed455e-6e2d-41dd-a0a5-bde03dd22459,Small-Capacity Split-System Air-Conditioners,3c23fa71-ca66-4692-afc6-caca895656be,FCU2-202-02,f5f15013-f094-4ee0-8435-70d145807388,Variable Refrigerant Flow Systems,0,17f509c7-c7b2-4d86-b8b2-4e30942979d5,KNSAP361A,KNSAP361A,LG,LG
33ed455e-6e2d-41dd-a0a5-bde03dd22459,Small-Capacity Split-System Air-Conditioners,48c17e1c-3cbc-4115-be5d-2526da855b55,FCU2-A2-209-01,f5f15013-f094-4ee0-8435-70d145807388,Variable Refrigerant Flow Systems,0,17f509c7-c7b2-4d86-b8b2-4e30942979d5,KNSAP361A,KNSAP361A,LG,LG
33ed455e-6e2d-41dd-a0a5-bde03dd22459,Small-Capacity Split-System Air-Conditioners,e2918347-ce75-4cf8-9ec6-60b59643e115,FCU2-A2-119-01,f5f15013-f094-4ee0-8435-70d145807388,Variable Refrigerant Flow Systems,0,17f509c7-c7b2-4d86-b8b2-4e30942979d5,KNSAP361A,KNSAP361A,LG,LG
33ed455e-6e2d-41dd-a0a5-bde03dd22459,Small-Capacity Split-System Air-Conditioners,f84f1bf0-61bf-4fbe-a874-faae39b56223,ACCU2-100-1-02,cc54fa6e-5a9b-4e3b-8b32-4c1714ae6ec1,Small-Capacity Split-System Air-Conditioners,0,792ccdcc-c7c9-45f2-9627-8289f607fec4,KUSAP361A,KUSAP361A,LG,LG
33ed455e-6e2d-41dd-a0a5-bde03dd22459,Small-Capacity Split-System Air-Conditioners,c3ea96fb-c5c5-4e64-b81e-ab79d2e15e7f,ACCU2-100-2-01,cc54fa6e-5a9b-4e3b-8b32-4c1714ae6ec1,Small-Capacity Split-System Air-Conditioners,0,792ccdcc-c7c9-45f2-9627-8289f607fec4,KUSAP361A,KUSAP361A,LG,LG
