package_id,package,equipment_id,equipment_tag,component_type_id,component_type_name,quantity,component_id,component_name,component_model,component_manufacturer_name,bod_manufacturer_name
4287ad62-296a-4b4b-bc14-f7ae07f7f4df,CABINET HEATER SCHEDULE (ELECTRIC),51b19f6d-10b5-4865-b796-ccd2d84e9834,WH-3,88aa2ec8-10cf-4cbd-a46b-e1103e06d077,Wall and Ceiling Unit Heaters,0,7ee7e523-a5c7-4712-950b-844277a421fd,FRA1512F,FRA1512F,Berko,Berko
4287ad62-296a-4b4b-bc14-f7ae07f7f4df,CABINET HEATER SCHEDULE (ELECTRIC),81204d26-312f-4c50-81e7-f96b42a23c28,WH-4,88aa2ec8-10cf-4cbd-a46b-e1103e06d077,Wall and Ceiling Unit Heaters,0,7ee7e523-a5c7-4712-950b-844277a421fd,FRA1512F,FRA1512F,Berko,Berko
4287ad62-296a-4b4b-bc14-f7ae07f7f4df,CABINET HEATER SCHEDULE (ELECTRIC),19928288-1708-4ee0-a60b-6341dbc18dac,WH-1,88aa2ec8-10cf-4cbd-a46b-e1103e06d077,Wall and Ceiling Unit Heaters,0,7ee7e523-a5c7-4712-950b-844277a421fd,FRA1512F,FRA1512F,Berko,Berko
4287ad62-296a-4b4b-bc14-f7ae07f7f4df,CABINET HEATER SCHEDULE (ELECTRIC),a1d0d0e6-f238-4205-9d3b-b822ec4d3594,WH-2,88aa2ec8-10cf-4cbd-a46b-e1103e06d077,Wall and Ceiling Unit Heaters,0,7ee7e523-a5c7-4712-950b-844277a421fd,FRA1512F,FRA1512F,Berko,Berko
c7e3a506-d053-4bea-bc9e-7a359381c7ee,EXHAUST FAN SCHEDULE,d4aa624a-8be8-4718-9373-4a412f998fc6,EF-1,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,0,87c448c2-b960-4c0c-bbd7-ca8cc0c4c048,ACED,ACED,Loren Cook,Loren Cook
daeb61d1-acf8-4d04-87c6-82d3f1a6545e,ROOFTOP UNIT SCHEDULE,e52f75dd-9246-4184-ae82-a9491d2f3505,RTU-1,c9f534b8-3836-487c-b8c4-6faa10e0b1f2,Packaged Rooftop Air-Conditioning Units,0,9da84304-8364-4a34-89c8-1152224031db,RNA,RNA,AAON,AAON
daeb61d1-acf8-4d04-87c6-82d3f1a6545e,ROOFTOP UNIT SCHEDULE,59fb1a3c-23a4-4b0d-9082-b026ec5f8b8e,RTU-2,c9f534b8-3836-487c-b8c4-6faa10e0b1f2,Packaged Rooftop Air-Conditioning Units,0,9da84304-8364-4a34-89c8-1152224031db,RNA,RNA,AAON,AAON
1e466c3e-5017-4136-8204-442b4123272e,AIR DEVICE SCHEDULE,8e19feb2-00bf-4779-9db9-82cc487128e8,E-1,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,15191566-6dcf-4a3c-bfca-b2fa5d44a1d2,50-F,50-F,Titus,Titus
1e466c3e-5017-4136-8204-442b4123272e,AIR DEVICE SCHEDULE,bc95e438-7cb6-44ed-81c0-b2f78e913c14,CD-4,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,7354c364-2d26-44ff-873b-ae2487235541,TDCA 10" Ø NECK,TDCA 10" Ø NECK,Titus,Titus
1e466c3e-5017-4136-8204-442b4123272e,AIR DEVICE SCHEDULE,eb063124-12b8-42be-9951-24b83e95313a,CD-2,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,f170cecc-15c8-4292-8858-50881be6a05f,OMNI 6" Ø NECK,OMNI 6" Ø NECK,Titus,Titus
1e466c3e-5017-4136-8204-442b4123272e,AIR DEVICE SCHEDULE,e71f4f09-48f7-4c23-b33a-6fc7d2bcf0db,CD-5,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,10288173-2355-410a-968f-474fde3c9654,TDCA 12" Ø NECK,TDCA 12" Ø NECK,Titus,Titus
1e466c3e-5017-4136-8204-442b4123272e,AIR DEVICE SCHEDULE,be66b0e1-f48e-41ce-8f3c-47f15cda7d3c,CD-1,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,18c09b92-1ae1-4643-bf95-bbc38fb8ce00,OMNI 4" Ø NECK,OMNI 4" Ø NECK,Titus,Titus
1e466c3e-5017-4136-8204-442b4123272e,AIR DEVICE SCHEDULE,f21ee345-e88b-4441-9eb4-6145d0af87a8,R-1,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,15191566-6dcf-4a3c-bfca-b2fa5d44a1d2,50-F,50-F,Titus,Titus
1e466c3e-5017-4136-8204-442b4123272e,AIR DEVICE SCHEDULE,2e8c5ff3-5e39-409b-a249-b040cb8eb518,CD-3,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,9063b3c9-1b6c-445a-aa46-c9c43166b46d,OMNI 8" Ø NECK,OMNI 8" Ø NECK,Titus,Titus
