spec_id,equipment_id,type_id,type_name,option_id,option_name,unit_id,unit_name,raw_specs,literal_value,literal_unit,literal_category,literal_type
1f0b08a3-20ae-45a2-86ee-381a9920e2e9,59fb1a3c-23a4-4b0d-9082-b026ec5f8b8e,,,,,,,"{"kind":"flat","type":"ESP IN. WC @ S.L.","unit":"in. WC","value":"1.5","category":"Supply Fan Data"}",1.5,in. WC,Supply Fan Data,ESP IN. WC @ S.L.
bf03e28a-a38d-4579-9899-ebd8d7de20bc,59fb1a3c-23a4-4b0d-9082-b026ec5f8b8e,,,,,,,"{"kind":"flat","type":"EAT","unit":null,"value":"77.8/64","category":"DX Coil Data"}",77.8/64,,DX Coil Data,EAT
fa08b332-c577-4dd6-9b6d-e740e0a3997a,59fb1a3c-23a4-4b0d-9082-b026ec5f8b8e,,,,,,,"{"kind":"flat","type":"LAT","unit":null,"value":"54/53.8","category":"DX Coil Data"}",54/53.8,,DX Coil Data,LAT
07de7b45-1610-4a27-9d17-ed7776524504,59fb1a3c-23a4-4b0d-9082-b026ec5f8b8e,,,,,85667e8f-cb0f-4df8-94a6-51c5282b1f75,Tons of Refrigeration,"{"kind":"flat","type":"Nom Tons @ 500'","unit":"Tons","value":"8","category":"DX Coil Data"}",8,Tons,DX Coil Data,Nom Tons @ 500'
c5a4dfdd-e204-4768-936f-8c106dd3e103,59fb1a3c-23a4-4b0d-9082-b026ec5f8b8e,,,,,,,"{"kind":"flat","type":"EAT","unit":null,"value":"59.7","category":"Natural Gas Furnace Data"}",59.7,,Natural Gas Furnace Data,EAT
6ded9c66-1331-4917-922d-f4229bd73eb0,59fb1a3c-23a4-4b0d-9082-b026ec5f8b8e,,,,,,,"{"kind":"flat","type":"LAT","unit":null,"value":"108.5","category":"Natural Gas Furnace Data"}",108.5,,Natural Gas Furnace Data,LAT
cd895c3a-6316-4732-88e0-e508180dffcc,59fb1a3c-23a4-4b0d-9082-b026ec5f8b8e,,,,,ebda520d-e31a-0838-4289-80ae9982b006,Thousand BTU per Hour,"{"kind":"flat","type":"Minimum MBH Output @ 500'","unit":"MBH","value":"210","category":"Natural Gas Furnace Data"}",210,MBH,Natural Gas Furnace Data,Minimum MBH Output @ 500'
d5fe02de-8660-4c9f-b580-3666c5042b1d,59fb1a3c-23a4-4b0d-9082-b026ec5f8b8e,,,,,,,"{"kind":"flat","type":"2\" Pre Filter","unit":null,"value":"MERV - 8","category":"Filter Data"}",MERV - 8,,Filter Data,2" Pre Filter
e8e1565a-8d8b-423b-8262-63d92d531b41,59fb1a3c-23a4-4b0d-9082-b026ec5f8b8e,,,,,,,"{"kind":"flat","type":"4\" Final Filter","unit":null,"value":"MERV - 13","category":"Filter Data"}",MERV - 13,,Filter Data,4" Final Filter
5151a221-5f6b-4a0f-a8da-aac845e51a21,59fb1a3c-23a4-4b0d-9082-b026ec5f8b8e,,,,,fe46f69d-dd77-9a0f-5dc4-1ce604c97ea9,Pound,"{"kind":"flat","type":"Approx. Oper. Weight","unit":"LBS","value":"1,432","category":null}","1,432",LBS,,Approx. Oper. Weight
f5adfd5e-b9ce-4aec-9b96-4631dcd8ac69,59fb1a3c-23a4-4b0d-9082-b026ec5f8b8e,,,,,,,"{"kind":"flat","type":"MCA","unit":null,"value":"60","category":"Electrical"}",60,,Electrical,MCA
7cf5c9c8-20a4-45f8-b0d6-210c31de0122,59fb1a3c-23a4-4b0d-9082-b026ec5f8b8e,,,,,,,"{"kind":"flat","type":"MOCP","unit":null,"value":"80","category":"Electrical"}",80,,Electrical,MOCP
2ec9c781-24a2-4430-b8b5-a09dafc6ce90,59fb1a3c-23a4-4b0d-9082-b026ec5f8b8e,,,,,,,"{"kind":"flat","type":"Note 1","unit":null,"value":"UNIT SHALL INCLUDE 0-100% ECONOMIZER","category":"Notes"}",UNIT SHALL INCLUDE 0-100% ECONOMIZER,,Notes,Note 1
5ba5b35a-aade-4069-b4ca-7391cac257a2,59fb1a3c-23a4-4b0d-9082-b026ec5f8b8e,,,,,,,"{"kind":"flat","type":"Note 2","unit":null,"value":"PROVIDE ECONOMIZER CONTROLS THAT COMPLY WITH 2024 IECC","category":"Notes"}",PROVIDE ECONOMIZER CONTROLS THAT COMPLY WITH 2024 IECC,,Notes,Note 2
3345b956-1a62-4e4c-851c-852742fff3c8,59fb1a3c-23a4-4b0d-9082-b026ec5f8b8e,,,,,,,"{"kind":"flat","type":"Note 3","unit":null,"value":"PROVIDE ARCHITECT WITH COPY OF FINAL RTU START UP REPORT","category":"Notes"}",PROVIDE ARCHITECT WITH COPY OF FINAL RTU START UP REPORT,,Notes,Note 3
9ee58293-dd2d-41a2-b550-e37945dba3cc,59fb1a3c-23a4-4b0d-9082-b026ec5f8b8e,,,,,,,"{"kind":"flat","type":"Note 4","unit":null,"value":"PROVIDE SUPPLY FAN VFD","category":"Notes"}",PROVIDE SUPPLY FAN VFD,,Notes,Note 4
