package_id,package,equipment_id,equipment_tag,component_type_id,component_type_name,quantity,component_id,component_name,component_model,component_manufacturer_name,bod_manufacturer_name
a9ddb1fa-3452-4b1b-aca7-d3e7bd6bc8ad,GAS FIRED MAKE-UP AIR UNIT SCHEDULE,7aad5e2a-ac28-4de4-b898-8ebe79219c53,MAU-1,4bc17faf-7c15-41f7-86b0-76e2f7c5c64d,"Packaged, Outdoor, Heating-Only Makeup-Air Units",0,422bcf5a-93e4-4af6-aa04-ad202a200e30,GM-A2-D500-20D,GM-A2-D500-20D,GreaseMaster,GreaseMaster
fbf18dc2-343c-46cc-928d-d57db917b7fa,"DIFFUSER, REGISTER AND GRILLE SCHEDULE",fa45d237-d2d3-4fca-9483-08a13d4c9d49,S1,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,4fa92a59-7273-4db1-bc93-c3afa7f7809f,SPD STEEL SQUARE PLAQUE DIFFUSER,SPD STEEL SQUARE PLAQUE DIFFUSER,Price Industries,Price Industries
fbf18dc2-343c-46cc-928d-d57db917b7fa,"DIFFUSER, REGISTER AND GRILLE SCHEDULE",e613f188-a9c8-4d34-b19e-7f75bc487dc1,E1,96e3c67f-58e4-4b2e-acd4-884ab173b553,Ceiling Diffusers,0,f79f7785-23f8-4047-8321-37597ae8045c,530,530,Price Industries,Price Industries
fbf18dc2-343c-46cc-928d-d57db917b7fa,"DIFFUSER, REGISTER AND GRILLE SCHEDULE",68030135-f423-4acb-bb32-2be0b3cf3c72,S2,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,15e96650-ec86-47e2-b98e-8612a6524fa3,520L,520L,Price Industries,Price Industries
fbf18dc2-343c-46cc-928d-d57db917b7fa,"DIFFUSER, REGISTER AND GRILLE SCHEDULE",e59689ab-34ac-42b1-bf72-499bc7181046,R1,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,c37731be-d036-4c23-8ce6-9202e1462fba,80 SERIES,80 SERIES,Price Industries,Price Industries
8e98775e-03a1-442d-af72-3e29560694b9,ELECTRIC UNIT HEATER SCHEDULE,ad7d1750-3534-4683-a20f-333f5dbdc4c9,CUH-1,88aa2ec8-10cf-4cbd-a46b-e1103e06d077,Wall and Ceiling Unit Heaters,0,05f2b737-6c90-4e4f-88c6-f78e8612f4aa,FRA4024F,FRA4024F,Berko,
8e98775e-03a1-442d-af72-3e29560694b9,ELECTRIC UNIT HEATER SCHEDULE,f3bc5e14-4239-4b34-bfe9-b119daa7d100,EUH-1,b9b3ef9d-fbdc-465c-9b5c-a149b805b33d,Unit Heaters,0,7c1210d6-d97a-4aaf-bda2-b5c27f89ba3c,UHIR Unit Heater,UHIR,Indeeco,Indeeco
c55d0b03-6a49-4327-a1a7-8fbc2a6678df,FURNACE SCHEDULE,c166be1c-94de-4a33-b437-ab56c4a183a2,F-1,b9b3ef9d-fbdc-465c-9b5c-a149b805b33d,Unit Heaters,0,2a8523d7-1b44-4a79-9aa4-49ed2bc374f9,R962V0603A,R962V0603A,Rheem Manufacturing Company Inc,Rheem Manufacturing Company Inc
c55d0b03-6a49-4327-a1a7-8fbc2a6678df,FURNACE SCHEDULE,efd36c09-e6b2-4893-8a40-63e89aeed481,GFUH-2,b9b3ef9d-fbdc-465c-9b5c-a149b805b33d,Unit Heaters,0,9536d95f-578c-42c0-8c96-3173982ddb86,UDXG-200,UDXG-200,Reznor,Reznor
c55d0b03-6a49-4327-a1a7-8fbc2a6678df,FURNACE SCHEDULE,be00df9d-3d11-452c-b061-bdcc76bced76,GFUH-3,b9b3ef9d-fbdc-465c-9b5c-a149b805b33d,Unit Heaters,0,ea091f07-b572-488e-b2b3-3d92ff2ac13b,UEZ-130,UEZ-130,Reznor,Reznor
