package_id,package,equipment_id,equipment_tag,component_type_id,component_type_name,quantity,component_id,component_name,component_model,component_manufacturer_name,bod_manufacturer_name
9f7f48ba-7b03-4d48-bd63-68de73f1eda3,DEDICATED OUTDOOR AIR UNIT SCHEDULE,24708ffa-a41a-4f0b-b568-d6cd38741938,DOAS-2,d19f3f23-ff8d-4796-8707-88d0507ffc8f,Dedicated Outdoor-Air Units,0,fae9091a-bc99-447a-af75-45aa60263ace,RVE-150-81D-30I-O-A2,RVE-150-81D-30I-O-A2,Greenheck,Greenheck
9f7f48ba-7b03-4d48-bd63-68de73f1eda3,DEDICATED OUTDOOR AIR UNIT SCHEDULE,067fc91e-7f9b-49d3-bb62-f6dbcdcccf12,DOAS-1,d19f3f23-ff8d-4796-8707-88d0507ffc8f,Dedicated Outdoor-Air Units,0,fae9091a-bc99-447a-af75-45aa60263ace,RVE-150-81D-30I-O-A2,RVE-150-81D-30I-O-A2,Greenheck,Greenheck
6b7f37fb-543a-40cc-a8a8-4bce1bebf3f5,INFRARED HEATER SCHEDULE (GAS),5e2dcc76-b9b2-4e62-94bc-e7c6c1724748,IH-1,23340675-cd6c-4cad-969d-8020e0559e27,Radiant Heating Units,0,208ede9c-a0bb-4314-a4ae-68f9dab28a89,DU80-S40,DU80-S40,Advanced Radiant Systems,Advanced Radiant Systems
6b7f37fb-543a-40cc-a8a8-4bce1bebf3f5,INFRARED HEATER SCHEDULE (GAS),a7031458-bd46-4f4d-a5a7-d9adb892ed74,IH-2,23340675-cd6c-4cad-969d-8020e0559e27,Radiant Heating Units,0,bca05207-4c7b-4c6e-83ba-07b125c350be,BH-80,BH-80,Advanced Radiant Systems,Advanced Radiant Systems
12f8cd1e-bc02-4240-85c8-0a6ad5795b4b,CONDENSING UNIT SCHEDULE,9967c4ab-b6a0-4c9d-ad48-5315238f2738,DS-3,997c6c01-cd27-4e2b-971c-7924cbd01df3,Split System Air Conditioners,0,d13c815c-992e-41aa-9443-9911b1309efe,PKA-AL18NL,PKA-AL18NL,Trane,Trane
12f8cd1e-bc02-4240-85c8-0a6ad5795b4b,CONDENSING UNIT SCHEDULE,e41de1a5-6223-4d0d-b04e-bee7b7a7fe36,CU-2,997c6c01-cd27-4e2b-971c-7924cbd01df3,Split System Air Conditioners,0,be1a9425-5b8f-44d6-a209-ad5013c56c65,PUZ-AK12NL,PUZ-AK12NL,,
12f8cd1e-bc02-4240-85c8-0a6ad5795b4b,CONDENSING UNIT SCHEDULE,77c40c2e-a784-4769-bf33-d42f443ff9c5,CU-1,6e8977c7-aa28-4436-9fa4-2e23e0d5d07e,VRF Outdoor Units,0,5e010cb3-49df-498e-a1a5-2034e0d0e06f,PUZ-AK36NLHZ,PUZ-AK36NLHZ,,
12f8cd1e-bc02-4240-85c8-0a6ad5795b4b,CONDENSING UNIT SCHEDULE,a50bfbc7-4bf5-46be-aee0-0ef1fcb9e938,DS-1,40dcc588-efa0-4d9c-a28a-a81c042a18ce,VRF Indoor Units - Ductless,0,8bb7562f-e0d2-4775-b972-2de4c39e610b,PKA-AK36NL,PKA-AK36NL,Trane,Trane
12f8cd1e-bc02-4240-85c8-0a6ad5795b4b,CONDENSING UNIT SCHEDULE,60033f0f-99d4-4784-94fb-337b0b9712bc,DS-2,997c6c01-cd27-4e2b-971c-7924cbd01df3,Split System Air Conditioners,0,1e57b28f-4d21-4b5b-9e2b-7b5e42260523,PKA-AL12NL,PKA-AL12NL,,
12f8cd1e-bc02-4240-85c8-0a6ad5795b4b,CONDENSING UNIT SCHEDULE,b01a2c8c-3a86-4e34-a60f-4b9df22f0293,CU-3,997c6c01-cd27-4e2b-971c-7924cbd01df3,Split System Air Conditioners,0,4e716516-f6fd-4e81-8c6d-58dd6512163e,PUY-AK18NL,PUY-AK18NL,Mitsubishi Electric (Including Trane Products),
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,ELECTRIC REHEAT VAV TERMINAL UNIT SCHEDULE,a64a4075-4404-4dad-b5b0-3fa7e8e4e52b,VAV3-14,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,b15364be-f415-48ce-a5cd-b1c229a01039,SDV Single Duct Terminal Unit,SDV,Price Industries,Price Industries
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,ELECTRIC REHEAT VAV TERMINAL UNIT SCHEDULE,329a78f4-4913-4f8e-a4ad-225d5f64c721,VAV3-1,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,b15364be-f415-48ce-a5cd-b1c229a01039,SDV Single Duct Terminal Unit,SDV,Price Industries,Price Industries
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,ELECTRIC REHEAT VAV TERMINAL UNIT SCHEDULE,eea35eac-1513-423c-b7dc-ad96cd967fed,VAV4-14,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,b15364be-f415-48ce-a5cd-b1c229a01039,SDV Single Duct Terminal Unit,SDV,Price Industries,Price Industries
7a9bc247-f4e3-451b-b0b4-8f376860d5f1,ELECTRIC REHEAT VAV TERMINAL UNIT SCHEDULE,16333aea-af66-4e3b-b7db-afbb9ca13871,VAV3-9,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,b15364be-f415-48ce-a5cd-b1c229a01039,SDV Single Duct Terminal Unit,SDV,Price Industries,Price Industries
