spec_id,equipment_id,type_id,type_name,option_id,option_name,unit_id,unit_name,raw_specs,literal_value,literal_unit,literal_category,literal_type
693f64ab-f29e-49d2-8b0d-ca456aa44e1c,329a78f4-4913-4f8e-a4ad-225d5f64c721,bc663106-1c5c-4cc9-9f68-3a51eb3d4c5b,Manufacturer,33964a1e-f61f-4dcc-a82c-8c06f42ebb91,Price Industries,,,,PRICE,,,Manufacturer
cd2848dd-6ca6-461d-8f4f-1ee6dc3ba147,329a78f4-4913-4f8e-a4ad-225d5f64c721,,,,,,,,SDV,,,Model
d588f4c0-5a9f-48ef-88ff-e9870574d878,329a78f4-4913-4f8e-a4ad-225d5f64c721,,,,,,,,10,,,Unit Size
b8875263-959b-4dd0-a0ff-56cb77d9ae6f,329a78f4-4913-4f8e-a4ad-225d5f64c721,,,,,,,,830,CFM,Airflow,Cooling Max
6dae1ea3-90f7-4aa3-bd22-4fcbc59bc290,329a78f4-4913-4f8e-a4ad-225d5f64c721,,,,,,,,426,CFM,Airflow,Cooling Min
802bda61-5ec8-4d01-9e6d-a4b47fc79a0d,329a78f4-4913-4f8e-a4ad-225d5f64c721,,,,,,,,430,CFM,Airflow,Reheat
50588967-c065-454f-ae8a-4c37e6d2d9d4,329a78f4-4913-4f8e-a4ad-225d5f64c721,,,,,,,,0.5,IN WG,Air Pressure,Inlet Static Pressure
7f19729b-e06c-4426-b2b3-03931b02f00a,329a78f4-4913-4f8e-a4ad-225d5f64c721,,,,,,,,0.25,IN WG,Air Pressure,Downstream
e19fe58e-6c9d-4571-b997-aa96b2bd2781,329a78f4-4913-4f8e-a4ad-225d5f64c721,00db6215-55f3-48dd-973e-ae6418c8d547,Pressure Drop,,,55d4740f-1ada-4220-9d87-55fb1d417e14,inches of water gauge,,0.01,IN WG,Air Pressure,OP PD
46ca7abe-0807-4227-b708-6bc8577b5b38,329a78f4-4913-4f8e-a4ad-225d5f64c721,2d2ae19d-c0d6-41f1-a2c0-2a2b97a70745,Heating Capacity,,,,,,3.4,KW,,Heating Capacity
ba1eda0b-0126-49fe-8c0b-3ecc53d61277,329a78f4-4913-4f8e-a4ad-225d5f64c721,,,,,,,,80,°F,Electric Reheat,LAT
88426ad2-28cb-4834-84eb-9e6ac98d3817,329a78f4-4913-4f8e-a4ad-225d5f64c721,dc025f71-f7e9-4f8b-afe8-776f30a7acc7,Phase,,,,,,277-1,,Electric Reheat,Voltage / Phase
26ea19ef-a686-4894-ac87-d4aa80b253c5,329a78f4-4913-4f8e-a4ad-225d5f64c721,,,,,,,,SCR,,Electric Reheat,EC Type
ddbc44d6-3082-449f-b02d-bbef223e9674,329a78f4-4913-4f8e-a4ad-225d5f64c721,,,,,,,,20,,Electric Reheat,MOP
7f812724-ecfd-4b8d-b6ce-c25a6a6181e8,329a78f4-4913-4f8e-a4ad-225d5f64c721,,,,,,,,16.7,,Electric Reheat,MCA
70bd614c-d81f-43fc-9dd0-724c836d39ac,cb583396-0f39-4600-8f13-c019028f0f4a,bc663106-1c5c-4cc9-9f68-3a51eb3d4c5b,Manufacturer,33964a1e-f61f-4dcc-a82c-8c06f42ebb91,Price Industries,,,,PRICE,,,Manufacturer
dc22e285-006a-4a80-950d-1c67bf5b64cc,cb583396-0f39-4600-8f13-c019028f0f4a,,,,,,,,SDV,,,Model
170ef649-7aac-4bb8-bfc0-3a5b7c5eeb4f,cb583396-0f39-4600-8f13-c019028f0f4a,325c8c53-9f6e-4c60-b9b8-031a198a562a,Inlet Size,,,,,,10,,,Unit Size
a3712fa8-9488-4964-b782-61ee9ba83165,cb583396-0f39-4600-8f13-c019028f0f4a,ab685915-020e-4475-9f80-8a2915e81d5c,Air Flow,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,,740,CFM,Airflow,Cooling Max
20381a00-fac6-4e51-a004-7107ddc25324,cb583396-0f39-4600-8f13-c019028f0f4a,ab685915-020e-4475-9f80-8a2915e81d5c,Air Flow,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,,370,CFM,Airflow,Cooling Min
c48e6c38-d193-4eef-b399-dbbfe6ebadcd,cb583396-0f39-4600-8f13-c019028f0f4a,ab685915-020e-4475-9f80-8a2915e81d5c,Air Flow,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,,370,CFM,Airflow,Reheat
7ded860e-4283-49df-b8f8-6848c41d8411,cb583396-0f39-4600-8f13-c019028f0f4a,00db6215-55f3-48dd-973e-ae6418c8d547,Pressure Drop,,,55d4740f-1ada-4220-9d87-55fb1d417e14,inches of water gauge,,1.25,IN WG,Air Pressure,Inlet Static Pressure
83f03c99-8ba3-4c49-b26c-c3bd386ec40a,cb583396-0f39-4600-8f13-c019028f0f4a,00db6215-55f3-48dd-973e-ae6418c8d547,Pressure Drop,,,55d4740f-1ada-4220-9d87-55fb1d417e14,inches of water gauge,,0.25,IN WG,Air Pressure,Downstream
ff2ac762-cff7-4961-997c-a6f1a0536a12,cb583396-0f39-4600-8f13-c019028f0f4a,00db6215-55f3-48dd-973e-ae6418c8d547,Pressure Drop,,,55d4740f-1ada-4220-9d87-55fb1d417e14,inches of water gauge,,0.01,IN WG,Air Pressure,OP PD
4ba3bd20-4c00-4fd8-a2c0-42572dd5f154,cb583396-0f39-4600-8f13-c019028f0f4a,2d2ae19d-c0d6-41f1-a2c0-2a2b97a70745,Heating Capacity,,,,,,2.9,KW,,Heating Capacity
dfada505-837e-48de-a62d-8aabbdb4742a,cb583396-0f39-4600-8f13-c019028f0f4a,,,,,,,,80,°F,Electric Reheat,LAT
3131db50-f7eb-4d43-8762-a64d1866e8ef,cb583396-0f39-4600-8f13-c019028f0f4a,f8c7b985-288e-4160-b9f9-f923877ec673,Voltage,,,,,,277-1,,Electric Reheat,Voltage / Phase
3c6ab76f-85b8-499e-829b-221520ab900c,cb583396-0f39-4600-8f13-c019028f0f4a,eec607aa-5539-4423-90cf-d0a1e6b7910a,Reheat Coil Type,78ff0a14-a8af-49b0-ba76-0973b1289755,SCR Electric,,,,SCR,,Electric Reheat,EC Type
e4a57447-b302-48d5-9440-600175a7b5f6,cb583396-0f39-4600-8f13-c019028f0f4a,,,,,,,,15,,Electric Reheat,MOP
24d9d99e-6d0d-49ab-b441-7ffe429e0648,cb583396-0f39-4600-8f13-c019028f0f4a,,,,,,,,14.3,,Electric Reheat,MCA
ae66dadc-6d71-4392-88ef-853a7f809589,4b7cdd02-decf-4443-8262-d4582646bcc6,bc663106-1c5c-4cc9-9f68-3a51eb3d4c5b,Manufacturer,33964a1e-f61f-4dcc-a82c-8c06f42ebb91,Price Industries,,,,PRICE,,,Manufacturer
29282b14-6b04-430c-ac1c-0872cc1a1177,4b7cdd02-decf-4443-8262-d4582646bcc6,,,,,,,,SDV,,,Model
cb3a3620-7f1a-4979-93b6-505499016b10,4b7cdd02-decf-4443-8262-d4582646bcc6,,,,,,,,10,,,Unit Size
822937b6-dc1e-4336-961f-39908794e136,4b7cdd02-decf-4443-8262-d4582646bcc6,,,,,,,,800,CFM,Airflow,Cooling Max
b9e7dbc0-7d1e-4db1-a40c-8645372aa0c0,4b7cdd02-decf-4443-8262-d4582646bcc6,,,,,,,,533,CFM,Airflow,Cooling Min
c52500d5-48d9-4dae-9cbd-d8978ce08cb0,4b7cdd02-decf-4443-8262-d4582646bcc6,,,,,,,,535,CFM,Airflow,Reheat
c367ddf0-6c63-4d6b-a393-ee2553790d8c,4b7cdd02-decf-4443-8262-d4582646bcc6,00db6215-55f3-48dd-973e-ae6418c8d547,Pressure Drop,,,55d4740f-1ada-4220-9d87-55fb1d417e14,inches of water gauge,,1.25,IN WG,Air Pressure,Inlet Static Pressure
377f48a9-106a-40fe-9c87-aad5acc81e5a,4b7cdd02-decf-4443-8262-d4582646bcc6,,,,,,,,0.25,IN WG,Air Pressure,Downstream
1b2cb144-1ac2-44ea-96a1-e4caff9ef792,4b7cdd02-decf-4443-8262-d4582646bcc6,,,,,,,,0.01,IN WG,Air Pressure,OP PD
3f7354d1-69a6-4bb2-90d5-bcdb194b2397,4b7cdd02-decf-4443-8262-d4582646bcc6,2d2ae19d-c0d6-41f1-a2c0-2a2b97a70745,Heating Capacity,,,,,,4.6,KW,,Heating Capacity
2d90e892-d803-4d64-86c6-782290070d8b,4b7cdd02-decf-4443-8262-d4582646bcc6,,,,,,,,82.1,°F,Electric Reheat,LAT
dc2d78a2-04f0-46a5-a736-0ab967070236,4b7cdd02-decf-4443-8262-d4582646bcc6,dc025f71-f7e9-4f8b-afe8-776f30a7acc7,Phase,,,,,,480-3,,Electric Reheat,Voltage / Phase
caede429-328f-4bfc-bcfd-1a788d2f097d,4b7cdd02-decf-4443-8262-d4582646bcc6,,,,,,,,SCR,,Electric Reheat,EC Type
08154c84-6056-4a7a-8683-b036b7f8a457,4b7cdd02-decf-4443-8262-d4582646bcc6,,,,,,,,15,,Electric Reheat,MOP
280b5152-d264-4ddf-a12d-67348c3d1610,4b7cdd02-decf-4443-8262-d4582646bcc6,,,,,,,,7.5,,Electric Reheat,MCA
fd7752d4-51c1-485b-b113-e0dde5ac1046,a6e57231-55f5-4bf2-a145-dab0f2fbf140,bc663106-1c5c-4cc9-9f68-3a51eb3d4c5b,Manufacturer,33964a1e-f61f-4dcc-a82c-8c06f42ebb91,Price Industries,,,,PRICE,,,Manufacturer
1465e747-4062-47d9-9e40-f9b946cb393a,a6e57231-55f5-4bf2-a145-dab0f2fbf140,,,,,,,,SDV,,,Model
3aa853f3-6296-486f-ac4a-964a1a6f09b5,a6e57231-55f5-4bf2-a145-dab0f2fbf140,325c8c53-9f6e-4c60-b9b8-031a198a562a,Inlet Size,,,,,,6,,,Unit Size
30f76c2b-64d9-4cb0-9faf-684a864b27d0,a6e57231-55f5-4bf2-a145-dab0f2fbf140,ab685915-020e-4475-9f80-8a2915e81d5c,Air Flow,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,,340,CFM,Airflow,Cooling Max
50f914e0-7d47-463a-96bf-08e29e34eee5,a6e57231-55f5-4bf2-a145-dab0f2fbf140,,,,,,,,170,CFM,Airflow,Cooling Min
6bcede61-d133-4b68-8ef6-b59c85d86462,a6e57231-55f5-4bf2-a145-dab0f2fbf140,eec607aa-5539-4423-90cf-d0a1e6b7910a,Reheat Coil Type,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,,170,CFM,Airflow,Reheat
60339c04-ea3e-45ed-b917-9fbdc578f36b,a6e57231-55f5-4bf2-a145-dab0f2fbf140,,,,,,,,1.25,IN WG,Air Pressure,Inlet Static Pressure
866c004c-fd3c-473e-afdb-3464ebcc2935,a6e57231-55f5-4bf2-a145-dab0f2fbf140,,,,,,,,0.25,IN WG,Air Pressure,Downstream
6b3dbbec-4416-4c62-a038-629eec2a923d,a6e57231-55f5-4bf2-a145-dab0f2fbf140,00db6215-55f3-48dd-973e-ae6418c8d547,Pressure Drop,,,55d4740f-1ada-4220-9d87-55fb1d417e14,inches of water gauge,,0.104,IN WG,Air Pressure,OP PD
20b99917-7ef0-4fb4-9797-6689a77bebc3,a6e57231-55f5-4bf2-a145-dab0f2fbf140,2d2ae19d-c0d6-41f1-a2c0-2a2b97a70745,Heating Capacity,,,,,,2.9,KW,,Heating Capacity
9d3a5659-ed6c-41fd-8fde-ddc7b996ec89,a6e57231-55f5-4bf2-a145-dab0f2fbf140,,,,,,,,#N/A,°F,Electric Reheat,LAT
594252d6-7555-4174-9bc6-a03896c58ab8,a6e57231-55f5-4bf2-a145-dab0f2fbf140,f8c7b985-288e-4160-b9f9-f923877ec673,Voltage,,,,,,277-1,,Electric Reheat,Voltage / Phase
6c322c61-54e8-430f-8168-4e5dac43e0f5,a6e57231-55f5-4bf2-a145-dab0f2fbf140,,,,,,,,SCR,,Electric Reheat,EC Type
6fc82d5a-f094-4246-ab26-74d44953b3e7,a6e57231-55f5-4bf2-a145-dab0f2fbf140,,,,,,,,15,,Electric Reheat,MOP
3b1cc7a9-08d3-415c-9ab8-5d07dc89561a,a6e57231-55f5-4bf2-a145-dab0f2fbf140,,,,,,,,14.3,,Electric Reheat,MCA
064841f9-de15-4f8f-96c1-8aea5e1fe938,13a1f08a-5621-43db-8bb3-4fb9b19baced,bc663106-1c5c-4cc9-9f68-3a51eb3d4c5b,Manufacturer,33964a1e-f61f-4dcc-a82c-8c06f42ebb91,Price Industries,,,,PRICE,,,Manufacturer
2ed04aa6-53c4-4c2f-ab8f-5e8b2ed392bd,13a1f08a-5621-43db-8bb3-4fb9b19baced,,,,,,,,SDV,,,Model
968925bd-80f8-4d3a-aca3-debc796ee756,13a1f08a-5621-43db-8bb3-4fb9b19baced,325c8c53-9f6e-4c60-b9b8-031a198a562a,Inlet Size,,,,,,6,,,Unit Size
142213fb-2d29-45a9-b667-4171f003464b,13a1f08a-5621-43db-8bb3-4fb9b19baced,ab685915-020e-4475-9f80-8a2915e81d5c,Air Flow,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,,280,CFM,Airflow,Cooling Max
7d2270c1-4427-4d82-9b8f-51dbbbe9cfa0,13a1f08a-5621-43db-8bb3-4fb9b19baced,ab685915-020e-4475-9f80-8a2915e81d5c,Air Flow,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,,149,CFM,Airflow,Cooling Min
31d822a7-5b93-49dc-bc41-631e12f4d160,13a1f08a-5621-43db-8bb3-4fb9b19baced,ab685915-020e-4475-9f80-8a2915e81d5c,Air Flow,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,,150,CFM,Airflow,Reheat
34d9284e-af6b-4114-a84b-018ce3c6ebc3,13a1f08a-5621-43db-8bb3-4fb9b19baced,00db6215-55f3-48dd-973e-ae6418c8d547,Pressure Drop,,,55d4740f-1ada-4220-9d87-55fb1d417e14,inches of water gauge,,1.25,IN WG,Air Pressure,Inlet Static Pressure
0f305b76-0735-45cd-8610-c660e3aedc14,13a1f08a-5621-43db-8bb3-4fb9b19baced,00db6215-55f3-48dd-973e-ae6418c8d547,Pressure Drop,,,55d4740f-1ada-4220-9d87-55fb1d417e14,inches of water gauge,,0.25,IN WG,Air Pressure,Downstream
425eec07-170e-45ef-be02-bf82cbb820c9,13a1f08a-5621-43db-8bb3-4fb9b19baced,00db6215-55f3-48dd-973e-ae6418c8d547,Pressure Drop,,,55d4740f-1ada-4220-9d87-55fb1d417e14,inches of water gauge,,0.07,IN WG,Air Pressure,OP PD
ddb18376-3ef3-48b4-a831-6e3507df695e,13a1f08a-5621-43db-8bb3-4fb9b19baced,2d2ae19d-c0d6-41f1-a2c0-2a2b97a70745,Heating Capacity,,,,,,1.3,KW,,Heating Capacity
352a575a-fac9-4548-94fc-d6d159eb5f61,13a1f08a-5621-43db-8bb3-4fb9b19baced,,,,,,,,83,°F,Electric Reheat,LAT
1547f10f-6d71-478b-9634-cf63ffebb8d4,13a1f08a-5621-43db-8bb3-4fb9b19baced,f8c7b985-288e-4160-b9f9-f923877ec673,Voltage,de72b72e-4c75-438b-ad2d-059e4a275ded,277,,,,277-1,,Electric Reheat,Voltage / Phase
b246feed-a3ae-4d3a-87d2-27beef2957e2,13a1f08a-5621-43db-8bb3-4fb9b19baced,eec607aa-5539-4423-90cf-d0a1e6b7910a,Reheat Coil Type,78ff0a14-a8af-49b0-ba76-0973b1289755,SCR Electric,,,,SCR,,Electric Reheat,EC Type
193f2e25-d4b3-47f5-979e-8cd1e3401783,13a1f08a-5621-43db-8bb3-4fb9b19baced,,,,,,,,15,,Electric Reheat,MOP
dc0efd18-aafe-4c44-a75c-78f003fc0e95,13a1f08a-5621-43db-8bb3-4fb9b19baced,,,,,,,,6.4,,Electric Reheat,MCA
66eebb7d-7bc5-41eb-a6f8-c5fe41f3c0fb,0b0ae26f-c451-4ef4-af48-7169bb205667,bc663106-1c5c-4cc9-9f68-3a51eb3d4c5b,Manufacturer,33964a1e-f61f-4dcc-a82c-8c06f42ebb91,Price Industries,,,,PRICE,,,Manufacturer
70bf1973-676b-4c1f-aaa8-9aa2550993e1,0b0ae26f-c451-4ef4-af48-7169bb205667,,,,,,,,SDV,,,Model
42697076-d0ae-47b8-81b2-4abe68551e83,0b0ae26f-c451-4ef4-af48-7169bb205667,,,,,,,,15,,Electric Reheat,MOP
0a37e6ae-5c65-44b0-8b75-10160e41f8a3,0b0ae26f-c451-4ef4-af48-7169bb205667,,,,,,,,3.4,,Electric Reheat,MCA
9f4b1754-0a11-4ec5-8f5e-d9d7af6d9814,0b0ae26f-c451-4ef4-af48-7169bb205667,325c8c53-9f6e-4c60-b9b8-031a198a562a,Inlet Size,,,,,,6,,,Unit Size
3d7a25f9-379e-4a1c-a6b5-016284394961,0b0ae26f-c451-4ef4-af48-7169bb205667,ab685915-020e-4475-9f80-8a2915e81d5c,Air Flow,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,,140,CFM,Airflow,Cooling Max
66261028-0946-4d58-a8c3-9da771aa62f2,0b0ae26f-c451-4ef4-af48-7169bb205667,,,,,,,,85,CFM,Airflow,Cooling Min
8b42a9f7-0182-4300-93be-26b280205bbe,0b0ae26f-c451-4ef4-af48-7169bb205667,,,,,,,,85,CFM,Airflow,Reheat
db254583-4c2c-4a5c-8108-fb72cbd07c11,0b0ae26f-c451-4ef4-af48-7169bb205667,,,,,,,,1.25,IN WG,Air Pressure,Inlet Static Pressure
ef9e6c2c-d2c4-4220-90a7-f2cbfc23c957,0b0ae26f-c451-4ef4-af48-7169bb205667,,,,,,,,0.25,IN WG,Air Pressure,Downstream
