spec_id,equipment_id,type_id,type_name,option_id,option_name,unit_id,unit_name,raw_specs,literal_value,literal_unit,literal_category,literal_type
0c1014d9-c986-45e5-9a2b-f94fd40592d3,8359172a-b5ec-48a8-b48b-79bf76718160,bc663106-1c5c-4cc9-9f68-3a51eb3d4c5b,Manufacturer,33964a1e-f61f-4dcc-a82c-8c06f42ebb91,Price Industries,,,,PRICE,,,Manufacturer
00735b0b-df29-4ca4-a6c1-5d2f399a2675,8359172a-b5ec-48a8-b48b-79bf76718160,,,,,,,,PDDR,,,Model
fb398056-1d7f-4036-be94-37dfac68f4f6,8359172a-b5ec-48a8-b48b-79bf76718160,e20b16cd-69dd-4b9f-af9a-64e3d801b205,Supply or Return,57aeb21f-d927-4064-962b-67452f64f868,Return,,,,RETURN,,,Type
4f5c2f8d-5a65-4d2e-be9e-a8f217af68f3,8359172a-b5ec-48a8-b48b-79bf76718160,2d33b0ad-3035-440f-bfb2-65854c669ad3,Modular Grid Compatibility,966aac7d-aea6-4d29-bb7d-ba70eddddab4,24,,,,24x24,,,Module Size
1e53b087-96b4-4d07-98f8-c0dedd9ba07f,8359172a-b5ec-48a8-b48b-79bf76718160,77e852f9-8538-4233-9412-f6560777c81e,Mounting Type,8e55b532-2515-4da6-932c-30e3598a6c6c,Surface Mounted,,,,SURFACE/LAY IN,,,Mounting (Frame)
44ab905b-c3ce-4b7a-96d9-0b9ed75a0b6d,8359172a-b5ec-48a8-b48b-79bf76718160,,,,,,,,N/A,,,Damper Type
5194c45c-f2f3-4a5e-a877-2e42a227ca87,8359172a-b5ec-48a8-b48b-79bf76718160,,,,,,,,"1,2,3",,,Remarks
ddb05485-a5ff-4ffb-9334-a65c6ee288b5,8359172a-b5ec-48a8-b48b-79bf76718160,,,,,,,,"ANEMOSTAT, KRUEGER, NAILOR, PRICE, TITUS",,,Acceptable Manufacturers
cfc21729-de88-4f62-b072-dbab7bda7a3e,8359172a-b5ec-48a8-b48b-79bf76718160,671253fd-d096-4dee-ba55-b9a9cc344ccb,Noise Level,,,,,,<25,,,Noise Criteria
3f83db21-15f0-4331-9e94-19387473d488,8359172a-b5ec-48a8-b48b-79bf76718160,,,,,,,,REFER TO DRAWINGS,,,Neck Size
cbec7d7f-57ee-4877-bc9d-8bab2051be3f,8359172a-b5ec-48a8-b48b-79bf76718160,,,,,,,,COORDINATE FINISHES WITH ARCHITECT,,,Finish Note
54a0c32c-f949-43ac-a417-42d9503d17a4,d5c91576-1659-4a47-9118-5712ab1dac25,bc663106-1c5c-4cc9-9f68-3a51eb3d4c5b,Manufacturer,33964a1e-f61f-4dcc-a82c-8c06f42ebb91,Price Industries,,,,PRICE,,,Manufacturer
b4040280-ce55-4692-a822-98ab2708e1fa,d5c91576-1659-4a47-9118-5712ab1dac25,,,,,,,,535,,,Model
42199f08-9c48-4ad8-8d2e-a94728137179,d5c91576-1659-4a47-9118-5712ab1dac25,e20b16cd-69dd-4b9f-af9a-64e3d801b205,Supply or Return,57aeb21f-d927-4064-962b-67452f64f868,Return,,,,RETURN,,,Type
a898e20f-f5ce-4b86-9d80-71e6faa3cfe3,d5c91576-1659-4a47-9118-5712ab1dac25,2d33b0ad-3035-440f-bfb2-65854c669ad3,Modular Grid Compatibility,966aac7d-aea6-4d29-bb7d-ba70eddddab4,24,,,,24x24,,,Module Size
d192f0f4-cdf9-4f92-92cc-349a3ca1a6e7,d5c91576-1659-4a47-9118-5712ab1dac25,77e852f9-8538-4233-9412-f6560777c81e,Mounting Type,8e55b532-2515-4da6-932c-30e3598a6c6c,Surface Mounted,,,,SURFACE/LAY IN,,,Mounting (Frame)
ab81c672-6df4-4319-a7c3-ce6d28b05017,d5c91576-1659-4a47-9118-5712ab1dac25,,,,,,,,N/A,,,Damper Type
b36c7bfd-631e-46d1-bc8a-914aaad4748d,d5c91576-1659-4a47-9118-5712ab1dac25,,,,,,,,"1,2,3,5",,,Remarks
228249bc-086e-498b-a46f-0cdfd0e2d153,d5c91576-1659-4a47-9118-5712ab1dac25,,,,,,,,"ANEMOSTAT, KRUEGER, NAILOR, PRICE, TITUS",,,Acceptable Manufacturers
c56e2e7f-f90d-4c19-a698-0fdb8ffeb50f,d5c91576-1659-4a47-9118-5712ab1dac25,671253fd-d096-4dee-ba55-b9a9cc344ccb,Noise Level,,,,,,<25,,,Noise Criteria
0f5d5c4a-4b96-4ea5-b326-b85adbc65ee4,d5c91576-1659-4a47-9118-5712ab1dac25,,,,,,,,REFER TO DRAWINGS,,,Neck Size
44c5cae6-b626-475d-b7e8-cba26d24980c,d5c91576-1659-4a47-9118-5712ab1dac25,,,,,,,,COORDINATE FINISHES WITH ARCHITECT,,,Finish Note
a3df8f70-5f2c-42eb-bfa3-c1c1879f76f0,d5c91576-1659-4a47-9118-5712ab1dac25,,,,,,,,1/2,in,,Blade Spacing
41dd9b72-bba5-47c2-b5a3-28f0f2e97d19,d5c91576-1659-4a47-9118-5712ab1dac25,efd848e4-a010-467e-b40a-a15dafef0aef,Blade Type,1aef336a-2d08-4d99-849b-a477a9ce3789,Single Deflection,,,,45° SINGLE,,,Deflection
ceff6d8f-355f-4a2e-9408-c2758dca2d9e,d5c91576-1659-4a47-9118-5712ab1dac25,,,,,,,,FIXED,,,Control
d06ddc12-79fa-460c-bc69-f8474b56a760,d5c91576-1659-4a47-9118-5712ab1dac25,bc663106-1c5c-4cc9-9f68-3a51eb3d4c5b,Manufacturer,33964a1e-f61f-4dcc-a82c-8c06f42ebb91,Price Industries,,,,PRICE,,,Manufacturer
3f3cc77b-1e82-4aeb-a73f-666c6cbaca18,d5c91576-1659-4a47-9118-5712ab1dac25,,,,,,,,535,,,Model
2853d58f-d43b-4773-877c-c995457628b6,d5c91576-1659-4a47-9118-5712ab1dac25,e20b16cd-69dd-4b9f-af9a-64e3d801b205,Supply or Return,57aeb21f-d927-4064-962b-67452f64f868,Return,,,,RETURN,,,Type
bbafbe8a-539b-4c2e-8d59-2bb6af2c0ec3,d5c91576-1659-4a47-9118-5712ab1dac25,2d33b0ad-3035-440f-bfb2-65854c669ad3,Modular Grid Compatibility,966aac7d-aea6-4d29-bb7d-ba70eddddab4,24,,,,24x24,,,Module Size
54a49eb8-6c30-4233-ad30-022dd32f2f14,d5c91576-1659-4a47-9118-5712ab1dac25,77e852f9-8538-4233-9412-f6560777c81e,Mounting Type,8e55b532-2515-4da6-932c-30e3598a6c6c,Surface Mounted,,,,SURFACE/LAY IN,,,Mounting (Frame)
9b02c4f1-4103-42d1-90c0-d6feae1c1228,d5c91576-1659-4a47-9118-5712ab1dac25,,,,,,,,N/A,,,Damper Type
a5e4af47-c7bd-4b80-a14f-e3ba3d201389,d5c91576-1659-4a47-9118-5712ab1dac25,,,,,,,,"1,2,3,5",,,Remarks
ad6f3c3b-b44d-41c4-a413-ff56f09bac6e,d5c91576-1659-4a47-9118-5712ab1dac25,,,,,,,,"ANEMOSTAT, KRUEGER, NAILOR, PRICE, TITUS",,,Acceptable Manufacturers
4d476a57-483f-4f68-8d43-5e83a39ad55d,d5c91576-1659-4a47-9118-5712ab1dac25,671253fd-d096-4dee-ba55-b9a9cc344ccb,Noise Level,,,,,,<25,,,Noise Criteria
a308453d-d693-4517-b6e4-54c7d15078b3,d5c91576-1659-4a47-9118-5712ab1dac25,e816f855-ea53-447e-8384-fd46868b4133,Neck Size,,,,,,REFER TO DRAWINGS,,,Neck Size
d06355b4-a22b-465f-af97-9b5a6cb23b1b,d5c91576-1659-4a47-9118-5712ab1dac25,,,,,,,,COORDINATE FINISHES WITH ARCHITECT,,,Finish Note
f16f4fd8-8310-4546-9af9-9831c4ea2bf7,d5c91576-1659-4a47-9118-5712ab1dac25,,,,,,,,1/2,in,,Blade Spacing
02e714ec-398a-4068-9323-4d60ed08beb4,d5c91576-1659-4a47-9118-5712ab1dac25,,,,,,,,45° SINGLE,,,Deflection
3b82ee30-3bf3-41f6-8e45-c12f97dbb6c0,d5c91576-1659-4a47-9118-5712ab1dac25,,,,,,,,FIXED,,,Control
9d0fd78b-202f-4e8c-b6b2-8a08986be0f9,ccefbe42-1bfb-4f65-8d1d-8ddaeb28be2a,bc663106-1c5c-4cc9-9f68-3a51eb3d4c5b,Manufacturer,33964a1e-f61f-4dcc-a82c-8c06f42ebb91,Price Industries,,,,PRICE,,,Manufacturer
4a0ca2b6-e247-40ec-a595-27952f2e38e6,ccefbe42-1bfb-4f65-8d1d-8ddaeb28be2a,,,,,,,,PDDR,,,Model
6c26e3d4-58a8-4ff6-a24e-408f53938fc4,ccefbe42-1bfb-4f65-8d1d-8ddaeb28be2a,e20b16cd-69dd-4b9f-af9a-64e3d801b205,Supply or Return,57aeb21f-d927-4064-962b-67452f64f868,Return,,,,RETURN,,,Type
a2a627ed-5905-435b-afbd-76d0bfda48f5,ccefbe42-1bfb-4f65-8d1d-8ddaeb28be2a,,,,,,,,24x12,,,Module Size
fdfae566-7773-42b9-9955-c66475d5e502,ccefbe42-1bfb-4f65-8d1d-8ddaeb28be2a,77e852f9-8538-4233-9412-f6560777c81e,Mounting Type,8e55b532-2515-4da6-932c-30e3598a6c6c,Surface Mounted,,,,SURFACE/LAY IN,,,Mounting (Frame)
eed29af4-0ac9-48b3-a8a8-cad26ae19e98,ccefbe42-1bfb-4f65-8d1d-8ddaeb28be2a,,,,,,,,N/A,,,Damper Type
f3e7c2d0-a238-4922-9148-8e81166a520b,ccefbe42-1bfb-4f65-8d1d-8ddaeb28be2a,,,,,,,,"1,2,3",,,Remarks
2dc594fb-00b7-485c-870f-079b1ea2e018,ccefbe42-1bfb-4f65-8d1d-8ddaeb28be2a,,,,,,,,"ANEMOSTAT, KRUEGER, NAILOR, PRICE, TITUS",,,Acceptable Manufacturers
5221ecd3-08b6-47ff-9fe1-16c332825c6f,ccefbe42-1bfb-4f65-8d1d-8ddaeb28be2a,671253fd-d096-4dee-ba55-b9a9cc344ccb,Noise Level,,,,,,<25,,,Noise Criteria
25d13ffa-5797-458a-9da4-30104106c8c6,ccefbe42-1bfb-4f65-8d1d-8ddaeb28be2a,e816f855-ea53-447e-8384-fd46868b4133,Neck Size,,,,,,REFER TO DRAWINGS,,,Neck Size
b1ea7f61-93ae-4f5d-9e6d-1fbd9645d339,ccefbe42-1bfb-4f65-8d1d-8ddaeb28be2a,,,,,,,,COORDINATE FINISHES WITH ARCHITECT,,,Finish Note
14fba7eb-a9c2-46cb-8f70-3fbbc7ad8fae,5c2c2979-9a95-4f28-9c20-f3e3877febf9,bc663106-1c5c-4cc9-9f68-3a51eb3d4c5b,Manufacturer,33964a1e-f61f-4dcc-a82c-8c06f42ebb91,Price Industries,,,,PRICE,,,Manufacturer
6690d4a5-9844-4d5e-8eec-f505634716d3,5c2c2979-9a95-4f28-9c20-f3e3877febf9,,,,,,,,SDS75,,,Model
58aba8ab-ef93-4ac9-8c21-a208f362acf7,5c2c2979-9a95-4f28-9c20-f3e3877febf9,e20b16cd-69dd-4b9f-af9a-64e3d801b205,Supply or Return,5bb59d7e-8883-4d05-bc90-92a22a857b51,Supply,,,,SUPPLY,,,Type
72cf126e-56e8-4a9f-b5cb-299f5c6af818,5c2c2979-9a95-4f28-9c20-f3e3877febf9,,,,,,,,(2) 3/4" SLOTx4',,,Module Size
77580152-60fe-4481-8497-73b2450b0f06,5c2c2979-9a95-4f28-9c20-f3e3877febf9,77e852f9-8538-4233-9412-f6560777c81e,Mounting Type,8e55b532-2515-4da6-932c-30e3598a6c6c,Surface Mounted,,,,SURFACE/LAY IN (NOTE CEILING TYPE),,,Mounting (Frame)
7fb09714-c58d-474e-a114-0db3be20ef82,5c2c2979-9a95-4f28-9c20-f3e3877febf9,,,,,,,,N/A,,,Damper Type
77df1d98-325a-4796-81da-be6eeb66b26a,5c2c2979-9a95-4f28-9c20-f3e3877febf9,,,,,,,,"1,2,3,6,7",,,Remarks
a6f106a6-c31c-477e-89d5-04c5f8e033b4,5c2c2979-9a95-4f28-9c20-f3e3877febf9,,,,,,,,"ANEMOSTAT, KRUEGER, NAILOR, PRICE, TITUS",,,Acceptable Manufacturers
248dfc09-18bf-4d04-b9bf-cef43b94f06b,5c2c2979-9a95-4f28-9c20-f3e3877febf9,671253fd-d096-4dee-ba55-b9a9cc344ccb,Noise Level,,,,,,<25,,,Noise Criteria
eabf2df5-babc-4dc9-a8a2-04d3cf257489,5c2c2979-9a95-4f28-9c20-f3e3877febf9,,,,,,,,REFER TO DRAWINGS,,,Neck Size
2bc40a2f-a9fc-429f-999b-0d5acb56f35e,5c2c2979-9a95-4f28-9c20-f3e3877febf9,,,,,,,,COORDINATE FINISHES WITH ARCHITECT,,,Finish Note
717da898-eed3-42a4-85e7-029aa6b3e382,5c2c2979-9a95-4f28-9c20-f3e3877febf9,,,,,,,,"PROVIDE WITH 'SDB' INSULATED PLENUM BOX, BLACK ADJUSTABLE PATTERN CONTROLLER, END CAP, AND CONNECTOR CLIP (IF REQ'D) FOR CONCEALED FLANGE FASTENING. VERIFY SPACE AVAILABLE FOR INSULATED PLENUM BOX PRIOR TO ORDERING. FIELD FABRICATE INSULATED PLENUM BOX IF REQUIRED DUE TO SPATIAL CONSTRAINTS",,,Accessories
3867b102-8f3c-41f3-8466-a4128f7a72e1,5c2c2979-9a95-4f28-9c20-f3e3877febf9,,,,,,,,"WHITE FINISH WHERE LOCATED IN PNT-3 CEILINGS, BLACK WHERE LOCATED IN WOOD CEILINGS",,,Finish
b6618088-edbe-4ba4-b5f7-149487f75758,ae5554a2-2133-486a-9113-d2507cea11a1,bc663106-1c5c-4cc9-9f68-3a51eb3d4c5b,Manufacturer,33964a1e-f61f-4dcc-a82c-8c06f42ebb91,Price Industries,,,,PRICE,,,Manufacturer
a1cef494-f146-440d-91b4-81cee388e7ea,ae5554a2-2133-486a-9113-d2507cea11a1,,,,,,,,535,,,Model
bbac89a5-25bb-443a-a802-9bf10ee52349,ae5554a2-2133-486a-9113-d2507cea11a1,,,,,,,,RETURN,,,Type
70c15e9d-580f-48d8-937e-71161fe485f7,ae5554a2-2133-486a-9113-d2507cea11a1,2d33b0ad-3035-440f-bfb2-65854c669ad3,Modular Grid Compatibility,,,,,,SEE PLANS,,,Module Size
77c10995-8b73-44df-8dd0-b9d98359c61a,ae5554a2-2133-486a-9113-d2507cea11a1,77e852f9-8538-4233-9412-f6560777c81e,Mounting Type,8e55b532-2515-4da6-932c-30e3598a6c6c,Surface Mounted,,,,SURFACE/LAY IN,,,Mounting (Frame)
1063bd5b-6bf2-4353-867b-f5c503dec250,ae5554a2-2133-486a-9113-d2507cea11a1,,,,,,,,N/A,,,Damper Type
da96632f-18e1-418b-9c27-d19d433a6136,ae5554a2-2133-486a-9113-d2507cea11a1,,,,,,,,"1,2,3,5",,,Remarks
9db6ade0-8f85-4356-a9fa-2f07a369e7f5,ae5554a2-2133-486a-9113-d2507cea11a1,bc663106-1c5c-4cc9-9f68-3a51eb3d4c5b,Manufacturer,33964a1e-f61f-4dcc-a82c-8c06f42ebb91,Price Industries,,,,PRICE,,,Manufacturer
c4af344e-7fd4-4d7b-91c5-e22cc3b499e2,ae5554a2-2133-486a-9113-d2507cea11a1,,,,,,,,535,,,Model
0bd7f88f-108f-492b-89bf-dd2d6f6c783d,ae5554a2-2133-486a-9113-d2507cea11a1,e20b16cd-69dd-4b9f-af9a-64e3d801b205,Supply or Return,57aeb21f-d927-4064-962b-67452f64f868,Return,,,,RETURN,,,Type
3abe3b8b-6fa5-4b36-bf05-f7311b1954db,ae5554a2-2133-486a-9113-d2507cea11a1,,,,,,,,SEE PLANS,,,Module Size
287ccc66-84b1-43ff-9751-1355f832c392,ae5554a2-2133-486a-9113-d2507cea11a1,77e852f9-8538-4233-9412-f6560777c81e,Mounting Type,8e55b532-2515-4da6-932c-30e3598a6c6c,Surface Mounted,,,,SURFACE/LAY IN,,,Mounting (Frame)
3469d267-a2fc-4968-9c0a-6d6fa0c7d430,ae5554a2-2133-486a-9113-d2507cea11a1,,,,,,,,N/A,,,Damper Type
7433ecd3-c196-474e-b4bb-2ebf33deb0a9,ae5554a2-2133-486a-9113-d2507cea11a1,,,,,,,,"1,2,3,5",,,Remarks
6a057123-35a4-48a7-a254-3de3d9d4ce45,ae5554a2-2133-486a-9113-d2507cea11a1,,,,,,,,"ANEMOSTAT, KRUEGER, NAILOR, PRICE, TITUS",,,Acceptable Manufacturers
46203ab2-dc41-4f2a-a3b0-ed587c04f2c8,ae5554a2-2133-486a-9113-d2507cea11a1,671253fd-d096-4dee-ba55-b9a9cc344ccb,Noise Level,,,,,,<25,,,Noise Criteria
09ac249f-e80c-44ac-9f9e-58ed8ffa5941,ae5554a2-2133-486a-9113-d2507cea11a1,e816f855-ea53-447e-8384-fd46868b4133,Neck Size,,,,,,REFER TO DRAWINGS,,,Neck Size
3dd6987d-aa2d-4572-851e-fe405b797bf5,ae5554a2-2133-486a-9113-d2507cea11a1,,,,,,,,COORDINATE FINISHES WITH ARCHITECT,,,Finish Note
60d794cb-02e3-4c6b-88b6-583431f681a6,ae5554a2-2133-486a-9113-d2507cea11a1,,,,,,,,1/2,in,,Blade Spacing
786317fc-d1db-4811-b189-872d8f8a4be3,ae5554a2-2133-486a-9113-d2507cea11a1,bc663106-1c5c-4cc9-9f68-3a51eb3d4c5b,Manufacturer,33964a1e-f61f-4dcc-a82c-8c06f42ebb91,Price Industries,,,,PRICE,,,Manufacturer
fb020267-4ae1-4fc4-a07b-6270fcff11b7,ae5554a2-2133-486a-9113-d2507cea11a1,,,,,,,,535,,,Model
7bdbb22c-67cb-40e7-a483-f3b515d65202,ae5554a2-2133-486a-9113-d2507cea11a1,e20b16cd-69dd-4b9f-af9a-64e3d801b205,Supply or Return,57aeb21f-d927-4064-962b-67452f64f868,Return,,,,RETURN,,,Type
739f061e-01b3-4c57-8bce-ae232c653104,ae5554a2-2133-486a-9113-d2507cea11a1,,,,,,,,SEE PLANS,,,Module Size
63383002-eb18-42f8-9158-1ccff9749860,ae5554a2-2133-486a-9113-d2507cea11a1,77e852f9-8538-4233-9412-f6560777c81e,Mounting Type,8e55b532-2515-4da6-932c-30e3598a6c6c,Surface Mounted,,,,SURFACE/LAY IN,,,Mounting (Frame)
