spec_id,equipment_id,type_id,type_name,option_id,option_name,unit_id,unit_name,raw_specs,literal_value,literal_unit,literal_category,literal_type
68106ffd-f555-4d5d-95d0-a089212d9dae,5e2dcc76-b9b2-4e62-94bc-e7c6c1724748,,,,,,,,ADVANCED RADIANT,,,Manufacturer
3c50ccf6-3a04-46d7-8723-6f97b40c3bff,5e2dcc76-b9b2-4e62-94bc-e7c6c1724748,,,,,,,,DU80-S40,,,Model
356dfc25-9f5f-45bb-8ad0-09b660a959b5,5e2dcc76-b9b2-4e62-94bc-e7c6c1724748,dad18d76-1ac5-4a23-a4b5-ef09d3580618,Mounting Height,,,,,,18,FT,,Mounting Height
4036c6a3-0398-47aa-a9a8-984a7e153402,5e2dcc76-b9b2-4e62-94bc-e7c6c1724748,,,,,,,,40,FT,,Tube Length
9d3571ec-4eb7-4f36-be57-a031abb03511,5e2dcc76-b9b2-4e62-94bc-e7c6c1724748,4b097d14-31d4-45cb-b4df-2671909c6585,Fuel Type,fd67c7a4-cba2-43c4-80a4-a4e6ab705713,Natural Gas,,,,NAT. GAS,,Heating Data,Fuel Type
45fb540a-c237-474f-a2c8-2a295043231b,5e2dcc76-b9b2-4e62-94bc-e7c6c1724748,e8acafc6-b152-4de5-903f-896af6120423,Power Input,,,ebda520d-e31a-0838-4289-80ae9982b006,Thousand BTU per Hour,,80,MBH,Heating Data,Input
4b6472a5-0798-4cc1-8c37-9e298d2784ba,5e2dcc76-b9b2-4e62-94bc-e7c6c1724748,2d2ae19d-c0d6-41f1-a2c0-2a2b97a70745,Heating Capacity,,,ebda520d-e31a-0838-4289-80ae9982b006,Thousand BTU per Hour,,-,MBH,Heating Data,Output
add99bd4-7899-4778-9263-bb223dddda0a,5e2dcc76-b9b2-4e62-94bc-e7c6c1724748,,,,,,,,2,,Heating Data,# of Stages
8cfa9c62-bfbb-4910-86e2-1f0e5e6fed11,5e2dcc76-b9b2-4e62-94bc-e7c6c1724748,,,,,,,,N/A,%,Heating Data,AFUE
8b1c2320-f2be-4bd7-8b2b-dc7dd79f824c,5e2dcc76-b9b2-4e62-94bc-e7c6c1724748,f8c7b985-288e-4160-b9f9-f923877ec673,Voltage,b0822647-9a15-4d4e-8196-230203593e69,120,,,,120,,Electrical Data,Volt
ca3a9fec-e7c6-447a-a49a-b51169e3e836,5e2dcc76-b9b2-4e62-94bc-e7c6c1724748,dc025f71-f7e9-4f8b-afe8-776f30a7acc7,Phase,5cccfbae-e42f-4a4a-9a47-4df36ddbf0f8,1Ø,,,,1,,Electrical Data,Phase
13bdfd25-fedf-4d6d-9e46-2e9990f631ab,5e2dcc76-b9b2-4e62-94bc-e7c6c1724748,5869aba7-ed8b-4fb0-a830-8f68c613d30e,Current Draw,,,,,,1,,Electrical Data,FLA
eaeaa846-cf06-44c3-893e-889603d35748,5e2dcc76-b9b2-4e62-94bc-e7c6c1724748,,,,,,,,15,,Electrical Data,MOCP
d4561400-4c81-461c-b1e9-aefbb3f8052e,5e2dcc76-b9b2-4e62-94bc-e7c6c1724748,67977518-2945-4371-9e21-5ddf65b6bc75,Panel Weight,,,fe46f69d-dd77-9a0f-5dc4-1ce604c97ea9,Pound,,215,LBS,,Operating Weight
c59ff68a-2a75-404b-9ae8-e325a6ef7b31,5e2dcc76-b9b2-4e62-94bc-e7c6c1724748,,,,,,,,ALL,,,Remarks
6f9f39bb-ff95-467e-a598-2fe2f85e30ed,5e2dcc76-b9b2-4e62-94bc-e7c6c1724748,,,,,,,,ADVANCED RADIANT,,,Manufacturer
91a5adbb-c6dc-4d78-8a45-94aad5a0a292,5e2dcc76-b9b2-4e62-94bc-e7c6c1724748,,,,,,,,DU80-S40,,,Model
a722fdc6-c54c-4d54-8500-90680c3702cf,5e2dcc76-b9b2-4e62-94bc-e7c6c1724748,dad18d76-1ac5-4a23-a4b5-ef09d3580618,Mounting Height,,,,,,18,FT,,Mounting Height
fe663709-2a41-45a2-8a26-f97647cc4318,5e2dcc76-b9b2-4e62-94bc-e7c6c1724748,,,,,,,,40,FT,,Tube Length
223031ac-4365-4b8d-8071-3d4a7221c864,5e2dcc76-b9b2-4e62-94bc-e7c6c1724748,4b097d14-31d4-45cb-b4df-2671909c6585,Fuel Type,,,,,,NAT. GAS,,Heating Data,Fuel Type
f06d3183-9b0b-4706-b646-ad314ed30b51,5e2dcc76-b9b2-4e62-94bc-e7c6c1724748,,,,,,,,80,MBH,Heating Data,Input
