spec_id,equipment_id,type_id,type_name,option_id,option_name,unit_id,unit_name,raw_specs,literal_value,literal_unit,literal_category,literal_type
df520bbf-c43f-4690-bce4-fbbcb85a240b,425de722-1f6d-473b-a736-142e42e7f674,,,,,,,,SDV,,,Model
4cebf432-07fa-43f8-9ea0-8995225d65d2,425de722-1f6d-473b-a736-142e42e7f674,,,,,,,,8,,,Unit Size
5298521c-1c5b-4cee-8e61-9c79a322e1d7,425de722-1f6d-473b-a736-142e42e7f674,,,,,,,,0.25,IN WG,Air Pressure,Downstream
204a554c-9407-4d5e-9607-64776872ad50,425de722-1f6d-473b-a736-142e42e7f674,,,,,,,,97.5,°F,Electric Reheat,LAT
34101dac-2564-4029-b253-64f690108b17,425de722-1f6d-473b-a736-142e42e7f674,bc663106-1c5c-4cc9-9f68-3a51eb3d4c5b,Manufacturer,33964a1e-f61f-4dcc-a82c-8c06f42ebb91,Price Industries,,,,PRICE,,,Manufacturer
7743e1b9-1857-4c92-b053-f2f42f7d4401,425de722-1f6d-473b-a736-142e42e7f674,,,,,,,,SDV,,,Model
58809375-1d8b-432f-a1d2-f76975a57d58,425de722-1f6d-473b-a736-142e42e7f674,325c8c53-9f6e-4c60-b9b8-031a198a562a,Inlet Size,,,,,,8,,,Unit Size
a7b6d8cd-beed-49b5-a5ca-d2227b4956c3,425de722-1f6d-473b-a736-142e42e7f674,ab685915-020e-4475-9f80-8a2915e81d5c,Air Flow,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,,370,CFM,Airflow,Cooling Max
76d2979a-81a3-4bd1-9cb6-5ca31999e49a,425de722-1f6d-473b-a736-142e42e7f674,,,,,,,,185,CFM,Airflow,Cooling Min
4c47af4c-8642-4587-b19c-bcaf8702c4b2,425de722-1f6d-473b-a736-142e42e7f674,,,,,,,,185,CFM,Airflow,Reheat
9b302de3-adc2-4ad7-aa2f-69ffd21eb7f6,425de722-1f6d-473b-a736-142e42e7f674,,,,,,,,1.25,IN WG,Air Pressure,Inlet Static Pressure
512c660a-8b4f-4a32-906c-dfa1d4bf42b5,425de722-1f6d-473b-a736-142e42e7f674,,,,,,,,0.25,IN WG,Air Pressure,Downstream
b99d6b37-36bb-4181-9e97-15d0742aa8a0,425de722-1f6d-473b-a736-142e42e7f674,00db6215-55f3-48dd-973e-ae6418c8d547,Pressure Drop,,,55d4740f-1ada-4220-9d87-55fb1d417e14,inches of water gauge,,0.01,IN WG,Air Pressure,OP PD
