equipment_id,equipment_tag,component_type_id,component_type_name,quantity,component_id,component_name,component_model,component_manufacturer_name,bod_manufacturer_name
f0a517c2-1fb2-4d00-a632-511f8dc4c836,X-Z-OCC,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
10084d8f-b2c4-4c2f-a29c-eb4742783828,BDP,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
1f6df008-e6c9-4c45-83f0-399798d51892,BDP-SP,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
204a56c8-1b87-4780-a3cf-b4612b01bc10,USD,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
a0608233-3ea5-48d9-b535-5c344810f1f9,MS-DLY,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
317d24de-2b3d-42ff-95fe-6ece0b3a37d5,X-Z-T,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
8b05814d-e57d-41da-af18-2a00c6e12d7e,X-Z-H,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
118faad5-6cf9-453e-84c7-165c3a6d658f,X-Z-DP,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
1fdbf236-c7d4-497e-a45d-6a8269595f17,X-Z-CO2,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
fb9cb77c-ecfb-448c-9b5d-3512e0e3a7ad,X-Z-T-R,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
3cdb4c0a-87f3-4fc6-8459-5728517a24ad,X-Z-T-W,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
76af7c19-56b5-43e6-862b-e2123ebf18c5,SAT,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
83508f6b-030f-4eaf-887c-3a8202de92a8,SAT-SP,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
6e33d9be-66a0-45b9-837f-cc861c7bcc5b,SAT-DB,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
2c16bdac-cd27-4fb8-b4a2-846903e8ebab,SAH,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
87129907-19c5-4eba-a978-09b781b722a3,SADP,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
c914794b-b5c2-4ea5-a4ba-a64ce732a22d,SAE,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
d54d55a4-8c71-44db-a9d9-9138f7b31a56,SA-HS,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
5de4ee85-cd39-4d08-8f03-b14575a94d46,RAT,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
48948f0d-7e3e-42f7-91b6-bb51514368ba,RAH,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
040dd1c5-2816-4ce8-8e27-944d328d308f,RADP,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
c9eb5018-e29d-4bbf-ad60-8f41d0d2a221,RAE,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
bccf9698-3f6d-4b66-a9a7-a96e4a9359fb,RA-CO2,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
a1e66074-69d1-45dc-b007-cc231984e8d0,RA-LS,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
f84e3d69-1c58-4a47-9bc0-b4a890c4af50,RA-HS,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
9ea354a9-705b-4b14-8803-167997425360,OAT,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
36645dbd-9cbb-4207-9bc5-25f0283582d6,OAH,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
3bfdc980-f5fe-495c-ae81-16dece55ab0f,OAE,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
f7e5a5ba-1646-4ed0-aab9-e8921bf47cfb,OA-LS,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
a861a7b5-b2b5-4fc5-aef4-d1f9788eaa5d,MAT,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
1228158c-0af4-4391-9ec1-ec1ce4e3ec97,MAT-SP,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
088745ee-f8e1-4b84-8b88-0dfcb0348d6f,HC-LAT,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
58b3b4e4-1a50-4c9d-80d9-48e0ce6fcec9,CC-LAT,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
78ef537b-3479-4847-8d08-511c5500d354,SA-DSP,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
2cd0bb32-67ad-4874-ba2d-cf783b54cd8a,SA-DSP-SP,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
1db9a04f-9986-45be-9b9c-2ba27fed334b,TB-AF,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
c42ac35b-a38c-4ce6-853c-a1fc66d49658,SA-AF,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
4df116de-a0c1-4f89-95bc-b87127542805,SA-AF-SP,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
71c45999-f44b-4793-ab58-69618fb5e9f5,OA-AF,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
b0d72250-4a42-4a4c-83f2-babe09803abf,OA-AF-SP,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
e3c24afd-8091-46f9-b980-5488ce2d6aad,DSP-MIN,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
5e472a36-2f8c-4dd5-8501-c4ba1945419f,MOA-AF,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
89d54389-fb1f-47cd-a6d1-0e851b22d366,MOA-AF-SP,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
bc377f8a-812b-40c2-9982-5cdc488670c8,EOA-AF,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
616ccdc1-edfb-4a30-b798-4dcde83f63af,OAT-HL,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
f9296fae-83b4-4926-b106-82aea356c8cd,OAE-HL,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
c95f9acc-d2e8-4d94-b8f6-24a18261a4e3,OSRD,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
5345cd5a-5be7-4769-ae4f-a385ee99a9e7,OSRD-HSP,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
ebe1e5d3-9820-4a50-b6eb-f94df6090617,DSP-0,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
b18f1e37-b910-4006-ba6a-66e1beadf7b8,DSP-MAX,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
a012cbc7-edd9-4a0c-8e0b-e1cf644eef9e,TR-TD,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
56bc6ebd-4499-41b4-8b89-2ea22c634903,TR-T,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
9e249ad3-20d2-4cb8-8ced-31d4b493c197,TR-R,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
8772eec5-2841-4858-b99d-751b648404e0,TR-I,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
950c26a5-66cc-464c-97b8-d20a6849bedb,TR-TRIM,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
1c873b76-99f3-4d88-b252-7c8128ed5384,TR-RES,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
0da2d65c-e27c-4fa8-96cb-277674f117fc,TR-RES-MAX,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
11cb0c74-78da-49fc-99a9-d4b417d7786e,OAT-RST-MIN,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
50548026-2a08-4126-8dc9-77cf0467b07a,SD,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
7db64998-5e27-495f-b863-30fdfd7d25b9,OAT-RST-MAX,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
ff5c5428-f513-42d5-871f-7212c02a8644,SAT-DLY,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
9f936139-aefd-4812-9511-d87838352509,T-MAX,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
b553053b-1efd-4631-8cc9-5e0e81f1fb1f,SAT-0,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
c51939b9-ded6-4f4e-a9cd-6a796ec79b0e,SAT-MIN,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
6716c7e2-2078-46ad-89f1-b65a76b33a8f,SAT-MAX,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
bcb2e5ca-ec79-4353-a8c7-2bc49f1a95ef,SAT-TR-TD,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
04005007-11b3-4c71-9769-e0674a89021a,SAT-TR-T,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
d6058973-b989-40dd-9cc3-92ebb3cfc8e2,SAT-TR-TRIM,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
474ea264-f9f2-4846-b8b3-e50159f7ab52,SAT-TR-RES,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
d4246176-8ce0-4833-830b-7c9055290d4d,SAT-TR-RES-MAX,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
a5b6b5c5-2936-47e9-86c4-5090cac6c289,OA-AF-MAX,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
7a8fb502-f572-4a82-845a-cfa2f4289478,OA-AF-MIN,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
32b07490-f935-4a14-a603-00a6dcb498b5,CO2-MAX,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
d143b32c-fb2d-4039-adf8-caf3bf9c9161,CO2-MIN,4f6f8038-30ca-4ced-b225-c04d5614ca09,Instrumentation and Control for HVAC,0,,,,,
