package_id,package,equipment_id,equipment_tag,component_type_id,component_type_name,quantity,component_id,component_name,component_model,component_manufacturer_name,bod_manufacturer_name
d56da878-74d7-4bd1-9772-2abc4204ed0b,PCU FILTER SPECIFICATIONS,cc0e7c27-e076-4dcf-9cc3-4355e69ae3fd,MODULE 2,cd1a5c14-fba1-4e2e-a5ab-6946d4519cd7,HVAC Air Cleaning Devices,0,,,,,
d56da878-74d7-4bd1-9772-2abc4204ed0b,PCU FILTER SPECIFICATIONS,88762d9e-f09d-48e3-9cc3-0684abb780b3,MODULE 1,cd1a5c14-fba1-4e2e-a5ab-6946d4519cd7,HVAC Air Cleaning Devices,0,,,,,
d56da878-74d7-4bd1-9772-2abc4204ed0b,PCU FILTER SPECIFICATIONS,aa15863f-4160-45ec-95e1-52fa925fa393,MODULE 4,cd1a5c14-fba1-4e2e-a5ab-6946d4519cd7,HVAC Air Cleaning Devices,0,,,,,
d56da878-74d7-4bd1-9772-2abc4204ed0b,PCU FILTER SPECIFICATIONS,1adbf19d-c622-4cf4-a2bc-4beacf736571,MODULE 3,cd1a5c14-fba1-4e2e-a5ab-6946d4519cd7,HVAC Air Cleaning Devices,0,,,,,
4f2c38e4-e507-4612-a9ce-337f95ff61c3,Kitchen Hoods,aa813965-61e2-42b9-9486-89a45e10d589,H-1,39b070f7-bb45-4cab-ac88-76d5c24af421,Kitchen Hoods,0,eeb49e85-f3db-4d85-bf1c-5c48615672e8,6024 ND-2,6024 ND-2,CaptiveAire,
4f2c38e4-e507-4612-a9ce-337f95ff61c3,Kitchen Hoods,72fd6ee1-4d5f-4f1a-8793-9935f8204de0,H-2,39b070f7-bb45-4cab-ac88-76d5c24af421,Kitchen Hoods,0,eeb49e85-f3db-4d85-bf1c-5c48615672e8,6024 ND-2,6024 ND-2,CaptiveAire,
c707f12c-e848-4788-afbb-660725d9a6e3,"Diffusers, Registers, and Grilles",f559d3e6-5bde-43e4-9406-afe91f2a8bb0,RD-3,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,e7763758-944e-4fd0-8876-0f1007026d1d,PAR,PAR,Titus,
c707f12c-e848-4788-afbb-660725d9a6e3,"Diffusers, Registers, and Grilles",e26344a2-627c-4a83-856e-a3fefc174bba,SD-5,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,3bc19108-e0fb-4aa5-af3d-d0bfb12ec00d,PAS,PAS,Titus,
c707f12c-e848-4788-afbb-660725d9a6e3,"Diffusers, Registers, and Grilles",3176f3b8-f1de-4346-b68d-f63d47f8ba0f,RG-2,196e4ade-4a74-4933-b50e-dce66ce5b51c,Wall Registers and Grilles,0,fa0d1437-06f9-4134-9434-53c871849088,350R,350R,Titus,
c707f12c-e848-4788-afbb-660725d9a6e3,"Diffusers, Registers, and Grilles",c4124e70-436e-42ad-b540-f45f1e08962c,RG-1,196e4ade-4a74-4933-b50e-dce66ce5b51c,Wall Registers and Grilles,0,fa0d1437-06f9-4134-9434-53c871849088,350R,350R,Titus,
c707f12c-e848-4788-afbb-660725d9a6e3,"Diffusers, Registers, and Grilles",f09d0a54-6824-414c-8549-5302299e7b03,SD-3,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,3bc19108-e0fb-4aa5-af3d-d0bfb12ec00d,PAS,PAS,Titus,
c707f12c-e848-4788-afbb-660725d9a6e3,"Diffusers, Registers, and Grilles",63fb6044-6d54-497d-882e-52ce93d7d5a7,SD-1,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,3bc19108-e0fb-4aa5-af3d-d0bfb12ec00d,PAS,PAS,Titus,
c707f12c-e848-4788-afbb-660725d9a6e3,"Diffusers, Registers, and Grilles",0904249a-f047-42cb-97c3-6c4f165182cf,LSD-1,42900260-9152-49ee-a2b5-4a4802e0bda7,Air Outlets and Inlets,0,81e845d1-6cb9-45f4-abab-c8aa051044c1,FL-10,FL-10,Titus,Titus
c707f12c-e848-4788-afbb-660725d9a6e3,"Diffusers, Registers, and Grilles",9d97d772-524a-4aa3-82a2-30a16152d691,RD-1,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,e7763758-944e-4fd0-8876-0f1007026d1d,PAR,PAR,Titus,
c707f12c-e848-4788-afbb-660725d9a6e3,"Diffusers, Registers, and Grilles",ad0d7159-7299-44e6-94d5-ac20648fad26,SD-2,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,32136a9a-4466-4903-a79f-a5b889142dcb,DI-PSP,DI-PSP,CaptiveAire,
c707f12c-e848-4788-afbb-660725d9a6e3,"Diffusers, Registers, and Grilles",9671746b-8b46-4baa-92ff-2a62cec24537,RD-2,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,e7763758-944e-4fd0-8876-0f1007026d1d,PAR,PAR,Titus,
c707f12c-e848-4788-afbb-660725d9a6e3,"Diffusers, Registers, and Grilles",02b4e38d-c9fb-42bd-b30a-10501e87bb01,SD-4,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,19578331-c87b-460a-809f-64920e78bd4a,TMRA-AA,TMRA-AA,Titus,
2f168730-208f-44d2-aaae-ebfbddb92c5c,HVAC Fans,a83e69b7-11b8-46c9-a64c-afb2b4f7e50e,CEF-4,70453ac9-069e-4574-9d1e-42bbfd7fb5a9,HVAC Power Ventilators,0,0a07cb2b-506f-4390-9014-1f1ca472046b,G-90-D,G-90-D,Greenheck,
2f168730-208f-44d2-aaae-ebfbddb92c5c,HVAC Fans,da6a7e7d-5c95-495f-861a-8b4c88893410,"CEF- 1,2,3",5a722346-9839-40ec-836b-61db06ae3b1b,Ceiling Fans*,0,1be945c7-ae6a-4844-8ee4-cf0b58d5f095,CFA-D110-CA,CFA-D110-CA,CaptiveAire,
2f168730-208f-44d2-aaae-ebfbddb92c5c,HVAC Fans,570cf510-ff3a-4bb2-8f00-6ce1b3245f3f,PCU- 1,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,0,d34f2481-0d0a-4130-9ca4-a31fed5b34d2,USBI30DD-RM,USBI30DD-RM,CaptiveAire,
883c107c-d18f-4b5e-ac7c-26a9c9d91187,Packaged Rooftop Air-Conditioning Units,786dc91e-feb1-4e39-97c2-9aad35985c1e,RTU 1,d19f3f23-ff8d-4796-8707-88d0507ffc8f,Dedicated Outdoor-Air Units,0,c11e23df-6c97-4ba1-b4dc-109ed2ac9091,CAS-HVAC ,CAS-HVAC,CaptiveAire,CaptiveAire
883c107c-d18f-4b5e-ac7c-26a9c9d91187,Packaged Rooftop Air-Conditioning Units,4894349d-5dfb-471b-bdb2-cefdd735ea90,DOAS 1,d19f3f23-ff8d-4796-8707-88d0507ffc8f,Dedicated Outdoor-Air Units,0,c11e23df-6c97-4ba1-b4dc-109ed2ac9091,CAS-HVAC ,CAS-HVAC,CaptiveAire,CaptiveAire
