equipment_id,equipment_tag,component_type_id,component_type_name,quantity,component_id,component_name,component_model,component_manufacturer_name,bod_manufacturer_name
347c8815-6a8c-4841-ae64-6e23c2dd3b9e,IH E-1,dcf41309-511d-414f-9477-338536b2b241,HVAC Gravity Ventilators,1,bcf68b72-7a53-405a-a75b-5f4ed7e6fe5c,GRSI,GRSI,Greenheck,Greenheck
d65c79f5-30fa-4d42-881b-e8cdc477b9b8,IH E-2,dcf41309-511d-414f-9477-338536b2b241,HVAC Gravity Ventilators,1,bcf68b72-7a53-405a-a75b-5f4ed7e6fe5c,GRSI,GRSI,Greenheck,Greenheck
6d1632f1-9cf4-4a5f-ba2e-2aad20cad2a5,IH E-3,dcf41309-511d-414f-9477-338536b2b241,HVAC Gravity Ventilators,1,bcf68b72-7a53-405a-a75b-5f4ed7e6fe5c,GRSI,GRSI,Greenheck,Greenheck
84367c4c-4c1c-4735-b015-3b5fb63420da,IH D-1,dcf41309-511d-414f-9477-338536b2b241,HVAC Gravity Ventilators,1,bcf68b72-7a53-405a-a75b-5f4ed7e6fe5c,GRSI,GRSI,Greenheck,Greenheck
f54e4c3c-31d2-477c-897b-a4e845126728,IH D-3,dcf41309-511d-414f-9477-338536b2b241,HVAC Gravity Ventilators,1,bcf68b72-7a53-405a-a75b-5f4ed7e6fe5c,GRSI,GRSI,Greenheck,Greenheck
c368c485-4308-4bf7-8dc7-867caba44879,IH D-2,dcf41309-511d-414f-9477-338536b2b241,HVAC Gravity Ventilators,1,bcf68b72-7a53-405a-a75b-5f4ed7e6fe5c,GRSI,GRSI,Greenheck,Greenheck
343eb329-ec74-4546-a747-e3dcf7b3b334,RH M-7,dcf41309-511d-414f-9477-338536b2b241,HVAC Gravity Ventilators,1,381c0691-4217-4b25-b81f-77eefbc64f1c,GRSR,GRSR,Greenheck,Greenheck
a49939f7-e6ff-49a0-9fa4-6f0c9dbf7269,RH M-1,dcf41309-511d-414f-9477-338536b2b241,HVAC Gravity Ventilators,1,2086cd6d-f82a-4247-aa10-28d32f6535a8,FGR,FGR,Aurora,Aurora
63323bf0-5a15-4c3a-81a3-5adfafa80ac0,RH M-4,dcf41309-511d-414f-9477-338536b2b241,HVAC Gravity Ventilators,1,381c0691-4217-4b25-b81f-77eefbc64f1c,GRSR,GRSR,Greenheck,Greenheck
750aa047-8452-4271-9e12-38ed361a6aaa,RH M-5,dcf41309-511d-414f-9477-338536b2b241,HVAC Gravity Ventilators,1,381c0691-4217-4b25-b81f-77eefbc64f1c,GRSR,GRSR,Greenheck,Greenheck
abf968d8-f21f-4d2b-a1a0-c387edb0ec22,RH M-6,dcf41309-511d-414f-9477-338536b2b241,HVAC Gravity Ventilators,1,381c0691-4217-4b25-b81f-77eefbc64f1c,GRSR,GRSR,Greenheck,Greenheck
6ece3d19-e766-45af-ad5b-72319aeaec2c,RH M-2,dcf41309-511d-414f-9477-338536b2b241,HVAC Gravity Ventilators,1,2086cd6d-f82a-4247-aa10-28d32f6535a8,FGR,FGR,Aurora,Aurora
a91ad105-911a-4b8f-aaf3-9b6568945c03,RH M-3,dcf41309-511d-414f-9477-338536b2b241,HVAC Gravity Ventilators,1,381c0691-4217-4b25-b81f-77eefbc64f1c,GRSR,GRSR,Greenheck,Greenheck
ae47a455-97cd-4733-be96-188f676f37d4,IH C-1,dcf41309-511d-414f-9477-338536b2b241,HVAC Gravity Ventilators,1,bcf68b72-7a53-405a-a75b-5f4ed7e6fe5c,GRSI,GRSI,Greenheck,Greenheck
c95aa55f-383f-4da4-9de1-201b0a32baa0,IH C-3,dcf41309-511d-414f-9477-338536b2b241,HVAC Gravity Ventilators,1,bcf68b72-7a53-405a-a75b-5f4ed7e6fe5c,GRSI,GRSI,Greenheck,Greenheck
0d7d72cc-88f2-4aba-8f98-dfc0a784d074,IH C-2,dcf41309-511d-414f-9477-338536b2b241,HVAC Gravity Ventilators,1,bcf68b72-7a53-405a-a75b-5f4ed7e6fe5c,GRSI,GRSI,Greenheck,Greenheck
adde6ff6-b7e8-481e-8946-4d590b03dd66,RH A-1,dcf41309-511d-414f-9477-338536b2b241,HVAC Gravity Ventilators,2,381c0691-4217-4b25-b81f-77eefbc64f1c,GRSR,GRSR,Greenheck,Greenheck
0bb6aa6e-ac67-43d5-9c46-2f379962b708,RH A-2,dcf41309-511d-414f-9477-338536b2b241,HVAC Gravity Ventilators,2,381c0691-4217-4b25-b81f-77eefbc64f1c,GRSR,GRSR,Greenheck,Greenheck
dc518376-4435-406c-9633-d5f4e5a8670e,RH B-1,dcf41309-511d-414f-9477-338536b2b241,HVAC Gravity Ventilators,2,381c0691-4217-4b25-b81f-77eefbc64f1c,GRSR,GRSR,Greenheck,Greenheck
57d7e7ca-1508-4d61-8b59-1883ac3ef684,IH F-1,dcf41309-511d-414f-9477-338536b2b241,HVAC Gravity Ventilators,1,bcf68b72-7a53-405a-a75b-5f4ed7e6fe5c,GRSI,GRSI,Greenheck,Greenheck
33b31eab-1788-4aef-923b-095dde9c5aad,IH F-2,dcf41309-511d-414f-9477-338536b2b241,HVAC Gravity Ventilators,1,bcf68b72-7a53-405a-a75b-5f4ed7e6fe5c,GRSI,GRSI,Greenheck,Greenheck
