package_id,package,equipment_id,equipment_tag,component_type_id,component_type_name,quantity,component_id,component_name,component_model,component_manufacturer_name,bod_manufacturer_name
4fff7945-dc16-41e7-83a7-9daa60f1ed63,AIR-COOLED CONDENSING UNIT SCHEDULE (CU-X),a3daee0e-380f-4f80-9f2b-635c7e10d7b4,CU-2,997c6c01-cd27-4e2b-971c-7924cbd01df3,Split System Air Conditioners,1,bcc3f49c-cf16-4c0a-9f7d-0f6ebb562023,PUY-AK12NL,PUY-AK12NL,MITSUBISHI ELECTRIC TRANE,MITSUBISHI ELECTRIC TRANE
4fff7945-dc16-41e7-83a7-9daa60f1ed63,AIR-COOLED CONDENSING UNIT SCHEDULE (CU-X),66e52ddb-7535-4bbe-b7df-6b68686d9cc9,DFS-1,997c6c01-cd27-4e2b-971c-7924cbd01df3,Split System Air Conditioners,1,3ab8d9aa-4217-4ee0-87b3-7f00122610bd,PKA-AL18NL,PKA-AL18NL,Mitsubishi Electric (Including Trane Products),Mitsubishi Electric (Including Trane Products)
4fff7945-dc16-41e7-83a7-9daa60f1ed63,AIR-COOLED CONDENSING UNIT SCHEDULE (CU-X),80f61996-1d10-4301-9022-281de986f7eb,DFS-2,997c6c01-cd27-4e2b-971c-7924cbd01df3,Split System Air Conditioners,1,3c611cee-f116-4e0b-9222-978be98e61c5,PLA-A18BA4,PLA-A18BA4,MITSUBISHI ELECTRIC TRANE,MITSUBISHI ELECTRIC TRANE
4fff7945-dc16-41e7-83a7-9daa60f1ed63,AIR-COOLED CONDENSING UNIT SCHEDULE (CU-X),10c423f1-a794-4f3e-a90a-7559cc4279d3,DFS-3,997c6c01-cd27-4e2b-971c-7924cbd01df3,Split System Air Conditioners,1,4dc0be49-9c3d-454b-ba4f-4fc88f6a7907,PLA-A12BA4,PLA-A12BA4,MITSUBISHI ELECTRIC TRANE,MITSUBISHI ELECTRIC TRANE
4fff7945-dc16-41e7-83a7-9daa60f1ed63,AIR-COOLED CONDENSING UNIT SCHEDULE (CU-X),08f01ac4-9210-474f-9e29-7b8001ffa1cf,CU-1,997c6c01-cd27-4e2b-971c-7924cbd01df3,Split System Air Conditioners,1,d6f922c5-01e8-4f25-9e56-f46748fc4a24,PUY-AK 18NL,PUY-AK 18NL,MITSUBISHI ELECTRIC TRANE,MITSUBISHI ELECTRIC TRANE
cb27ffae-5c0c-4f9e-81f3-e406cb70a06c,ELECTRIC UNIT HEATER SCHEDULE (EUH-X),8ba6bd2a-23b1-447d-9059-3a79b54db629,EUH-8,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,2,0eb8e490-9962-4501-87f4-a59521b4a6a9,HF4320T2RPW,HF4320T2RPW,Markel Products,Markel Products
cb27ffae-5c0c-4f9e-81f3-e406cb70a06c,ELECTRIC UNIT HEATER SCHEDULE (EUH-X),6cad23bb-629c-434a-bcd2-8a5c043d6eac,EUH-9,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,1,0eb8e490-9962-4501-87f4-a59521b4a6a9,HF4320T2RPW,HF4320T2RPW,Markel Products,Markel Products
cb27ffae-5c0c-4f9e-81f3-e406cb70a06c,ELECTRIC UNIT HEATER SCHEDULE (EUH-X),ff35f2f0-5d4c-4676-beb7-170da517607f,EUH-6,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,0,e68b3e08-9f1c-450d-80dd-5205b1108ffb,HF3032DWBW,HF3032DWBW,Markel Products,Markel Products
cb27ffae-5c0c-4f9e-81f3-e406cb70a06c,ELECTRIC UNIT HEATER SCHEDULE (EUH-X),d772afdc-08ce-48f2-9a4e-799185326d99,EUH-2,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,0,0eb8e490-9962-4501-87f4-a59521b4a6a9,HF4320T2RPW,HF4320T2RPW,Markel Products,Markel Products
cb27ffae-5c0c-4f9e-81f3-e406cb70a06c,ELECTRIC UNIT HEATER SCHEDULE (EUH-X),774cb6bf-d60b-45b1-bcbe-71e4cc4b8a8a,EUH-1,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,0,0eb8e490-9962-4501-87f4-a59521b4a6a9,HF4320T2RPW,HF4320T2RPW,Markel Products,Markel Products
cb27ffae-5c0c-4f9e-81f3-e406cb70a06c,ELECTRIC UNIT HEATER SCHEDULE (EUH-X),db9bf1f9-c56a-4556-b949-dee771fbeca0,EUH-4,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,0,0eb8e490-9962-4501-87f4-a59521b4a6a9,HF4320T2RPW,HF4320T2RPW,Markel Products,Markel Products
cb27ffae-5c0c-4f9e-81f3-e406cb70a06c,ELECTRIC UNIT HEATER SCHEDULE (EUH-X),482b0a0d-93a9-428d-8a43-1f88aebd7ad2,EUH-3,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,0,0eb8e490-9962-4501-87f4-a59521b4a6a9,HF4320T2RPW,HF4320T2RPW,Markel Products,Markel Products
cb27ffae-5c0c-4f9e-81f3-e406cb70a06c,ELECTRIC UNIT HEATER SCHEDULE (EUH-X),e7f89089-90ba-4c34-8c75-1c7585bc99a1,EUH-7,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,0,e68b3e08-9f1c-450d-80dd-5205b1108ffb,HF3032DWBW,HF3032DWBW,Markel Products,Markel Products
cb27ffae-5c0c-4f9e-81f3-e406cb70a06c,ELECTRIC UNIT HEATER SCHEDULE (EUH-X),e2d5d5f2-eb57-4906-a0fe-5c3c77fc8c6a,EUH-5,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,0,0eb8e490-9962-4501-87f4-a59521b4a6a9,HF4320T2RPW,HF4320T2RPW,Markel Products,Markel Products
a2f761b8-4920-47b2-a016-11e12e29f87c,GRILLE AND DIFFUSER SCHEDULE,566f9d86-b791-461c-b378-c21d67f7a62f,S6,96e3c67f-58e4-4b2e-acd4-884ab173b553,Ceiling Diffusers,17,ebfe4abe-6910-403b-b4ba-cdb67927edea,SPD,SPD,Price Industries,Price Industries
a2f761b8-4920-47b2-a016-11e12e29f87c,GRILLE AND DIFFUSER SCHEDULE,ce056864-395b-493b-b1c0-00563f0f62c6,S8,96e3c67f-58e4-4b2e-acd4-884ab173b553,Ceiling Diffusers,9,ebfe4abe-6910-403b-b4ba-cdb67927edea,SPD,SPD,Price Industries,Price Industries
a2f761b8-4920-47b2-a016-11e12e29f87c,GRILLE AND DIFFUSER SCHEDULE,0b3550e2-f60f-49c5-9aa6-bde924e1f1ba,S10,96e3c67f-58e4-4b2e-acd4-884ab173b553,Ceiling Diffusers,87,ebfe4abe-6910-403b-b4ba-cdb67927edea,SPD,SPD,Price Industries,Price Industries
a2f761b8-4920-47b2-a016-11e12e29f87c,GRILLE AND DIFFUSER SCHEDULE,285aef39-98d2-4dec-8a13-352c06f8dbbe,R22,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",98,e6b4c914-8e7e-4b11-a0cc-6e86f7f96b18,PDDR,PDDR,Price Industries,Price Industries
a2f761b8-4920-47b2-a016-11e12e29f87c,GRILLE AND DIFFUSER SCHEDULE,b18f612e-d4aa-426a-9d7f-2bf5967762d0,E6,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",19,e6b4c914-8e7e-4b11-a0cc-6e86f7f96b18,PDDR,PDDR,Price Industries,Price Industries
a2f761b8-4920-47b2-a016-11e12e29f87c,GRILLE AND DIFFUSER SCHEDULE,1f8a15dd-db90-4598-b6e7-d2889ed23956,S12,96e3c67f-58e4-4b2e-acd4-884ab173b553,Ceiling Diffusers,34,ebfe4abe-6910-403b-b4ba-cdb67927edea,SPD,SPD,Price Industries,Price Industries
a2f761b8-4920-47b2-a016-11e12e29f87c,GRILLE AND DIFFUSER SCHEDULE,675467d9-4544-4207-9bd8-d5d74388d842,S14,96e3c67f-58e4-4b2e-acd4-884ab173b553,Ceiling Diffusers,12,ebfe4abe-6910-403b-b4ba-cdb67927edea,SPD,SPD,Price Industries,Price Industries
a2f761b8-4920-47b2-a016-11e12e29f87c,GRILLE AND DIFFUSER SCHEDULE,017c9f3e-61e6-419f-a35d-3264fd82959d,SG12,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",11,2e9dcdf8-ac05-4dac-8ce5-8c558ac2dac8,520D,520D,Price Industries,Price Industries
a2f761b8-4920-47b2-a016-11e12e29f87c,GRILLE AND DIFFUSER SCHEDULE,5c72f790-d733-497c-944c-77888d8556c2,SG24,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",4,2e9dcdf8-ac05-4dac-8ce5-8c558ac2dac8,520D,520D,Price Industries,Price Industries
a2f761b8-4920-47b2-a016-11e12e29f87c,GRILLE AND DIFFUSER SCHEDULE,f3e0cbce-bc9f-409d-ac9a-071c526ba86e,S48,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",10,325233f0-7a18-4754-ad73-ce79a480b72c,TBD4100,TBD4100,Price Industries,Price Industries
23ca4698-a541-427a-8087-5621319d00fd,HEAT PUMP UNIT SCHEDULE (HP-X),9b60252e-3faf-4aff-bb86-a5f887a87d9c,HP-1,800381da-3e26-4f23-906c-f1ecfc55f4ed,Split System Heat Pumps,1,467b3a76-7460-4343-a2a2-8d80e56fa354,PUZ-AK 12NL,PUZ-AK 12NL,MITSUBISHI ELECTRIC TRANE,MITSUBISHI ELECTRIC TRANE
bf799710-7cc7-4aaf-a6da-52d2758c0038,GAS UNIT HEATER SCHEDULE (GUH-X),0c136b24-142b-4a16-84db-b316d4b223eb,GUH-1,b9b3ef9d-fbdc-465c-9b5c-a149b805b33d,Unit Heaters,3,ce961e64-68e9-4697-9301-1bf8493bfbca,Hot Dawg Unit Heaters,HD,Modine,Modine
bf799710-7cc7-4aaf-a6da-52d2758c0038,GAS UNIT HEATER SCHEDULE (GUH-X),7e207ddd-9129-43e9-b3c8-7b9d1a39b529,GUH-2,b9b3ef9d-fbdc-465c-9b5c-a149b805b33d,Unit Heaters,2,ce961e64-68e9-4697-9301-1bf8493bfbca,Hot Dawg Unit Heaters,HD,Modine,Modine
450265ba-1bdc-43c8-baba-053fa720acac,FLOOR HEATER SCHEDULE (FTR-X),bebc14b4-d68b-49a2-81da-d07b8edbf4a0,FTR-2,c0067543-176e-4136-90da-fbf715fa62c4,Radiant-Heating Electric Panels,0,7b1b2223-0d66-4327-b023-c8be44a14cb9,F99108-01-200,F99108-01-200,Markel Products,Markel Products
450265ba-1bdc-43c8-baba-053fa720acac,FLOOR HEATER SCHEDULE (FTR-X),fa72ba6a-e212-4852-9de2-569f425d9d88,FTR-1,c0067543-176e-4136-90da-fbf715fa62c4,Radiant-Heating Electric Panels,0,7b1b2223-0d66-4327-b023-c8be44a14cb9,F99108-01-200,F99108-01-200,Markel Products,Markel Products
450265ba-1bdc-43c8-baba-053fa720acac,FLOOR HEATER SCHEDULE (FTR-X),5514f262-3c10-466c-a535-06b36725fe90,FTR-4,c0067543-176e-4136-90da-fbf715fa62c4,Radiant-Heating Electric Panels,0,98f1a5b0-6462-43d9-aafd-a4376fa86901,F9972-01-200,F9972-01-200,Markel Products,Markel Products
450265ba-1bdc-43c8-baba-053fa720acac,FLOOR HEATER SCHEDULE (FTR-X),7530da3c-0e43-43ef-a648-b43b29fc2eba,FTR-6,c0067543-176e-4136-90da-fbf715fa62c4,Radiant-Heating Electric Panels,0,be5b9a88-8222-43b3-bac1-23f41926d91f,F9996-01-200,F9996-01-200,Markel Products,Markel Products
450265ba-1bdc-43c8-baba-053fa720acac,FLOOR HEATER SCHEDULE (FTR-X),5537e5fd-f2ca-4932-b271-98dc1e539030,FTR-5,c0067543-176e-4136-90da-fbf715fa62c4,Radiant-Heating Electric Panels,0,98f1a5b0-6462-43d9-aafd-a4376fa86901,F9972-01-200,F9972-01-200,Markel Products,Markel Products
450265ba-1bdc-43c8-baba-053fa720acac,FLOOR HEATER SCHEDULE (FTR-X),479a422c-f582-496d-9966-e6fd7928f0bc,FTR-3,c0067543-176e-4136-90da-fbf715fa62c4,Radiant-Heating Electric Panels,0,7b1b2223-0d66-4327-b023-c8be44a14cb9,F99108-01-200,F99108-01-200,Markel Products,Markel Products
cd398dd8-98a6-45ac-a74e-4ab2b0ddad33,ROOFTOP UNIT SCHEDULE (RTU-X),7af57812-8109-41e4-b99b-ae887929a51f,RTU-4,c9f534b8-3836-487c-b8c4-6faa10e0b1f2,Packaged Rooftop Air-Conditioning Units,1,ce25442a-7c46-4030-bc70-c1bae4b61566,YCD360DP4,YCD360DP4,Trane,Trane
cd398dd8-98a6-45ac-a74e-4ab2b0ddad33,ROOFTOP UNIT SCHEDULE (RTU-X),68f6479a-29dd-41c4-bd81-466f1e43b692,RTU-1,c9f534b8-3836-487c-b8c4-6faa10e0b1f2,Packaged Rooftop Air-Conditioning Units,1,3c6ce573-b547-4b6d-8413-b5c1789a3739,YCD330D4P,YCD330D4P,Trane,Trane
cd398dd8-98a6-45ac-a74e-4ab2b0ddad33,ROOFTOP UNIT SCHEDULE (RTU-X),7a90ec17-5bc8-4966-8007-431eeaf747b6,RTU-2,c9f534b8-3836-487c-b8c4-6faa10e0b1f2,Packaged Rooftop Air-Conditioning Units,1,3c6ce573-b547-4b6d-8413-b5c1789a3739,YCD330D4P,YCD330D4P,Trane,Trane
cd398dd8-98a6-45ac-a74e-4ab2b0ddad33,ROOFTOP UNIT SCHEDULE (RTU-X),56539c63-c6be-4ed6-b4af-21e7f12ad517,RTU-3,c9f534b8-3836-487c-b8c4-6faa10e0b1f2,Packaged Rooftop Air-Conditioning Units,1,7a76af92-ac8b-4c51-8210-a55a79a0831c,YCD360D4P,YCD360D4P,Trane,Trane
32ec3f34-d334-4f3b-93ac-53e7a5b00a50,FAN SCHEDULE (EF-X),e5de5e9f-88ef-40b1-ba52-83f9923764c4,EF-1,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,1,3117f0c7-9b35-457d-9453-7285eed1c237,CUE-095-DGE119QXD,CUE-095-DGE119QXD,Greenheck,Greenheck
32ec3f34-d334-4f3b-93ac-53e7a5b00a50,FAN SCHEDULE (EF-X),a4680264-325f-4813-9fb9-2b2274bd46ee,EF-3,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,1,a05a098e-17f2-456a-8065-8ffdee55c5d5,SP-A90-QD,SP-A90-QD,Greenheck,Greenheck
32ec3f34-d334-4f3b-93ac-53e7a5b00a50,FAN SCHEDULE (EF-X),8e2cec59-7a24-4ccb-aa02-e233e83787e6,EF-4,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,1,a05a098e-17f2-456a-8065-8ffdee55c5d5,SP-A90-QD,SP-A90-QD,Greenheck,Greenheck
32ec3f34-d334-4f3b-93ac-53e7a5b00a50,FAN SCHEDULE (EF-X),5a7a8ba1-52e4-4843-89bd-5b4959561244,EF-5,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,1,dcbaf41a-7e00-4fd9-b293-e2364c082b59,SEY-12-DGEX-QD,SEY-12-DGEX-QD,Greenheck,Greenheck
32ec3f34-d334-4f3b-93ac-53e7a5b00a50,FAN SCHEDULE (EF-X),81a12fbf-2d2d-4989-abab-f3e582a24861,EF-2,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,1,3117f0c7-9b35-457d-9453-7285eed1c237,CUE-095-DGE119QXD,CUE-095-DGE119QXD,Greenheck,Greenheck
e2a086af-b2f5-45a1-a674-9d2c7162ad7a,TERMINAL BOX SINGLE DUCT WITH ELECTRIC REHEAT (VAV-X),87539d36-6e46-49cb-9574-ca9dca13aae8,VAV-215,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,2,295baec5-f537-48aa-9305-a6565f698bd4,VCEF,VCEF,Trane,Trane
e2a086af-b2f5-45a1-a674-9d2c7162ad7a,TERMINAL BOX SINGLE DUCT WITH ELECTRIC REHEAT (VAV-X),a3ca98ad-052e-4b45-bc56-59093ceb48ca,VAV-200,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,1,295baec5-f537-48aa-9305-a6565f698bd4,VCEF,VCEF,Trane,Trane
e2a086af-b2f5-45a1-a674-9d2c7162ad7a,TERMINAL BOX SINGLE DUCT WITH ELECTRIC REHEAT (VAV-X),b2e9a6c5-5e3d-4bed-bfcb-983df5a328c6,VAV-201,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,1,295baec5-f537-48aa-9305-a6565f698bd4,VCEF,VCEF,Trane,Trane
e2a086af-b2f5-45a1-a674-9d2c7162ad7a,TERMINAL BOX SINGLE DUCT WITH ELECTRIC REHEAT (VAV-X),5e4bab02-9a0c-4c2c-8d99-d36a0f464f7a,VAV-202,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,1,295baec5-f537-48aa-9305-a6565f698bd4,VCEF,VCEF,Trane,Trane
e2a086af-b2f5-45a1-a674-9d2c7162ad7a,TERMINAL BOX SINGLE DUCT WITH ELECTRIC REHEAT (VAV-X),13fe151b-9c8e-4643-bc6d-ad02a49b9698,VAV-203,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,1,295baec5-f537-48aa-9305-a6565f698bd4,VCEF,VCEF,Trane,Trane
e2a086af-b2f5-45a1-a674-9d2c7162ad7a,TERMINAL BOX SINGLE DUCT WITH ELECTRIC REHEAT (VAV-X),a344c994-6e75-465b-b637-b96bff299e6f,VAV-204,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,2,295baec5-f537-48aa-9305-a6565f698bd4,VCEF,VCEF,Trane,Trane
e2a086af-b2f5-45a1-a674-9d2c7162ad7a,TERMINAL BOX SINGLE DUCT WITH ELECTRIC REHEAT (VAV-X),e5dd5bf1-93ce-433a-9311-ec0f179cd276,VAV-205,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,2,295baec5-f537-48aa-9305-a6565f698bd4,VCEF,VCEF,Trane,Trane
e2a086af-b2f5-45a1-a674-9d2c7162ad7a,TERMINAL BOX SINGLE DUCT WITH ELECTRIC REHEAT (VAV-X),7d010914-310a-427c-a05a-fb65c4e3d5a5,VAV-206,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,2,295baec5-f537-48aa-9305-a6565f698bd4,VCEF,VCEF,Trane,Trane
e2a086af-b2f5-45a1-a674-9d2c7162ad7a,TERMINAL BOX SINGLE DUCT WITH ELECTRIC REHEAT (VAV-X),02e0db3e-d645-4f6b-9682-0fb91bbdb550,VAV-207,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,2,295baec5-f537-48aa-9305-a6565f698bd4,VCEF,VCEF,Trane,Trane
e2a086af-b2f5-45a1-a674-9d2c7162ad7a,TERMINAL BOX SINGLE DUCT WITH ELECTRIC REHEAT (VAV-X),78c1d113-4733-446b-a08b-8458b0116229,VAV-208,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,2,295baec5-f537-48aa-9305-a6565f698bd4,VCEF,VCEF,Trane,Trane
e2a086af-b2f5-45a1-a674-9d2c7162ad7a,TERMINAL BOX SINGLE DUCT WITH ELECTRIC REHEAT (VAV-X),38d1ea17-79ce-4b33-b734-149c9d05967f,VAV-209,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,1,295baec5-f537-48aa-9305-a6565f698bd4,VCEF,VCEF,Trane,Trane
e2a086af-b2f5-45a1-a674-9d2c7162ad7a,TERMINAL BOX SINGLE DUCT WITH ELECTRIC REHEAT (VAV-X),12368252-df8e-4c3f-940a-e2c042ca66e3,VAV-210,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,1,295baec5-f537-48aa-9305-a6565f698bd4,VCEF,VCEF,Trane,Trane
e2a086af-b2f5-45a1-a674-9d2c7162ad7a,TERMINAL BOX SINGLE DUCT WITH ELECTRIC REHEAT (VAV-X),3c2a4607-630f-481a-86cd-45a05a1e0799,VAV-211,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,1,295baec5-f537-48aa-9305-a6565f698bd4,VCEF,VCEF,Trane,Trane
e2a086af-b2f5-45a1-a674-9d2c7162ad7a,TERMINAL BOX SINGLE DUCT WITH ELECTRIC REHEAT (VAV-X),2d4bebfe-84c8-44e7-be91-10af019e9b83,VAV-212,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,3,295baec5-f537-48aa-9305-a6565f698bd4,VCEF,VCEF,Trane,Trane
