package_id,package,equipment_id,equipment_tag,component_type_id,component_type_name,quantity,component_id,component_name,component_model,component_manufacturer_name,bod_manufacturer_name
3306d7e3-8b73-42b7-b6e0-5bc3acfdb6dc,Packaged Rooftop Air-Conditioning Units,fd3d4c5e-94d5-4356-adf1-78f373fae444,RTU-1,c9f534b8-3836-487c-b8c4-6faa10e0b1f2,Packaged Rooftop Air-Conditioning Units,2,e0064746-f0db-4eb1-ae1d-adbbb50e6d17,48FCEA06A2A50A0A0,48FCEA06A2A50A0A0,Carrier,
3306d7e3-8b73-42b7-b6e0-5bc3acfdb6dc,Packaged Rooftop Air-Conditioning Units,7775b27d-86f0-4253-b1d0-35bbf33ad482,RTU-2,c9f534b8-3836-487c-b8c4-6faa10e0b1f2,Packaged Rooftop Air-Conditioning Units,0,e0064746-f0db-4eb1-ae1d-adbbb50e6d17,48FCEA06A2A50A0A0,48FCEA06A2A50A0A0,Carrier,
77c748aa-f4f5-4a4b-9db7-02479a0548d6,GAS FIRED MAKE-UP AIR UNIT(S),041ef8bc-99c6-46bc-92e2-700209a01fa2,MAU-1,beda9d78-f665-4332-80fa-4c9ebb63fa85,Custom Heating and Ventilating Makeup-Air Units,1,,,,,
04a92c1f-f496-44b6-8873-20a9405ed90c,FANS CONTROLLED,db083f4b-9f71-4623-acd9-2ce6d0b6f7c9,KEF-1,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,1,c188137a-ecff-4044-840c-80124b0cfbee,DU85HFA,DU85HFA,CaptiveAire,
04a92c1f-f496-44b6-8873-20a9405ed90c,FANS CONTROLLED,1f030c2b-9946-412a-abb1-15f463cba820,KEF-2,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,1,2a7ca53f-b14c-46c4-a1f0-aba46836f57f,DU12HFA,DU12HFA,CaptiveAire,
f07cd4ed-a0b4-4478-bd93-e36a260d12f3,"Diffusers, Registers, and Grilles",4c17004e-6791-4681-a988-fac5576919fd,S1,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",8,6578b009-088c-4141-b55d-4e875f69bf7b,TMS-AA,TMS-AA,Titus,
f07cd4ed-a0b4-4478-bd93-e36a260d12f3,"Diffusers, Registers, and Grilles",c3953eea-c078-4345-b37a-60a289943395,S2,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",1,0dee40ea-143f-40e1-b73d-81c490132df4,TDC-AA,TDC-AA,Titus,
f07cd4ed-a0b4-4478-bd93-e36a260d12f3,"Diffusers, Registers, and Grilles",8c5d40a1-b88b-4dfa-8524-3caa71ac9f5b,S3,196e4ade-4a74-4933-b50e-dce66ce5b51c,Wall Registers and Grilles,3,d3378d81-8244-4a0a-8603-48bf2e334388,272FS,272FS,Titus,
f07cd4ed-a0b4-4478-bd93-e36a260d12f3,"Diffusers, Registers, and Grilles",1e805756-45b2-4548-8ec7-79562af20588,R1,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",2,e7763758-944e-4fd0-8876-0f1007026d1d,PAR,PAR,Titus,
f2e1f3cb-b94c-462c-b702-61e98574ffc9,Kitchen Hoods,d5938e58-1281-4998-9817-d0eaabdb5912,2 - FIELD WRAPPER,39b070f7-bb45-4cab-ac88-76d5c24af421,Kitchen Hoods,0,,,,,
