spec_id,equipment_id,type_id,type_name,option_id,option_name,unit_id,unit_name,raw_specs,literal_value,literal_unit,literal_category,literal_type
3bcf6dcf-ded6-43d4-a2c2-2eef7c19ccfe,fe1de669-4374-4ee9-b0e6-3c69593dc76f,2d2ae19d-c0d6-41f1-a2c0-2a2b97a70745,Heating Capacity,,,,,,3,KW,,Capacity
7e4911fa-f7d1-4101-89f7-63650a320d00,fe1de669-4374-4ee9-b0e6-3c69593dc76f,f8c7b985-288e-4160-b9f9-f923877ec673,Voltage,,,,,,277,V,Electrical,Voltage
9417a8c5-7597-4d8b-8b96-9fa52a20b204,fe1de669-4374-4ee9-b0e6-3c69593dc76f,dc025f71-f7e9-4f8b-afe8-776f30a7acc7,Phase,,,,,,1,,Electrical,Phase
2950efe3-daa4-44ef-b929-60666a913e62,fe1de669-4374-4ee9-b0e6-3c69593dc76f,bc663106-1c5c-4cc9-9f68-3a51eb3d4c5b,Manufacturer,,,,,,GREENHECK,,,Manufacturer
a07c53ee-f001-442c-970e-34a70f6cebcd,fe1de669-4374-4ee9-b0e6-3c69593dc76f,,,,,,,,AIRFLOW SWITCH,,Required Features (from Note 1),Safety
a5b0ffa4-f398-4539-b51d-57f5f6320eca,fe1de669-4374-4ee9-b0e6-3c69593dc76f,,,,,,,,MAGNETIC CONTACTOR,,Required Features (from Note 1),Component
1afc0155-d725-41ec-8abc-8522b997293d,fe1de669-4374-4ee9-b0e6-3c69593dc76f,,,,,,,,126,,,Location
9950a5d7-2660-4f53-8d07-8461771b262f,fe1de669-4374-4ee9-b0e6-3c69593dc76f,,,,,,,,SLIP-IN,,,Style
67672cd6-11ff-49df-bcc5-8f883ee29783,fe1de669-4374-4ee9-b0e6-3c69593dc76f,,,,,,,,24,VAC,Electrical,Control Voltage
39dba248-a7a6-4f19-891d-49ad44236c1a,fe1de669-4374-4ee9-b0e6-3c69593dc76f,,,,,,,,IDHC,,,Model
dbda75a4-09d4-4e80-b149-eb4e5a4bfa78,fe1de669-4374-4ee9-b0e6-3c69593dc76f,,,,,,,,1,,,Notes
a5f8a981-2046-4a43-8ea6-d797f1310f01,fe1de669-4374-4ee9-b0e6-3c69593dc76f,,,,,,,,SCR CONTROL,,Required Features (from Note 1),Control
67b32258-6a32-4bd6-aae7-14fe27c561d9,60198d52-795e-46a2-b199-8e7eb49ce4ed,,,,,,,,SLIP-IN,,,Style
3ce9d2e8-f760-4d8d-aca7-ccb1d22ee694,60198d52-795e-46a2-b199-8e7eb49ce4ed,2d2ae19d-c0d6-41f1-a2c0-2a2b97a70745,Heating Capacity,,,,,,3,KW,,Capacity
09351173-031f-4542-8f44-865c5073658a,60198d52-795e-46a2-b199-8e7eb49ce4ed,f8c7b985-288e-4160-b9f9-f923877ec673,Voltage,,,,,,277,V,Electrical,Voltage
f0cadb41-6c58-41af-9154-d209b14f9940,60198d52-795e-46a2-b199-8e7eb49ce4ed,dc025f71-f7e9-4f8b-afe8-776f30a7acc7,Phase,,,,,,1,,Electrical,Phase
24939626-ef0f-4806-b75a-ef273edaf6e1,60198d52-795e-46a2-b199-8e7eb49ce4ed,,,,,,,,24,VAC,Electrical,Control Voltage
