package_id,package,equipment_id,equipment_tag,component_type_id,component_type_name,quantity,component_id,component_name,component_model,component_manufacturer_name,bod_manufacturer_name
326cecf9-bb2d-4f4c-9f05-ca3fe6743056,Louvers,48aa49f4-9a7d-4bd6-87e2-c18c3fca4647,L-1,dec3a91e-f422-4b12-9c05-8b118c8d1057,Louvers,0,5e2c10da-e5cf-4fa3-bcf1-c87a9db17625,ESD-635,ESD-635,Greenheck,
326cecf9-bb2d-4f4c-9f05-ca3fe6743056,Louvers,5a416279-ec4b-470f-b86a-2eb16acdfe7a,L-2,dec3a91e-f422-4b12-9c05-8b118c8d1057,Louvers,0,5e2c10da-e5cf-4fa3-bcf1-c87a9db17625,ESD-635,ESD-635,Greenheck,
326cecf9-bb2d-4f4c-9f05-ca3fe6743056,Louvers,50967212-11ca-4f7f-a161-2ec12a3deb45,L-4,dec3a91e-f422-4b12-9c05-8b118c8d1057,Louvers,0,5e2c10da-e5cf-4fa3-bcf1-c87a9db17625,ESD-635,ESD-635,Greenheck,
326cecf9-bb2d-4f4c-9f05-ca3fe6743056,Louvers,68c3fc55-e428-47cb-87e1-b24ba2a70302,L-3,dec3a91e-f422-4b12-9c05-8b118c8d1057,Louvers,0,5e2c10da-e5cf-4fa3-bcf1-c87a9db17625,ESD-635,ESD-635,Greenheck,
1d4a033f-d23d-4998-a85e-93fbd92f7018,DUCTLESS SPLIT SYSTEM AC SCHEDULE (DSS),670aa450-ee5c-44a1-b1f6-ea591a4377f6,DSS-1,997c6c01-cd27-4e2b-971c-7924cbd01df3,Split System Air Conditioners,0,2a64610d-0643-4d20-92e3-7bbdbdb0fe70,"Indoor: PKA-A18HA, Outdoor: PUY-A18NKA7","Indoor: PKA-A18HA, Outdoor: PUY-A18NKA7",,
62751ea8-1fef-42c8-8e8a-09234858bf28,DAMPER SCHEDULE,2b6bfc19-9c5c-4798-b96f-a86b965ff16e,MOD-1,67515ee4-d441-4497-a6d2-dea4c565341c,Dampers,0,393c79f7-03e9-478b-9d37-05e119f1fd23,VCD-23,VCD-23,Greenheck,Greenheck
62751ea8-1fef-42c8-8e8a-09234858bf28,DAMPER SCHEDULE,e92f8849-a1a5-4254-8745-b68973f220dd,MOD-2,67515ee4-d441-4497-a6d2-dea4c565341c,Dampers,0,393c79f7-03e9-478b-9d37-05e119f1fd23,VCD-23,VCD-23,Greenheck,Greenheck
420844ad-00fb-466f-b6c9-487f54b08201,MAKE-UP AIR UNIT (MAU),54c812d2-28e8-4cdb-94c0-01a954f5cffd,MAU-3,62be95ab-b661-4cfb-bc6a-ed10d82fb0ac,Custom Heating and Cooling Makeup Air-Conditioners,0,6908db01-3e44-460f-b2af-facce9040297,DGX-109-H12,DGX-109-H12,Greenheck,Greenheck
ec622d31-2185-432b-aea2-e79bd949cc3c,AIR COOLED CONDENSING UNIT SCHEDULE (ACCU),2e182953-922b-4ef5-87e5-9c49c17f4f72,ACCU-1,fd11bf76-fb96-4d01-8fdf-875daf6d638e,Air-Cooled Refrigerant Condensers,0,815bc034-cb67-4957-96b8-c2d167e21c92,RAUJ-40,RAUJ-40,Trane,Trane
bf863e43-d013-425b-93a0-2c0210eca843,AIR HANDLING UNIT SCHEDULE (AHU),8b4230e8-9bd1-4ed8-9834-80520b801c92,AHU-2,56868738-7ef3-4341-9db1-897acc8cd62b,Factory-Fabricated Air-Handling Units,0,8525ce3f-9574-4f83-ab79-6aa148a6e740,CSAA Series Performance Climate Changer,CSAA,Trane,Trane
