spec_id,equipment_id,type_id,type_name,option_id,option_name,unit_id,unit_name,raw_specs,literal_value,literal_unit,literal_category,literal_type
8fdea855-51c6-4eb3-8c75-e952548daea6,cc3123d9-ab2a-46f1-969a-178f43ae86c8,,,,,,,,FVI,,,Model
71317047-95ec-441f-b725-530fc1224867,cc3123d9-ab2a-46f1-969a-178f43ae86c8,,,,,,,,LEFT,,,Handing
a38f1e16-7138-49d2-8d85-9101cb398bf3,cc3123d9-ab2a-46f1-969a-178f43ae86c8,,,,,,,,10,,,Inlet Size
fc213663-5c74-48da-9351-00ae5b9803fc,cc3123d9-ab2a-46f1-969a-178f43ae86c8,,,,,,,,800,CFM,Cooling,Max CFM
15c8bb87-ee51-400a-88dd-d4f564ab97d9,cc3123d9-ab2a-46f1-969a-178f43ae86c8,,,,,,,,240,CFM,Cooling,Min CFM
b91b98c2-eb40-4492-958f-97691e9152c7,cc3123d9-ab2a-46f1-969a-178f43ae86c8,,,,,,,,240,CFM,,Heating Inlet CFM
62c4c7c4-0408-4786-bf05-8a509017e18e,cc3123d9-ab2a-46f1-969a-178f43ae86c8,,,,,,,,240,CFM,,Fan CFM
b9ceb9a5-975c-41af-b717-3ed4ca7376b3,cc3123d9-ab2a-46f1-969a-178f43ae86c8,,,,,,,,70,°F,Electric Reheat Coil Data,Setpoint
66441f56-c194-4b59-af68-48cd5e691305,cc3123d9-ab2a-46f1-969a-178f43ae86c8,,,,,,,,55,°F,Electric Reheat Coil Data,EAT
d95c0055-8ec4-42c0-880b-e7dd8a44b67f,cc3123d9-ab2a-46f1-969a-178f43ae86c8,,,,,,,,6,kW,Electric Reheat Coil Data,Coil Size
0e61427b-a5f3-4991-ad66-4f63d714a5e4,cc3123d9-ab2a-46f1-969a-178f43ae86c8,,,,,,,,2,,Electric Reheat Coil Data,# Steps
38013111-45d4-45c1-bf32-6837a5d9e9ca,cc3123d9-ab2a-46f1-969a-178f43ae86c8,,,,,,,,100,°F,Electric Reheat Coil Data,LAT
7d835979-c723-4451-9596-117fa0a8323c,cc3123d9-ab2a-46f1-969a-178f43ae86c8,dc025f71-f7e9-4f8b-afe8-776f30a7acc7,Phase,,,,,,460/3,,Single Point Power Info,Volt/PH
6429aa32-2848-4f6c-817c-33338120d9f6,cc3123d9-ab2a-46f1-969a-178f43ae86c8,,,,,,,,10,,Single Point Power Info,MCA
d60f12d9-5475-4620-b207-7b7b5397fd68,cc3123d9-ab2a-46f1-969a-178f43ae86c8,,,,,,,,15,,Single Point Power Info,MOCP
4db82920-6bb1-4a8e-bab2-6a4de0e0c9db,cc3123d9-ab2a-46f1-969a-178f43ae86c8,,,,,,,,MetalAire,,,Manufacturer
210e3376-61ca-4f3a-8763-812f41c4bbfe,cc3123d9-ab2a-46f1-969a-178f43ae86c8,,,,,,,,"1,2",,,Notes
9c572b0c-c0fa-41b5-a5d3-3bd4823e9b20,9cb32947-bfde-40f6-9f2a-dbf12106e054,,,,,,,,TH,,,Model
f0860500-2261-46c5-b1a4-d1ff7e619c91,9cb32947-bfde-40f6-9f2a-dbf12106e054,,,,,,,,LEFT,,,Handing
14d546dd-f8df-4ddc-bdf9-e00953889ece,9cb32947-bfde-40f6-9f2a-dbf12106e054,c730edbc-e1f3-4eac-ae25-f51282ab55aa,Gas Connection Size,,,,,,6,,,Inlet Size
