package_id,package,equipment_id,equipment_tag,component_type_id,component_type_name,quantity,component_id,component_name,component_model,component_manufacturer_name,bod_manufacturer_name
399f7e8a-db03-4f90-9073-2fc5ee7427f8,ELECTRIC HEATER SCHEDULE,0c0fcc79-92ee-4546-984c-6be87531fb08,EH-1,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,1,97e51bd8-d32d-4d43-aa40-eba48cfabbed,PAW-2022,PAW-2022,Air King,Air King
3a3f2658-0f92-420e-acf0-8f958f5dc6f0,FAN SCHEDULE,e8fb1273-2b5c-447e-abe3-036e4d2f043c,EF-1,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,1,70465df7-8e16-448b-b062-d7aab2165042,DR12HFA,DR12HFA,CaptiveAire,CaptiveAire
3a3f2658-0f92-420e-acf0-8f958f5dc6f0,FAN SCHEDULE,e5b83357-1f8b-40b7-895f-e2f778f83686,KEF-1,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,1,2a496aa3-c4e1-48b1-942a-547642eb7756,DU85HFA,DU85HFA,Greenheck,Greenheck
ede87f81-c904-453f-85af-066ea760a28b,DIFFUSER SCHEDULE,588e135a-2117-4ad6-b02c-2d7d955d5ffc,CD-1,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",7,938d8a9a-ef66-40c1-8d5d-65036929b05e,SCDA,SCDA,Price Industries,Price Industries
ede87f81-c904-453f-85af-066ea760a28b,DIFFUSER SCHEDULE,c1a7be5c-d72c-4211-80bd-15d9f6a6f5e5,EG-1,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",5,cd53ab3f-ed9f-4526-98ce-757f9f58f149,80,80,Price Industries,Price Industries
ede87f81-c904-453f-85af-066ea760a28b,DIFFUSER SCHEDULE,cb69a92c-6bcd-449b-a28b-53394b3001be,EG-2,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",1,cd53ab3f-ed9f-4526-98ce-757f9f58f149,80,80,Price Industries,Price Industries
ede87f81-c904-453f-85af-066ea760a28b,DIFFUSER SCHEDULE,28ebb5c4-ce91-4830-af24-592e7f2217bb,RG-1,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",2,cd53ab3f-ed9f-4526-98ce-757f9f58f149,80,80,Price Industries,Price Industries
ede87f81-c904-453f-85af-066ea760a28b,DIFFUSER SCHEDULE,644e9f1a-4a52-4be5-b0b0-e099a352df37,SG-1,42900260-9152-49ee-a2b5-4a4802e0bda7,Air Outlets and Inlets,9,cddc78fc-89d4-4bf6-ac8f-2adbebb115b8,510,510,Price Industries,Price Industries
e2409220-fe35-4677-a4b4-af0ec853a16c,ROOFTOP HVAC UNIT (ELEC COOL GAS HEAT) SCHEDULE,8fe56a0b-a3ae-4ada-969f-09d53abb34c7,RTU-1,d19f3f23-ff8d-4796-8707-88d0507ffc8f,Dedicated Outdoor-Air Units,1,1bb563cc-1d25-4126-80b9-5a3686f383fc,CAS-HVAC-1-I.124-18-6T,CAS-HVAC-1-I.124-18-6T,CaptiveAire,CaptiveAire
e2409220-fe35-4677-a4b4-af0ec853a16c,ROOFTOP HVAC UNIT (ELEC COOL GAS HEAT) SCHEDULE,46cdf92d-9a8b-408f-b004-b8a628e6b89e,RTU-2,d19f3f23-ff8d-4796-8707-88d0507ffc8f,Dedicated Outdoor-Air Units,1,1bb563cc-1d25-4126-80b9-5a3686f383fc,CAS-HVAC-1-I.124-18-6T,CAS-HVAC-1-I.124-18-6T,CaptiveAire,CaptiveAire
e2409220-fe35-4677-a4b4-af0ec853a16c,ROOFTOP HVAC UNIT (ELEC COOL GAS HEAT) SCHEDULE,61d026b0-d896-4965-973e-f6821cd66cc0,RTU-3,d19f3f23-ff8d-4796-8707-88d0507ffc8f,Dedicated Outdoor-Air Units,1,2c3c6baa-ceb6-4e35-9e64-d9b1c4e47f0b,48FE*M09,48FE*M09,Carrier,Carrier
