package_id,package,equipment_id,equipment_tag,component_type_id,component_type_name,quantity,component_id,component_name,component_model,component_manufacturer_name,bod_manufacturer_name
23ce5c16-fd59-4bf6-aa97-0f0ad7381d25,GAS FIRED HEATING & VENTILATING UNIT SCHEDULE,6ab7d0f3-6fae-4faf-b4cb-e138a01d211c,MUA-A,beda9d78-f665-4332-80fa-4c9ebb63fa85,Custom Heating and Ventilating Makeup-Air Units,1,75c0b08a-9602-46a4-bcb4-efa30b79306f,DGX-P116-H12-MF,DGX-P116-H12-MF,Greenheck,Greenheck
23ce5c16-fd59-4bf6-aa97-0f0ad7381d25,GAS FIRED HEATING & VENTILATING UNIT SCHEDULE,3f1d32a9-6638-4224-920e-9cfa2611a90e,MUA-B,beda9d78-f665-4332-80fa-4c9ebb63fa85,Custom Heating and Ventilating Makeup-Air Units,1,75c0b08a-9602-46a4-bcb4-efa30b79306f,DGX-P116-H12-MF,DGX-P116-H12-MF,Greenheck,Greenheck
c2393901-1650-4007-ac52-9fa9ad532f82,FAN SCHEDULE,8065a375-3710-4dcd-ac26-83d6356db234,EF-3,70453ac9-069e-4574-9d1e-42bbfd7fb5a9,HVAC Power Ventilators,1,7fcb01e3-a2f3-49b6-93ac-87ae2140ce67,G-098-VG,G-098-VG,Greenheck,Greenheck
c2393901-1650-4007-ac52-9fa9ad532f82,FAN SCHEDULE,339aca7e-bdad-4322-ad9c-e9de17803540,EF-5,70453ac9-069e-4574-9d1e-42bbfd7fb5a9,HVAC Power Ventilators,2,7fcb01e3-a2f3-49b6-93ac-87ae2140ce67,G-098-VG,G-098-VG,Greenheck,Greenheck
c2393901-1650-4007-ac52-9fa9ad532f82,FAN SCHEDULE,2dfac19a-2041-4220-9fc2-a778ef2803b1,EF-6,5f8252fe-6cc4-47a4-be5d-e9608420df5b,Centrifugal HVAC Fans,3,acc4a958-9c51-4005-8aca-b6b3dc636c0c,CUE-200HP-VG,CUE-200HP-VG,Greenheck,Greenheck
c2393901-1650-4007-ac52-9fa9ad532f82,FAN SCHEDULE,8d288166-c899-4e3b-aa6c-e820e9e78c0a,EF-7,5f8252fe-6cc4-47a4-be5d-e9608420df5b,Centrifugal HVAC Fans,2,acc4a958-9c51-4005-8aca-b6b3dc636c0c,CUE-200HP-VG,CUE-200HP-VG,Greenheck,Greenheck
c2393901-1650-4007-ac52-9fa9ad532f82,FAN SCHEDULE,b3273464-9525-44c2-bba9-3838526c6eac,EF-8,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,1,8df4abc8-a653-4976-8086-296d78771750,CUE-099-VG,CUE-099-VG,Greenheck,Greenheck
c2393901-1650-4007-ac52-9fa9ad532f82,FAN SCHEDULE,0f159567-6631-4cb0-ae13-0b385c011c95,EF-1,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,2,338b81a3-e7dd-4d78-8dbc-7692602d088a,G-160-VG,G-160-VG,Greenheck,Greenheck
c2393901-1650-4007-ac52-9fa9ad532f82,FAN SCHEDULE,ca87e628-01e7-46eb-8ca8-2c33df164218,EF-9,70453ac9-069e-4574-9d1e-42bbfd7fb5a9,HVAC Power Ventilators,1,1cf02e07-b8d5-4c75-ad17-62bae183b50a,G-070-VG,G-070-VG,Greenheck,Greenheck
c2393901-1650-4007-ac52-9fa9ad532f82,FAN SCHEDULE,35799efc-42c7-4406-8e82-fbe8ba3b549f,EF-2,70453ac9-069e-4574-9d1e-42bbfd7fb5a9,HVAC Power Ventilators,0,7fcb01e3-a2f3-49b6-93ac-87ae2140ce67,G-098-VG,G-098-VG,Greenheck,Greenheck
