spec_id,equipment_id,type_id,type_name,option_id,option_name,unit_id,unit_name,raw_specs,literal_value,literal_unit,literal_category,literal_type
78f80953-7277-47d7-b5ad-8609d034e4e4,e715136a-0d19-44e5-bcef-4a636629e818,9f6ca6a5-25e9-4e99-82bb-48689827b16d,Location,,,,,"{"kind":"flat","type":"Location","unit":null,"value":"ROOF","category":null}",ROOF,,,Location
447902bf-f309-47fb-9d63-b098f4d771ea,e715136a-0d19-44e5-bcef-4a636629e818,ee42cdfe-bea4-4963-aa29-7170ed419a8a,Cooling Capacity,,,,,"{"kind":"flat","type":"Nominal Tons","unit":null,"value":"10","category":"Cooling Performance"}",10,,Cooling Performance,Nominal Tons
521a316d-5802-43c0-9408-ab5faa3078fc,e715136a-0d19-44e5-bcef-4a636629e818,2d2ae19d-c0d6-41f1-a2c0-2a2b97a70745,Heating Capacity,,,ebda520d-e31a-0838-4289-80ae9982b006,Thousand BTU per Hour,"{"kind":"flat","type":"Total Capacity","unit":"MBH","value":"121.77","category":"Cooling Performance"}",121.77,MBH,Cooling Performance,Total Capacity
aa42fb21-7dad-48a3-adce-9c2e60d1bf08,e715136a-0d19-44e5-bcef-4a636629e818,,,,,ebda520d-e31a-0838-4289-80ae9982b006,Thousand BTU per Hour,"{"kind":"flat","type":"Sensible Capacity","unit":"MBH","value":"90.85","category":"Cooling Performance"}",90.85,MBH,Cooling Performance,Sensible Capacity
dd5106bd-d724-44fc-866c-91c61ccafeaf,e715136a-0d19-44e5-bcef-4a636629e818,2f61801b-7073-4f31-bf70-c7acde22774c,Integrated Energy Efficiency Ratio,,,,,"{"kind":"flat","type":"IEER","unit":null,"value":"15.80","category":"Cooling Performance"}",15.80,,Cooling Performance,IEER
d035d48d-4dc2-42c0-935e-49393304b871,e715136a-0d19-44e5-bcef-4a636629e818,cc68b26a-394c-44e8-a784-a92d7f6d5379,Energy Efficiency Ratio,,,,,"{"kind":"flat","type":"EER","unit":null,"value":"11.60","category":"Cooling Performance"}",11.60,,Cooling Performance,EER
c93108b4-ac59-4edf-a888-2dd975a14e69,e715136a-0d19-44e5-bcef-4a636629e818,,,,,ebda520d-e31a-0838-4289-80ae9982b006,Thousand BTU per Hour,"{"kind":"flat","type":"High Fire Input","unit":"MBH","value":"150","category":"Gas Heating"}",150,MBH,Gas Heating,High Fire Input
48042130-1d00-410c-b353-e4967d3724cb,e715136a-0d19-44e5-bcef-4a636629e818,,,,,ebda520d-e31a-0838-4289-80ae9982b006,Thousand BTU per Hour,"{"kind":"flat","type":"High Fire Output","unit":"MBH","value":"121.5","category":"Gas Heating"}",121.5,MBH,Gas Heating,High Fire Output
862e2e92-f388-4710-9d0f-4765a71cd602,e715136a-0d19-44e5-bcef-4a636629e818,6283d63d-0527-4736-ad99-c0cb1dd1f388,Thermal Efficiency,,,b50e82be-8884-60bd-1cd7-4378e71c41d6,Percent,"{"kind":"flat","type":"Thermal Efficiency","unit":"%","value":"81.0","category":"Gas Heating"}",81.0,%,Gas Heating,Thermal Efficiency
6f4f5de1-8e25-46ad-8f10-a26cae5f3b4e,e715136a-0d19-44e5-bcef-4a636629e818,,,,,,,"{"kind":"flat","type":"Minimum Gas Pressure","unit":"IN W.C.","value":"4.5","category":"Gas Heating"}",4.5,IN W.C.,Gas Heating,Minimum Gas Pressure
c2701104-607d-4d8d-b15c-0d727a7f6d9c,e715136a-0d19-44e5-bcef-4a636629e818,ab685915-020e-4475-9f80-8a2915e81d5c,Air Flow,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,"{"kind":"flat","type":"CFM","unit":"CFM","value":"4000","category":"Supply/Return Fan"}",4000,CFM,Supply/Return Fan,CFM
4865efc3-717b-4b3a-9355-0fea078d211e,e715136a-0d19-44e5-bcef-4a636629e818,385a8abb-6167-4062-88c6-d7ffc22a5a39,External Static Pressure,,,55d4740f-1ada-4220-9d87-55fb1d417e14,inches of water gauge,"{"kind":"flat","type":"ESP","unit":"IN WG","value":"1.00","category":"Supply/Return Fan"}",1.00,IN WG,Supply/Return Fan,ESP
fbe4a27b-782e-43ab-8e15-7dfcb162a532,e715136a-0d19-44e5-bcef-4a636629e818,568a4ffd-f5aa-4fd1-b5c1-4e5942309093,RPM,,,d28ed2e4-e9d5-c574-3acf-378597aac527,Refreshes per Minute,"{"kind":"flat","type":"RPM","unit":"RPM","value":"1607","category":"Supply/Return Fan"}",1607,RPM,Supply/Return Fan,RPM
a41a9119-4db9-4736-a437-61ae1b0bfdfb,e715136a-0d19-44e5-bcef-4a636629e818,,,,,70284fc6-f347-49e1-b657-567b4a3bb6a9,Horsepower,"{"kind":"flat","type":"HP","unit":"HP","value":"4.6","category":"Supply/Return Fan"}",4.6,HP,Supply/Return Fan,HP
3a5c7cc8-1d80-4deb-9278-6aa6e8330b2f,e715136a-0d19-44e5-bcef-4a636629e818,,,,,,,"{"kind":"flat","type":"QTY","unit":null,"value":"1","category":"Supply/Return Fan"}",1,,Supply/Return Fan,QTY
630575ed-c1f4-4dd2-9525-2fd180201e14,e715136a-0d19-44e5-bcef-4a636629e818,436ebb8d-e96c-4b05-9e52-601fe0335dea,CFM,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,"{"kind":"flat","type":"CFM","unit":"CFM","value":"640","category":"Minimum Outside Air"}",640,CFM,Minimum Outside Air,CFM
