package_id,package,equipment_id,equipment_tag,component_type_id,component_type_name,quantity,component_id,component_name,component_model,component_manufacturer_name,bod_manufacturer_name
9e2e8a18-7e09-44c1-adb6-f09ead3244e1,PACKAGED ROOFTOP UNIT SCHEDULE,88127912-ba17-4fc3-8f88-80cc5e66b98c,RTU1,d19f3f23-ff8d-4796-8707-88d0507ffc8f,Dedicated Outdoor-Air Units,1,e871f34b-afa2-4115-989e-fcc4952fcb88,RV,RV,Greenheck,Greenheck
9e2e8a18-7e09-44c1-adb6-f09ead3244e1,PACKAGED ROOFTOP UNIT SCHEDULE,f82bfe65-c85b-4fbe-9d91-3d6a57a53a3d,RTU2,c9f534b8-3836-487c-b8c4-6faa10e0b1f2,Packaged Rooftop Air-Conditioning Units,1,83e043df-6232-4d72-8286-d36437f3bf5c,RT,RT,Greenheck,Greenheck
9e2e8a18-7e09-44c1-adb6-f09ead3244e1,PACKAGED ROOFTOP UNIT SCHEDULE,d58edeec-a88f-4000-9684-ac2800bf9a51,RTU3,d19f3f23-ff8d-4796-8707-88d0507ffc8f,Dedicated Outdoor-Air Units,1,e871f34b-afa2-4115-989e-fcc4952fcb88,RV,RV,Greenheck,Greenheck
9e2e8a18-7e09-44c1-adb6-f09ead3244e1,PACKAGED ROOFTOP UNIT SCHEDULE,937e7489-6ca9-4e79-b1c6-5222fbcf865f,RTU4,d19f3f23-ff8d-4796-8707-88d0507ffc8f,Dedicated Outdoor-Air Units,1,e871f34b-afa2-4115-989e-fcc4952fcb88,RV,RV,Greenheck,Greenheck
9e2e8a18-7e09-44c1-adb6-f09ead3244e1,PACKAGED ROOFTOP UNIT SCHEDULE,3b7c5cac-24cc-4b5c-895f-9d739e6d5199,RTU5,d19f3f23-ff8d-4796-8707-88d0507ffc8f,Dedicated Outdoor-Air Units,1,e871f34b-afa2-4115-989e-fcc4952fcb88,RV,RV,Greenheck,Greenheck
9e2e8a18-7e09-44c1-adb6-f09ead3244e1,PACKAGED ROOFTOP UNIT SCHEDULE,6d537d2f-c14e-4e74-be3e-74d577dcf287,RTU6,d19f3f23-ff8d-4796-8707-88d0507ffc8f,Dedicated Outdoor-Air Units,1,e871f34b-afa2-4115-989e-fcc4952fcb88,RV,RV,Greenheck,Greenheck
9e2e8a18-7e09-44c1-adb6-f09ead3244e1,PACKAGED ROOFTOP UNIT SCHEDULE,bf8de828-935a-4666-8eea-d20b27786741,RTU7,c9f534b8-3836-487c-b8c4-6faa10e0b1f2,Packaged Rooftop Air-Conditioning Units,1,83e043df-6232-4d72-8286-d36437f3bf5c,RT,RT,Greenheck,Greenheck
9e2e8a18-7e09-44c1-adb6-f09ead3244e1,PACKAGED ROOFTOP UNIT SCHEDULE,d1b2c345-6306-4d8f-b53e-ce521071c59f,RTU8,d19f3f23-ff8d-4796-8707-88d0507ffc8f,Dedicated Outdoor-Air Units,1,e871f34b-afa2-4115-989e-fcc4952fcb88,RV,RV,Greenheck,Greenheck
9e2e8a18-7e09-44c1-adb6-f09ead3244e1,PACKAGED ROOFTOP UNIT SCHEDULE,569ba467-6397-4ff0-ad88-f03ef41bbdcf,RTU9,d19f3f23-ff8d-4796-8707-88d0507ffc8f,Dedicated Outdoor-Air Units,1,e871f34b-afa2-4115-989e-fcc4952fcb88,RV,RV,Greenheck,Greenheck
1bbefa3b-f010-4d99-87ad-ad992d522470,HVAC POWER VENTILATOR SCHEDULE,f6f3f388-9861-4846-ba9e-a4af3b137019,EF1,70453ac9-069e-4574-9d1e-42bbfd7fb5a9,HVAC Power Ventilators,1,e9cea24b-a393-4d19-880a-f1191e4245a7,G-095-VG,G-095-VG,Greenheck,Greenheck
1bbefa3b-f010-4d99-87ad-ad992d522470,HVAC POWER VENTILATOR SCHEDULE,f5ad8f1d-2afd-4fe5-acbf-2bd62e3ea915,EF2,70453ac9-069e-4574-9d1e-42bbfd7fb5a9,HVAC Power Ventilators,1,e9cea24b-a393-4d19-880a-f1191e4245a7,G-095-VG,G-095-VG,Greenheck,Greenheck
1bbefa3b-f010-4d99-87ad-ad992d522470,HVAC POWER VENTILATOR SCHEDULE,81dde064-9029-489a-8ada-240b12fef05e,EF4,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,1,80afa989-45fb-439b-8f95-fc2111b78093,G-097-VG,G-097-VG,Greenheck,Greenheck
1bbefa3b-f010-4d99-87ad-ad992d522470,HVAC POWER VENTILATOR SCHEDULE,26cb36fd-47ee-44ea-b946-3a6b4153ae18,EF5,5f8252fe-6cc4-47a4-be5d-e9608420df5b,Centrifugal HVAC Fans,0,f371634d-d1f4-41e7-9dbd-b922b01d0f13,SP-LP Series Low-Profile Ceiling Exhaust Fan,SP-LP,Greenheck,Greenheck
1bbefa3b-f010-4d99-87ad-ad992d522470,HVAC POWER VENTILATOR SCHEDULE,0df6556e-4565-43e5-ab5e-fce2a8b5be60,EF3,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,0,8428dfc2-cff3-422d-a024-3dbd44c963d5,G-140-VG,G-140-VG,Greenheck,Greenheck
d23d48b2-8878-400f-afaa-05c43c5de335,SPLIT SYSTEM SCHEDULE - INDOOR FAN COILS,33f504c8-bc3b-4ad8-95a9-0dc1ac1aacd8,HP1,cc54fa6e-5a9b-4e3b-8b32-4c1714ae6ec1,Small-Capacity Split-System Air-Conditioners,1,f1234025-5962-425b-beab-2da2030da966,KUSXB091A,KUSXB091A,LG,LG
d23d48b2-8878-400f-afaa-05c43c5de335,SPLIT SYSTEM SCHEDULE - INDOOR FAN COILS,1062cb1f-c8e7-47b1-9aa6-4d610cfc57a6,HP2,cc54fa6e-5a9b-4e3b-8b32-4c1714ae6ec1,Small-Capacity Split-System Air-Conditioners,2,f1234025-5962-425b-beab-2da2030da966,KUSXB091A,KUSXB091A,LG,LG
d23d48b2-8878-400f-afaa-05c43c5de335,SPLIT SYSTEM SCHEDULE - INDOOR FAN COILS,fa476048-26a5-43d6-a0e9-74dfc5dd6835,HP3,cc54fa6e-5a9b-4e3b-8b32-4c1714ae6ec1,Small-Capacity Split-System Air-Conditioners,2,4bb6bcd5-54dc-4010-8ae0-10cc28d47aef,KUSAB121A,KUSAB121A,LG,LG
d23d48b2-8878-400f-afaa-05c43c5de335,SPLIT SYSTEM SCHEDULE - INDOOR FAN COILS,62a354b2-18f6-4229-bc9e-581c83465a82,HP4,b63f9ac5-8a07-4c9f-aa66-8f0f9326f5ff,Small-Capacity Self-Contained Air-Conditioners,1,1d2f5191-fdac-4290-8c28-31e9a61087f6,KNUAB121A,KNUAB121A,LG,LG
d23d48b2-8878-400f-afaa-05c43c5de335,SPLIT SYSTEM SCHEDULE - INDOOR FAN COILS,cd2b5e01-38d8-4840-b716-57e3677cdebd,HP5,cc54fa6e-5a9b-4e3b-8b32-4c1714ae6ec1,Small-Capacity Split-System Air-Conditioners,1,6f0b3295-f0c6-48f7-b368-4245f891d69c,KUSXB121A,KUSXB121A,LG,LG
d23d48b2-8878-400f-afaa-05c43c5de335,SPLIT SYSTEM SCHEDULE - INDOOR FAN COILS,b1ff99e4-e486-4d45-8ae6-b2055fd99102,HP6,cc54fa6e-5a9b-4e3b-8b32-4c1714ae6ec1,Small-Capacity Split-System Air-Conditioners,1,f1234025-5962-425b-beab-2da2030da966,KUSXB091A,KUSXB091A,LG,LG
d23d48b2-8878-400f-afaa-05c43c5de335,SPLIT SYSTEM SCHEDULE - INDOOR FAN COILS,c693500d-f3ad-4c61-8456-12ebf3b0b8ad,HP7,cc54fa6e-5a9b-4e3b-8b32-4c1714ae6ec1,Small-Capacity Split-System Air-Conditioners,1,91b06043-1919-4bca-b5a3-314c3845f0b5,KUSXB181A,KUSXB181A,LG,LG
d23d48b2-8878-400f-afaa-05c43c5de335,SPLIT SYSTEM SCHEDULE - INDOOR FAN COILS,5e13fb2f-ab26-4408-af05-b99758033893,FC1,cc54fa6e-5a9b-4e3b-8b32-4c1714ae6ec1,Small-Capacity Split-System Air-Conditioners,0,e043f194-c1a6-4438-9e68-7b3408071e27,KNUJB091A,KNUJB091A,LG,LG
d23d48b2-8878-400f-afaa-05c43c5de335,SPLIT SYSTEM SCHEDULE - INDOOR FAN COILS,add31357-50b3-44ca-9543-ba7f70ebcfc5,FC2,cc54fa6e-5a9b-4e3b-8b32-4c1714ae6ec1,Small-Capacity Split-System Air-Conditioners,0,e043f194-c1a6-4438-9e68-7b3408071e27,KNUJB091A,KNUJB091A,LG,LG
d23d48b2-8878-400f-afaa-05c43c5de335,SPLIT SYSTEM SCHEDULE - INDOOR FAN COILS,682a08ec-7207-4f9f-a522-f39b2433561a,FC3,b63f9ac5-8a07-4c9f-aa66-8f0f9326f5ff,Small-Capacity Self-Contained Air-Conditioners,0,1d2f5191-fdac-4290-8c28-31e9a61087f6,KNUAB121A,KNUAB121A,LG,LG
d23d48b2-8878-400f-afaa-05c43c5de335,SPLIT SYSTEM SCHEDULE - INDOOR FAN COILS,6442901e-7ee6-43f7-8b63-9c41663d6252,FC4,b63f9ac5-8a07-4c9f-aa66-8f0f9326f5ff,Small-Capacity Self-Contained Air-Conditioners,0,1d2f5191-fdac-4290-8c28-31e9a61087f6,KNUAB121A,KNUAB121A,LG,LG
d23d48b2-8878-400f-afaa-05c43c5de335,SPLIT SYSTEM SCHEDULE - INDOOR FAN COILS,93c25906-96b8-493c-b4af-fc4d04be0444,FC5,cc54fa6e-5a9b-4e3b-8b32-4c1714ae6ec1,Small-Capacity Split-System Air-Conditioners,0,86409fc2-ffc7-4908-9af8-e3c090a49404,KNUJB121A,KNUJB121A,LG,LG
d23d48b2-8878-400f-afaa-05c43c5de335,SPLIT SYSTEM SCHEDULE - INDOOR FAN COILS,e47ff2ac-5afd-49c6-9240-698d5f102aa2,FC6,cc54fa6e-5a9b-4e3b-8b32-4c1714ae6ec1,Small-Capacity Split-System Air-Conditioners,0,e043f194-c1a6-4438-9e68-7b3408071e27,KNUJB091A,KNUJB091A,LG,LG
d23d48b2-8878-400f-afaa-05c43c5de335,SPLIT SYSTEM SCHEDULE - INDOOR FAN COILS,3cc4aa57-e744-41b0-85a4-26439f70a26f,FC7,997c6c01-cd27-4e2b-971c-7924cbd01df3,Split System Air Conditioners,0,a35bb9a2-4076-453b-b258-fa062c23501b,KNUJB181A,KNUJB181A,LG,LG
edc06bde-f032-4158-8315-94b8741edbce,"GRILLES, REGISTERS, AND DIFFUSERS SCHEDULE",a8006c1b-543c-4fbd-b2f3-054e60894691,E2,96e3c67f-58e4-4b2e-acd4-884ab173b553,Ceiling Diffusers,1,876b0680-3359-4a6c-a692-4da8e5932d5c,530,530,Titus,Titus
edc06bde-f032-4158-8315-94b8741edbce,"GRILLES, REGISTERS, AND DIFFUSERS SCHEDULE",536219e4-5800-426c-bfce-3f5f2d9be80a,E1,96e3c67f-58e4-4b2e-acd4-884ab173b553,Ceiling Diffusers,0,876b0680-3359-4a6c-a692-4da8e5932d5c,530,530,Titus,Titus
edc06bde-f032-4158-8315-94b8741edbce,"GRILLES, REGISTERS, AND DIFFUSERS SCHEDULE",c5ee7300-1852-48af-ace2-9cc6997c3319,R1,96e3c67f-58e4-4b2e-acd4-884ab173b553,Ceiling Diffusers,0,876b0680-3359-4a6c-a692-4da8e5932d5c,530,530,Titus,Titus
edc06bde-f032-4158-8315-94b8741edbce,"GRILLES, REGISTERS, AND DIFFUSERS SCHEDULE",0d2ff51f-72cb-49fa-b107-1d0a79f352d4,R2,96e3c67f-58e4-4b2e-acd4-884ab173b553,Ceiling Diffusers,0,876b0680-3359-4a6c-a692-4da8e5932d5c,530,530,Titus,Titus
edc06bde-f032-4158-8315-94b8741edbce,"GRILLES, REGISTERS, AND DIFFUSERS SCHEDULE",03b9c7ea-cea7-4139-bd47-12865597c807,S2,96e3c67f-58e4-4b2e-acd4-884ab173b553,Ceiling Diffusers,0,9937cb60-e70e-40df-ba05-08f70af0f2a8,SPD,SPD,Square D,Square D
edc06bde-f032-4158-8315-94b8741edbce,"GRILLES, REGISTERS, AND DIFFUSERS SCHEDULE",5ad0b60d-8fda-4d7d-b3f0-5497c10e09f6,S3,96e3c67f-58e4-4b2e-acd4-884ab173b553,Ceiling Diffusers,0,9937cb60-e70e-40df-ba05-08f70af0f2a8,SPD,SPD,Square D,Square D
edc06bde-f032-4158-8315-94b8741edbce,"GRILLES, REGISTERS, AND DIFFUSERS SCHEDULE",6d36a36d-0d44-4e87-aaa1-0ed81ed10d9d,S4,96e3c67f-58e4-4b2e-acd4-884ab173b553,Ceiling Diffusers,0,9937cb60-e70e-40df-ba05-08f70af0f2a8,SPD,SPD,Square D,Square D
edc06bde-f032-4158-8315-94b8741edbce,"GRILLES, REGISTERS, AND DIFFUSERS SCHEDULE",10b90e91-111b-4cd2-9b6d-fd131ad752bb,S5,96e3c67f-58e4-4b2e-acd4-884ab173b553,Ceiling Diffusers,0,9937cb60-e70e-40df-ba05-08f70af0f2a8,SPD,SPD,Square D,Square D
edc06bde-f032-4158-8315-94b8741edbce,"GRILLES, REGISTERS, AND DIFFUSERS SCHEDULE",bcadafe4-6e6c-4544-977d-037979842d93,S6,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,086ffc40-6801-44a4-9d10-3fe51dd662c5,RPD,RPD,Price Industries,Price Industries
edc06bde-f032-4158-8315-94b8741edbce,"GRILLES, REGISTERS, AND DIFFUSERS SCHEDULE",452ddb63-63e3-4469-87dc-07213413ffd9,R3,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,1ed2f949-440b-4d19-bea4-e25cf7610833,60,60,Price Industries,Price Industries
edc06bde-f032-4158-8315-94b8741edbce,"GRILLES, REGISTERS, AND DIFFUSERS SCHEDULE",615b2427-48d0-4df2-9ae5-b3192f84f07f,R4,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,13387eee-8dbc-4c49-ab37-3e3c205a98be,SDS,SDS,Titus,Titus
edc06bde-f032-4158-8315-94b8741edbce,"GRILLES, REGISTERS, AND DIFFUSERS SCHEDULE",e0619612-5946-44f4-8338-23fd32f337d4,S1,96e3c67f-58e4-4b2e-acd4-884ab173b553,Ceiling Diffusers,0,9937cb60-e70e-40df-ba05-08f70af0f2a8,SPD,SPD,Square D,Square D
edc06bde-f032-4158-8315-94b8741edbce,"GRILLES, REGISTERS, AND DIFFUSERS SCHEDULE",4e9a07d5-927b-4713-aa03-3daf698cbfee,S8,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,13387eee-8dbc-4c49-ab37-3e3c205a98be,SDS,SDS,Titus,Titus
edc06bde-f032-4158-8315-94b8741edbce,"GRILLES, REGISTERS, AND DIFFUSERS SCHEDULE",f0609b29-7380-470e-9565-011f8a009470,S9,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,13387eee-8dbc-4c49-ab37-3e3c205a98be,SDS,SDS,Titus,Titus
edc06bde-f032-4158-8315-94b8741edbce,"GRILLES, REGISTERS, AND DIFFUSERS SCHEDULE",9cc80e1f-1eac-42c6-90e6-bacf4ff1879f,S7,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,01e5e9ee-39ab-432e-8782-5d0c77aa6d7d,ND,ND,Price Industries,Price Industries
