equipment_id,equipment_tag,component_type_id,component_type_name,quantity,component_id,component_name,component_model,component_manufacturer_name,bod_manufacturer_name
2a8688e0-750c-4a8e-b1b0-b8c31150db47,E,8960cff0-1338-418a-8036-266a836eb115,LED Interior Lighting,11,3345e42a-1a4c-4656-b79f-8268d24143ff,SOVIL-EM-G-2M-XX-RC-XX,SOVIL-EM-G-2M-XX-RC-XX,EVENLITE,EVENLITE
ffa89510-b6d7-4bc5-a596-eb81f6739be1,C,8960cff0-1338-418a-8036-266a836eb115,LED Interior Lighting,18,38a6b0bf-c263-440e-9c49-3898e3c80d7f,TC1-R5BDXXXXW1840BF2M,TC1-R5BDXXXXW1840BF2M,FLUXWERX,FLUXWERX
8a9b414f-3ccb-4701-9fb0-e65a1d98daee,A,8960cff0-1338-418a-8036-266a836eb115,LED Interior Lighting,19,df801c63-32b0-4ef5-a85a-6b9acf30b0b1,NX122A40F2M,NX122A40F2M,FLUXWERX,FLUXWERX
3fe7b611-94ae-4a79-b9fa-82bad4888391,B,8960cff0-1338-418a-8036-266a836eb115,LED Interior Lighting,6,09ef1300-83c8-4659-9bdd-aca7e0b34540,NX224C40F2M,NX224C40F2M,FLUXWERX,FLUXWERX
7a04bb37-c077-453c-b270-5e8670cca072,J,8960cff0-1338-418a-8036-266a836eb115,LED Interior Lighting,31,0c80ad6f-d414-4d8d-a051-0c9d5cd3f303,TOPFS-09-SW-4-075-ENC-ENC/TL-N/A-S2-BW-CLS-STD,TOPFS-09-SW-4-075-ENC-ENC/TL-N/A-S2-BW-CLS-STD,QTL Lighting,QTL Lighting
f182ca4a-2d4b-4f9c-b44a-77bced986ef3,O,8960cff0-1338-418a-8036-266a836eb115,LED Interior Lighting,0,8e8eacdd-b566-4dd4-b9ab-889293c95a31,SD20LM40K8020CLXXXUNVNDIM10,SD20LM40K8020CLXXXUNVNDIM10,DESIGN PLAN,DESIGN PLAN
5dc4f855-a789-4451-a3e7-7645b56fc832,D2E,8960cff0-1338-418a-8036-266a836eb115,LED Interior Lighting,0,955d09e8-8fe7-4f5a-ab92-2696e5c4e239,RV3-P1DA-60-MW-XXX-LED1-40K-UNV-48-DM1/PLD10M+,RV3-P1DA-60-MW-XXX-LED1-40K-UNV-48-DM1/PLD10M+,"Geoclima USA, Inc.","Geoclima USA, Inc."
2c7e5c9d-cba9-4d4e-afe3-6b2ff835929c,WE,8960cff0-1338-418a-8036-266a836eb115,LED Interior Lighting,0,22af7127-a923-4fd4-bcd7-4e5a2623658e,F30949.X.4.01.US/MIP-36,F30949.X.4.01.US/MIP-36,DESIGN PLAN,DESIGN PLAN
56a36ef1-0d08-4dda-bf2a-3c8726927677,G1,8960cff0-1338-418a-8036-266a836eb115,LED Interior Lighting,0,db577cb6-6195-412e-a0d4-05678ab928aa,NN1LPD1BBD40F2M4",NN1LPD1BBD40F2M4",FLUXWERX,FLUXWERX
f92d450f-69b6-42d7-a7e6-64c61608cef3,R,8960cff0-1338-418a-8036-266a836eb115,LED Interior Lighting,0,e9acfd67-5f33-45ef-857f-cde6f4db9224,KLA-L-2-40-XX-CD,KLA-L-2-40-XX-CD,DESIGN PLAN,DESIGN PLAN
67a1e2fd-7514-49ac-8f59-9823aec8b0ca,F3,8960cff0-1338-418a-8036-266a836eb115,LED Interior Lighting,0,269f2e94-9cfe-47f2-84cb-357c55d1894a,TALO-XX-HSS-DF-NI-67",TALO-XX-HSS-DF-NI-67",QTL Lighting,QTL Lighting
dee34f1d-e2e8-4391-a0da-1d2f6fc0cee1,G2E,8960cff0-1338-418a-8036-266a836eb115,LED Interior Lighting,0,84864191-0258-47d3-abba-a4c6e81e99c9,NN1LPD1BBD40F2M#B#,NN1LPD1BBD40F2M#B#,FLUXWERX,FLUXWERX
3118831e-db82-4daa-bc1f-fd0ead20fb46,W,8960cff0-1338-418a-8036-266a836eb115,LED Interior Lighting,0,1aad2a8f-c9c2-4b97-8ec6-a2a7928c8d20,F30949.X.4.01.US,F30949.X.4.01.US,DESIGN PLAN,DESIGN PLAN
b25da769-4ed3-42ae-bc2a-f84245edecc9,P,8960cff0-1338-418a-8036-266a836eb115,LED Interior Lighting,0,ddd0c0ab-c2bb-45da-b3e6-51ada1fdd5d5,KM50D1K30JUIKC0KHSASP,KM50D1K30JUIKC0KHSASP,DURAGUARD,DURAGUARD
aa3a99f0-1c70-4244-a772-c32ef53ade71,D4,8960cff0-1338-418a-8036-266a836eb115,LED Interior Lighting,0,1ed7367d-9843-49ad-8c16-c8215f16d483,RV3-P1DA-36-MW-XXX-LED1-40K-UNV-48-DM1,RV3-P1DA-36-MW-XXX-LED1-40K-UNV-48-DM1,"Geoclima USA, Inc.","Geoclima USA, Inc."
acd720ab-536a-4a93-93ad-ca54423586b3,D3,8960cff0-1338-418a-8036-266a836eb115,LED Interior Lighting,0,c284ae50-443d-4aa5-8c66-dd99c03e5070,RV3-P1DA-48-MW-XXX-LED1-40K-UNV-48-DM1,RV3-P1DA-48-MW-XXX-LED1-40K-UNV-48-DM1,"Geoclima USA, Inc.","Geoclima USA, Inc."
4cf9e2c7-4ae1-469b-a8a2-b6dffc9412ca,F1,8960cff0-1338-418a-8036-266a836eb115,LED Interior Lighting,0,c3aa4064-a368-4577-9c41-c5b2712bf996,TALO-XX-HSS-DF-NI-35",TALO-XX-HSS-DF-NI-35",QTL Lighting,QTL Lighting
b9c6111a-175f-435d-8a95-6c79b86e11b4,D2,8960cff0-1338-418a-8036-266a836eb115,LED Interior Lighting,0,a5919fc6-ef3b-4b06-89e0-a31f70492ee4,RV3-P1DA-60-MW-XXX-LED1-40K-UNV-48-DM1,RV3-P1DA-60-MW-XXX-LED1-40K-UNV-48-DM1,"Geoclima USA, Inc.","Geoclima USA, Inc."
b88b8e4a-da4d-43b2-a8e6-415d5e173033,D1,8960cff0-1338-418a-8036-266a836eb115,LED Interior Lighting,0,66c05c66-2f91-4af8-be63-ba04fe7e8856,RV3-P1DA-72-MW-XXX-LED1-40K-UNV-48-DM1,RV3-P1DA-72-MW-XXX-LED1-40K-UNV-48-DM1,"Geoclima USA, Inc.","Geoclima USA, Inc."
51b1997e-b454-49d1-b0d8-8236da877ffb,H1,8960cff0-1338-418a-8036-266a836eb115,LED Interior Lighting,0,8caecd47-2018-4dd5-95f0-e3d167429de1,ATOM-01-SW-4-040DRYXXS1BWBYWBCKL2PSS7X72E,ATOM-01-SW-4-040DRYXXS1BWBYWBCKL2PSS7X72E,QTL Lighting,QTL Lighting
af8b7908-7ac6-4900-af77-c39889532720,AE,8960cff0-1338-418a-8036-266a836eb115,LED Interior Lighting,0,d22870fa-296e-40e7-b801-d5756dd80ed5,NX122A40F2MB,NX122A40F2MB,FLUXWERX,FLUXWERX
350ca9b6-e6ce-4d17-b5b0-9b8e4a6c5622,H2,8960cff0-1338-418a-8036-266a836eb115,LED Interior Lighting,0,3b61c915-617f-4c75-8753-0369d91a7c5b,ATOM-01-SW-4-040DRYXXS1BWBYWBCKL2PSS7X96E,ATOM-01-SW-4-040DRYXXS1BWBYWBCKL2PSS7X96E,QTL Lighting,QTL Lighting
f4647b42-2f60-453d-831a-8364c9ce9654,T,b743c3f0-ca37-4509-8738-8dec2521fdf9,Exterior Lighting,0,dc04c65b-4b6c-4319-af3f-3ffcf0b6a4e9,K1A311E9S,K1A311E9S,DESIGN PLAN,DESIGN PLAN
0581239a-670a-4685-856d-1345fa4b64b3,CE,8960cff0-1338-418a-8036-266a836eb115,LED Interior Lighting,0,b655c49e-3798-48e8-81ef-0409325473c6,TC1-R5BDXXXXW1840BF2MB,TC1-R5BDXXXXW1840BF2MB,FLUXWERX,FLUXWERX
194720b2-49a7-4005-b123-601eba54921d,F2,8960cff0-1338-418a-8036-266a836eb115,LED Interior Lighting,0,74a336e4-92c9-4776-938a-dcc2909c59af,TALO-XX-HSS-DF-NI-44",TALO-XX-HSS-DF-NI-44",QTL Lighting,QTL Lighting
d1a35436-9f5b-42f8-a405-af9ea98dc03c,UC1,8960cff0-1338-418a-8036-266a836eb115,LED Interior Lighting,0,6b0f37a1-e27f-4d6a-827c-33811b6c233c,LL1SW-4-40-DRY-STD-DF-S1-BW-CLS-WH-CL2-M4-96,LL1SW-4-40-DRY-STD-DF-S1-BW-CLS-WH-CL2-M4-96,QTL Lighting,QTL Lighting
f3ed2164-eec0-40d2-8a9c-2d90dbc787e4,G2,8960cff0-1338-418a-8036-266a836eb115,LED Interior Lighting,0,cd1095cd-5cf7-4a80-a3b1-530200410b3e,NN1LPD1BBD40F2M#",NN1LPD1BBD40F2M#",FLUXWERX,FLUXWERX
f6932a2b-94f4-4811-aa2a-7f0534b145c7,TE,8960cff0-1338-418a-8036-266a836eb115,LED Interior Lighting,0,967b68c1-f13f-4a4d-8633-70b383e9a6dc,K1A311E9S,K1A311E9S,DESIGN PLAN,DESIGN PLAN
f1210392-d1d4-451d-ba86-66a4c4c34937,OE,8960cff0-1338-418a-8036-266a836eb115,LED Interior Lighting,0,5018f75e-f218-45ef-b0e6-f3ddcc3e8208,SD20LM40K8020CLXXXUNVNDIM10EM7,SD20LM40K8020CLXXXUNVNDIM10EM7,DESIGN PLAN,DESIGN PLAN
17206c81-77fd-47e8-89f1-6989291f3e08,I,8960cff0-1338-418a-8036-266a836eb115,LED Interior Lighting,0,80886068-3541-4e40-b9e9-678cb9bf953f,TALO-XX-HSS-DF-NI-53",TALO-XX-HSS-DF-NI-53",QTL Lighting,QTL Lighting
eb8dd94f-738a-4625-adb9-7bb75b79eab6,SE,8960cff0-1338-418a-8036-266a836eb115,LED Interior Lighting,0,d30d3e6f-2fab-4567-8ba9-2599f17c85fb,STW100-4-4L-FRAX-BPLSL1.5-DRDM-UNV-1/840,STW100-4-4L-FRAX-BPLSL1.5-DRDM-UNV-1/840,LOS ANGELES LIGHTING,LOS ANGELES LIGHTING
83b6b6f8-5fee-476d-a346-63f483932088,S,8960cff0-1338-418a-8036-266a836eb115,LED Interior Lighting,0,cc416b50-046f-4fdf-a7bd-064f2c4dcdb6,STW100-4-4L-FRAX-DRDM-UNV-1/840,STW100-4-4L-FRAX-DRDM-UNV-1/840,LOS ANGELES LIGHTING,LOS ANGELES LIGHTING
