equipment_id,equipment_tag,component_type_id,component_type_name,quantity,component_id,component_name,component_model,component_manufacturer_name,bod_manufacturer_name
8501f25c-600a-42b5-a095-77caa3b403b3,SF-P-6,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,0,3fadf9dd-aad3-4628-8318-5f4806af98ed,SQ-16-M2-VG,SQ-16-M2-VG,Greenheck,Greenheck
dff0c373-7430-49ca-8848-82b757be5b82,SF-P-3,70453ac9-069e-4574-9d1e-42bbfd7fb5a9,HVAC Power Ventilators,0,63c53df6-2ff0-4de4-b33d-9f860c2ba021,RBS-3L72,RBS-3L72,Greenheck,Greenheck
794c6b8b-a94d-4cdb-87f6-9b8437dfda87,EF-P-2,325195ec-2b34-47df-8649-72c4d599c693,Axial HVAC Fans,0,3dcdfd5a-9697-4bce-8699-6259371215ee,TBI-CA-5L60,TBI-CA-5L60,Greenheck,Greenheck
65f8b770-426b-4f7c-a727-278255702299,EF-P-7,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,0,,,,,
2723dc58-06c4-4866-a6bb-ceb8910bd55e,EF-P-19,5f8252fe-6cc4-47a4-be5d-e9608420df5b,Centrifugal HVAC Fans,0,436f2c0a-890c-4fcb-8404-a460a29cae62,USF-12-B6,USF-12-B6,Greenheck,Greenheck
10c67a89-170c-4725-b807-bab6fcb2572f,EF-P-22,5f8252fe-6cc4-47a4-be5d-e9608420df5b,Centrifugal HVAC Fans,0,2efec804-4ec7-478d-8aa2-a648a7e24062,USF-12-B7,USF-12-B7,Greenheck,Greenheck
18089549-fbea-40de-9b5a-09e5673fdc56,EF-O-5,70453ac9-069e-4574-9d1e-42bbfd7fb5a9,HVAC Power Ventilators,0,1cf02e07-b8d5-4c75-ad17-62bae183b50a,G-070-VG,G-070-VG,Greenheck,Greenheck
dfa170f0-94cb-4098-aa56-d8a16e5cd9c8,EF-O-4,70453ac9-069e-4574-9d1e-42bbfd7fb5a9,HVAC Power Ventilators,0,e9cea24b-a393-4d19-880a-f1191e4245a7,G-095-VG,G-095-VG,Greenheck,Greenheck
74b1c6c2-3435-4860-9ca4-bef6a2165cd1,TF-P-2,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,0,f9ed915f-f2e9-4dbe-9a6e-d6c1b6ac94db,MSX-P124-H32-MF,MSX-P124-H32-MF,Greenheck,Greenheck
d31186e1-82d8-4fc6-ab04-6d4b0435ccc9,EF-P-23,70453ac9-069e-4574-9d1e-42bbfd7fb5a9,HVAC Power Ventilators,0,e9cea24b-a393-4d19-880a-f1191e4245a7,G-095-VG,G-095-VG,Greenheck,Greenheck
