equipment_id,equipment_tag,component_type_id,component_type_name,quantity,component_id,component_name,component_model,component_manufacturer_name,bod_manufacturer_name
1213b2fb-2c55-49c3-9490-bf0721e17453,VAV6-02,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,91f7ef49-1832-4dd3-85e0-7e88e708b94a,DESV SERIES,DESV,Titus,Titus
5a997cd7-7a4d-47bb-ad5a-ef512b98f63c,VAV7-05,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,91f7ef49-1832-4dd3-85e0-7e88e708b94a,DESV SERIES,DESV,Titus,Titus
225733c2-999d-4e7b-aaa9-1c99b4bd60e1,VAV3-03,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,91f7ef49-1832-4dd3-85e0-7e88e708b94a,DESV SERIES,DESV,Titus,Titus
37133590-0fd6-46a1-aa02-bde8b89c16df,VAV3-02,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,91f7ef49-1832-4dd3-85e0-7e88e708b94a,DESV SERIES,DESV,Titus,Titus
f694af83-dd8d-4adf-81b2-6e9caae33169,VAV6-03,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,91f7ef49-1832-4dd3-85e0-7e88e708b94a,DESV SERIES,DESV,Titus,Titus
770fc33c-ece1-4737-bea8-83750c644d17,VAV-25-5,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,91f7ef49-1832-4dd3-85e0-7e88e708b94a,DESV SERIES,DESV,Titus,Titus
25007497-123a-48d4-aab4-b77e83aaf7fd,VAV3-04,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,91f7ef49-1832-4dd3-85e0-7e88e708b94a,DESV SERIES,DESV,Titus,Titus
87c83043-4f9f-4639-9caa-6ac77328da55,VAV7-01,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,91f7ef49-1832-4dd3-85e0-7e88e708b94a,DESV SERIES,DESV,Titus,Titus
cc6cc4c5-4f0b-40c2-86f6-c8feb8e22d62,VAV6-07,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,91f7ef49-1832-4dd3-85e0-7e88e708b94a,DESV SERIES,DESV,Titus,Titus
1d6eaf9c-938f-46cb-bd3b-2d1e18e39048,VAV-25-3,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,91f7ef49-1832-4dd3-85e0-7e88e708b94a,DESV SERIES,DESV,Titus,Titus
88aee334-ef98-4811-8bbb-194a05315b13,VAV9-05,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,91f7ef49-1832-4dd3-85e0-7e88e708b94a,DESV SERIES,DESV,Titus,Titus
