package_id,package,equipment_id,equipment_tag,component_type_id,component_type_name,quantity,component_id,component_name,component_model,component_manufacturer_name,bod_manufacturer_name
e0d9fb01-4682-49a7-a1d2-fc81261bf59e,FAN SCHEDULE,c2d5fb3c-49fc-4726-869b-6f0dccada262,EF-01,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,1,9344c2d8-d711-42ef-b438-705a565b5fe1,CUE-140-VG,CUE-140-VG,Greenheck,Greenheck
e0d9fb01-4682-49a7-a1d2-fc81261bf59e,FAN SCHEDULE,5dadf30c-6a05-44a1-ac37-006e78235be3,SF-01,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,1,8cb0f559-d339-43e0-aded-2037fde99ed6,SQ-140-VG,SQ-140-VG,Greenheck,Greenheck
e0d9fb01-4682-49a7-a1d2-fc81261bf59e,FAN SCHEDULE,e196438a-9e95-4f7c-90df-6911158a8252,SF-02,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,1,82323c3f-2e6b-465a-a372-506d4916379f,BCSW-FRP-22,BCSW-FRP-22,Greenheck,Greenheck
e4a728ec-94ce-4b80-9302-740240a14954,"DIFFUSER, REGISTER, AND GRILLE SCHEDULE",f9bf4919-fb54-47fe-9889-afdc93f7e993,EG-1,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",2,5480e1fa-2035-4f89-ba67-f161755dbce6,610Z,610Z,Price Industries,Price Industries
e4a728ec-94ce-4b80-9302-740240a14954,"DIFFUSER, REGISTER, AND GRILLE SCHEDULE",e433d162-58c4-41b1-8f3a-1c61cd7714a9,SG-1,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",4,0f2a718c-8715-4756-bd55-d4ae4a3ec0f4,620DAL/S,620DAL/S,Price Industries,Price Industries
e4a728ec-94ce-4b80-9302-740240a14954,"DIFFUSER, REGISTER, AND GRILLE SCHEDULE",06eae03d-3534-4e8f-acb7-b793a90503c6,RG-1,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",1,e063ef2a-bc0b-47c7-9940-9f31a76e19aa,630DAL/L,630DAL/L,Price Industries,Price Industries
b5725bdb-7b99-4490-b8f0-14a0ba3c1167,PACKAGED ROOF TOP UNIT SCHEDULE,3b91db1e-e278-4bb3-b622-700151d0a395,AHU-01,c9f534b8-3836-487c-b8c4-6faa10e0b1f2,Packaged Rooftop Air-Conditioning Units,1,15ee4141-7618-4724-91a3-3bda8087531c,DPSH15B,DPSH15B,Daikin Applied,Daikin Applied
3cc48edb-dcae-4133-b840-2fe5f47b3e2f,ELECTRIC UNIT HEATER SCHEDULE,0f36455e-faff-415f-9864-0b3dfa1c13a1,EUH-02,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,2,34f84f55-a3df-45fe-afc4-f96004412da7,HER SERIES,HER SERIES,Modine,Modine
3cc48edb-dcae-4133-b840-2fe5f47b3e2f,ELECTRIC UNIT HEATER SCHEDULE,c40bd96d-3285-4161-a4c7-f1568dbf47c3,EUH-01,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,1,34f84f55-a3df-45fe-afc4-f96004412da7,HER SERIES,HER SERIES,Modine,Modine
be948e36-8e04-4ac9-b4de-33e2c381afad,LOUVER SCHEDULE,fda50f96-baa1-4d12-95f4-cf12493a8b64,L-01,dec3a91e-f422-4b12-9c05-8b118c8d1057,Louvers,1,09490efa-9f83-4565-a840-864e0b2dcd8a,EHH-501,EHH-501,Greenheck,Greenheck
