equipment_id,equipment_tag,component_type_id,component_type_name,quantity,component_id,component_name,component_model,component_manufacturer_name,bod_manufacturer_name
e0cee7e2-3827-458c-a82c-02faffdd9105,O,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,ceb4a013-72cd-452d-9578-1536cde30513,61DVC,61DVC,Nailor,Nailor
3c72c8de-6e6b-47a9-a613-31d4abd01305,P,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,b9955b38-c442-4e17-99b7-9544c9ce5823,FLH,FLH,Nailor,Nailor
8b4f7e6a-19e6-4cf9-bf9f-37f05bd9f84e,E,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,07ab2416-a7a3-4d28-9bba-9fb7e09d8b7a,UNI,UNI,Nailor,Nailor
2dcedeb9-e519-4cb2-a38e-385103cfec8c,C,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,07ab2416-a7a3-4d28-9bba-9fb7e09d8b7a,UNI,UNI,Nailor,Nailor
f22a7f83-a331-4f64-927d-31494e639f96,H,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,559836c8-e8e8-4efd-a3e1-37e67a5d5a90,4260,4260,Nailor,Nailor
f8f05140-fa40-40f1-b313-691d55b15204,A,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,07ab2416-a7a3-4d28-9bba-9fb7e09d8b7a,UNI,UNI,Nailor,Nailor
fd3ddfd4-2e2f-427f-b5d1-6ae80b559d16,K,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,b9955b38-c442-4e17-99b7-9544c9ce5823,FLH,FLH,Nailor,Nailor
cfdd0560-4ae7-46ec-9c25-2cd97c273d5d,Q,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,d98b4dd5-0fd3-494e-890d-f23043adefd5,FLR,FLR,Nailor,Nailor
70289208-eacc-43e9-84e8-8d481f679bf6,B,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,07ab2416-a7a3-4d28-9bba-9fb7e09d8b7a,UNI,UNI,Nailor,Nailor
7dbe4a76-5210-48b6-a86b-25eb59db8acc,L,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,ceb4a013-72cd-452d-9578-1536cde30513,61DVC,61DVC,Nailor,Nailor
4320dfc1-27c1-42b4-9b45-dc97188ae0a0,M,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,ceb4a013-72cd-452d-9578-1536cde30513,61DVC,61DVC,Nailor,Nailor
6d013574-7e17-49c3-b28e-48f157c61dbf,J,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,559836c8-e8e8-4efd-a3e1-37e67a5d5a90,4260,4260,Nailor,Nailor
768eb4d8-c2c4-47c8-ae4d-a27cdfcab77e,I,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,559836c8-e8e8-4efd-a3e1-37e67a5d5a90,4260,4260,Nailor,Nailor
e57f9724-572a-4f66-9a29-738aaf6729c7,D,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,07ab2416-a7a3-4d28-9bba-9fb7e09d8b7a,UNI,UNI,Nailor,Nailor
30b9aaf0-2697-4a5d-af3b-a432ed1d1b05,F,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,559836c8-e8e8-4efd-a3e1-37e67a5d5a90,4260,4260,Nailor,Nailor
d76a9437-aff1-4798-9fee-7d83eba96dd3,G,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,559836c8-e8e8-4efd-a3e1-37e67a5d5a90,4260,4260,Nailor,Nailor
99bd9764-8e2f-4694-a916-10f722223565,N,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,d98b4dd5-0fd3-494e-890d-f23043adefd5,FLR,FLR,Nailor,Nailor
