spec_id,equipment_id,type_id,type_name,option_id,option_name,unit_id,unit_name,raw_specs,literal_value,literal_unit,literal_category,literal_type
3bebbcf7-12d9-4984-a8e0-6bc67f98e877,085524d0-0dca-472f-b74a-e878865857c8,,,,,650142fc-4ae1-4891-ba32-533946d0ba08,Kilowatts,"{"kind":"flat","type":"Electric Resistance Heater KW Size (Auxiliary)","unit":"KW","value":"20.0","category":"Heating Capacities: 1st Stage Heat Pump (30°F Ambient) + Elect Heat"}",20.0,KW,Heating Capacities: 1st Stage Heat Pump (30°F Ambient) + Elect Heat,Electric Resistance Heater KW Size (Auxiliary)
b6ff6625-0f04-4079-a903-159b41e45ec5,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Model","unit":null,"value":"RN-015","category":null}",RN-015,,,Model
5db346d3-f507-48d0-967d-7ba24a47b8fe,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"ISHRE2 (STANDARD AHRI 920)","unit":null,"value":"5.6","category":"MIN AHRI DEHUM η (EFF)"}",5.6,,MIN AHRI DEHUM η (EFF),ISHRE2 (STANDARD AHRI 920)
d226113c-a3e7-47f6-95e2-a6e44c8f85d4,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"SCCR Rating","unit":null,"value":"10K","category":null}",10K,,,SCCR Rating
3e9e0d66-dfd3-459e-a428-3443a7ae4b10,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Dirty Filter","unit":"IWC","value":"0.75","category":"Supply Fan Section"}",0.75,IWC,Supply Fan Section,Dirty Filter
cc2f16fc-72b7-493b-ad33-b5034ee288af,085524d0-0dca-472f-b74a-e878865857c8,,,,,70284fc6-f347-49e1-b657-567b4a3bb6a9,Horsepower,"{"kind":"flat","type":"HP","unit":"HP","value":"5","category":"Supply Fan Section"}",5,HP,Supply Fan Section,HP
5bd72855-6f96-4885-bf6e-d9d4dbb32d0e,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"E.S.P.","unit":"IWC","value":"0.3","category":"Exhaust Fan Section"}",0.3,IWC,Exhaust Fan Section,E.S.P.
033441a7-7762-4f25-9150-062b88c94df7,085524d0-0dca-472f-b74a-e878865857c8,,,,,70284fc6-f347-49e1-b657-567b4a3bb6a9,Horsepower,"{"kind":"flat","type":"HP","unit":"HP","value":"2.0","category":"Exhaust Fan Section"}",2.0,HP,Exhaust Fan Section,HP
84bb3099-2aee-472a-b980-ff24bff6a226,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Outdoor EAT DB","unit":"F","value":"110.0","category":"Summer Design Energy Wheel Performance"}",110.0,F,Summer Design Energy Wheel Performance,Outdoor EAT DB
e5f0118c-2c9e-4fcc-b1a9-235b03d21ce3,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Outdoor EAT WB","unit":"F","value":"73.0","category":"Summer Design Energy Wheel Performance"}",73.0,F,Summer Design Energy Wheel Performance,Outdoor EAT WB
7a835c2c-3f48-4a22-acd3-065714d62c4b,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Exhaust EAT DB","unit":"F","value":"75.0","category":"Summer Design Energy Wheel Performance"}",75.0,F,Summer Design Energy Wheel Performance,Exhaust EAT DB
61aed68d-ef18-4a38-be6b-bd848c627dea,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Exhaust EAT WB","unit":"F","value":"63.0","category":"Summer Design Energy Wheel Performance"}",63.0,F,Summer Design Energy Wheel Performance,Exhaust EAT WB
c8ce1a3d-96d7-421b-9fc2-45047ada682a,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Supply LAT DB","unit":"F","value":"91.1","category":"Summer Design Energy Wheel Performance"}",91.1,F,Summer Design Energy Wheel Performance,Supply LAT DB
162b4449-6850-41fa-afda-da10f8db1760,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Supply LAT WB","unit":"F","value":"67.8","category":"Summer Design Energy Wheel Performance"}",67.8,F,Summer Design Energy Wheel Performance,Supply LAT WB
97980933-6db1-45d7-950e-ac8e78117f77,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Outdoor EAT DB","unit":"F","value":"30.0","category":"Winter Design Energy Wheel Performance"}",30.0,F,Winter Design Energy Wheel Performance,Outdoor EAT DB
