package_id,spec_id,equipment_id,type_id,type_name,option_id,option_name,unit_id,unit_name,raw_specs,literal_value,literal_unit,literal_category,literal_type
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,3bebbcf7-12d9-4984-a8e0-6bc67f98e877,085524d0-0dca-472f-b74a-e878865857c8,,,,,650142fc-4ae1-4891-ba32-533946d0ba08,Kilowatts,"{"kind":"flat","type":"Electric Resistance Heater KW Size (Auxiliary)","unit":"KW","value":"20.0","category":"Heating Capacities: 1st Stage Heat Pump (30°F Ambient) + Elect Heat"}",20.0,KW,Heating Capacities: 1st Stage Heat Pump (30°F Ambient) + Elect Heat,Electric Resistance Heater KW Size (Auxiliary)
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,b6ff6625-0f04-4079-a903-159b41e45ec5,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Model","unit":null,"value":"RN-015","category":null}",RN-015,,,Model
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,5db346d3-f507-48d0-967d-7ba24a47b8fe,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"ISHRE2 (STANDARD AHRI 920)","unit":null,"value":"5.6","category":"MIN AHRI DEHUM η (EFF)"}",5.6,,MIN AHRI DEHUM η (EFF),ISHRE2 (STANDARD AHRI 920)
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,d226113c-a3e7-47f6-95e2-a6e44c8f85d4,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"SCCR Rating","unit":null,"value":"10K","category":null}",10K,,,SCCR Rating
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,3e9e0d66-dfd3-459e-a428-3443a7ae4b10,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Dirty Filter","unit":"IWC","value":"0.75","category":"Supply Fan Section"}",0.75,IWC,Supply Fan Section,Dirty Filter
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,cc2f16fc-72b7-493b-ad33-b5034ee288af,085524d0-0dca-472f-b74a-e878865857c8,,,,,70284fc6-f347-49e1-b657-567b4a3bb6a9,Horsepower,"{"kind":"flat","type":"HP","unit":"HP","value":"5","category":"Supply Fan Section"}",5,HP,Supply Fan Section,HP
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,5bd72855-6f96-4885-bf6e-d9d4dbb32d0e,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"E.S.P.","unit":"IWC","value":"0.3","category":"Exhaust Fan Section"}",0.3,IWC,Exhaust Fan Section,E.S.P.
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,033441a7-7762-4f25-9150-062b88c94df7,085524d0-0dca-472f-b74a-e878865857c8,,,,,70284fc6-f347-49e1-b657-567b4a3bb6a9,Horsepower,"{"kind":"flat","type":"HP","unit":"HP","value":"2.0","category":"Exhaust Fan Section"}",2.0,HP,Exhaust Fan Section,HP
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,84bb3099-2aee-472a-b980-ff24bff6a226,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Outdoor EAT DB","unit":"F","value":"110.0","category":"Summer Design Energy Wheel Performance"}",110.0,F,Summer Design Energy Wheel Performance,Outdoor EAT DB
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,e5f0118c-2c9e-4fcc-b1a9-235b03d21ce3,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Outdoor EAT WB","unit":"F","value":"73.0","category":"Summer Design Energy Wheel Performance"}",73.0,F,Summer Design Energy Wheel Performance,Outdoor EAT WB
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,7a835c2c-3f48-4a22-acd3-065714d62c4b,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Exhaust EAT DB","unit":"F","value":"75.0","category":"Summer Design Energy Wheel Performance"}",75.0,F,Summer Design Energy Wheel Performance,Exhaust EAT DB
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,61aed68d-ef18-4a38-be6b-bd848c627dea,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Exhaust EAT WB","unit":"F","value":"63.0","category":"Summer Design Energy Wheel Performance"}",63.0,F,Summer Design Energy Wheel Performance,Exhaust EAT WB
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,c8ce1a3d-96d7-421b-9fc2-45047ada682a,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Supply LAT DB","unit":"F","value":"91.1","category":"Summer Design Energy Wheel Performance"}",91.1,F,Summer Design Energy Wheel Performance,Supply LAT DB
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,162b4449-6850-41fa-afda-da10f8db1760,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Supply LAT WB","unit":"F","value":"67.8","category":"Summer Design Energy Wheel Performance"}",67.8,F,Summer Design Energy Wheel Performance,Supply LAT WB
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,97980933-6db1-45d7-950e-ac8e78117f77,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Outdoor EAT DB","unit":"F","value":"30.0","category":"Winter Design Energy Wheel Performance"}",30.0,F,Winter Design Energy Wheel Performance,Outdoor EAT DB
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,7bf81aac-643a-415b-af8f-485eee294194,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Outdoor EAT WB","unit":"F","value":"29.0","category":"Winter Design Energy Wheel Performance"}",29.0,F,Winter Design Energy Wheel Performance,Outdoor EAT WB
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,97cbb228-4690-42d3-b83f-f3c6db99b85e,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Exhaust EAT DB","unit":"F","value":"60.0","category":"Winter Design Energy Wheel Performance"}",60.0,F,Winter Design Energy Wheel Performance,Exhaust EAT DB
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,7b3c808b-4e8f-4356-b71d-265fd973500b,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Exhaust EAT WB","unit":"F","value":"50.0","category":"Winter Design Energy Wheel Performance"}",50.0,F,Winter Design Energy Wheel Performance,Exhaust EAT WB
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,9c9b3785-62d1-4606-8b5c-f42af3cd84d9,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Supply LAT DB","unit":"F","value":"45.6","category":"Winter Design Energy Wheel Performance"}",45.6,F,Winter Design Energy Wheel Performance,Supply LAT DB
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,ec2f38f0-d82a-49f3-a9ca-4b9330d054f4,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Supply LAT WB","unit":"F","value":"40.5","category":"Winter Design Energy Wheel Performance"}",40.5,F,Winter Design Energy Wheel Performance,Supply LAT WB
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,b619d0c8-955e-4c7a-a253-9bc5447eb691,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Ent. Air DB","unit":"F","value":"91.1","category":"DX Cooling Capacities"}",91.1,F,DX Cooling Capacities,Ent. Air DB
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,1b828a28-66a4-44a8-a994-b8df933fad12,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Ent. Air WB","unit":"F","value":"67.8","category":"DX Cooling Capacities"}",67.8,F,DX Cooling Capacities,Ent. Air WB
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,edc0d247-be8f-4061-8963-df71fbf6482a,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Ambient DB","unit":"F","value":"110.0","category":"DX Cooling Capacities"}",110.0,F,DX Cooling Capacities,Ambient DB
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,d730c6f5-5f5f-4060-9c8f-be107b0c90bc,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Lvg. Air DB","unit":"F","value":"49.5","category":"DX Cooling Capacities"}",49.5,F,DX Cooling Capacities,Lvg. Air DB
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,6c4088f6-2aab-4b6e-9472-a463039e4c7d,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Lvg. Air WB","unit":"F","value":"49.4","category":"DX Cooling Capacities"}",49.4,F,DX Cooling Capacities,Lvg. Air WB
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,41cec880-f4cb-4246-949a-e057ec623038,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Capacity SMBH","unit":"SMBH","value":"129.8","category":"DX Cooling Capacities"}",129.8,SMBH,DX Cooling Capacities,Capacity SMBH
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,60d85ed1-d9b1-48f3-a0c9-9e1d87664b5b,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Capacity W/ HX TMBH","unit":"TMBH","value":"212.7","category":"DX Cooling Capacities"}",212.7,TMBH,DX Cooling Capacities,Capacity W/ HX TMBH
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,df734ce6-c06c-443f-ab55-8fb14333051a,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Capacity W/ HX SMBH","unit":"SMBH","value":"184.2","category":"DX Cooling Capacities"}",184.2,SMBH,DX Cooling Capacities,Capacity W/ HX SMBH
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,5320be5d-508c-4341-a33f-08e2512c080e,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Lvg. Air DB","unit":"F","value":"72.0","category":"Modulating Hot Gas Reheat"}",72.0,F,Modulating Hot Gas Reheat,Lvg. Air DB
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,c7794c13-1370-423e-b7ad-e902a685efae,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Lvg. Air WB","unit":"F","value":"58.5","category":"Modulating Hot Gas Reheat"}",58.5,F,Modulating Hot Gas Reheat,Lvg. Air WB
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,ee68bb6f-3448-4e09-9b78-5bbfe5921799,085524d0-0dca-472f-b74a-e878865857c8,,,,,b50e82be-8884-60bd-1cd7-4378e71c41d6,Percent,"{"kind":"flat","type":"Lvg. Air RH","unit":"%","value":"44.8","category":"Modulating Hot Gas Reheat"}",44.8,%,Modulating Hot Gas Reheat,Lvg. Air RH
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,d4672895-2534-4535-a116-ac0ad8c022b5,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Ent. Air DB","unit":"F","value":"45.6","category":"Heating Capacities: 1st Stage Heat Pump (30°F Ambient) + Elect Heat"}",45.6,F,Heating Capacities: 1st Stage Heat Pump (30°F Ambient) + Elect Heat,Ent. Air DB
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,10781805-63d2-41cf-86eb-957a6f9d320d,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Ambient DB","unit":"F","value":"30.0","category":"Heating Capacities: 1st Stage Heat Pump (30°F Ambient) + Elect Heat"}",30.0,F,Heating Capacities: 1st Stage Heat Pump (30°F Ambient) + Elect Heat,Ambient DB
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,307dc708-c927-4fe1-8653-76a207eb95c9,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Heat Pump Cap","unit":"TMBH","value":"142.1","category":"Heating Capacities: 1st Stage Heat Pump (30°F Ambient) + Elect Heat"}",142.1,TMBH,Heating Capacities: 1st Stage Heat Pump (30°F Ambient) + Elect Heat,Heat Pump Cap
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,ba3c34f3-afbb-442b-9e56-77bc67112de5,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Heat Pump Lvg Air DB","unit":"F","value":"82.6","category":"Heating Capacities: 1st Stage Heat Pump (30°F Ambient) + Elect Heat"}",82.6,F,Heating Capacities: 1st Stage Heat Pump (30°F Ambient) + Elect Heat,Heat Pump Lvg Air DB
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,414de9c8-b3ea-4ffe-8d89-b68e2d461951,085524d0-0dca-472f-b74a-e878865857c8,,,,,ebda520d-e31a-0838-4289-80ae9982b006,Thousand BTU per Hour,"{"kind":"flat","type":"Total Heating Heat Pump + Aux Elec","unit":"MBH","value":"210.4","category":"Heating Capacities: 1st Stage Heat Pump (30°F Ambient) + Elect Heat"}",210.4,MBH,Heating Capacities: 1st Stage Heat Pump (30°F Ambient) + Elect Heat,Total Heating Heat Pump + Aux Elec
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,f3d00393-f72c-4f81-af44-41f9cf64afbe,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Heat Pump + Elect Heater Lvg Air DB","unit":"F","value":"103.6","category":"Heating Capacities: 1st Stage Heat Pump (30°F Ambient) + Elect Heat"}",103.6,F,Heating Capacities: 1st Stage Heat Pump (30°F Ambient) + Elect Heat,Heat Pump + Elect Heater Lvg Air DB
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,5cb7942c-d6a3-4e43-b08c-9d3fe4ab9217,085524d0-0dca-472f-b74a-e878865857c8,,,,,650142fc-4ae1-4891-ba32-533946d0ba08,Kilowatts,"{"kind":"flat","type":"Electric Resistance Heater KW Size (Emerg)","unit":"KW","value":"40.0","category":"Heating Capacities: 2nd Stage Electric Heater (17°F Ambient)"}",40.0,KW,Heating Capacities: 2nd Stage Electric Heater (17°F Ambient),Electric Resistance Heater KW Size (Emerg)
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,79bbc0c2-acb5-4d89-941b-c03d60a66144,085524d0-0dca-472f-b74a-e878865857c8,,,,,ebda520d-e31a-0838-4289-80ae9982b006,Thousand BTU per Hour,"{"kind":"flat","type":"Electric Resistance Heater Capacity","unit":"MBH","value":"136.5","category":"Heating Capacities: 2nd Stage Electric Heater (17°F Ambient)"}",136.5,MBH,Heating Capacities: 2nd Stage Electric Heater (17°F Ambient),Electric Resistance Heater Capacity
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,33108aaa-4248-49af-8b44-31788e97e5d9,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Electric Resistance Heater Stages","unit":null,"value":"4.0","category":"Heating Capacities: 2nd Stage Electric Heater (17°F Ambient)"}",4.0,,Heating Capacities: 2nd Stage Electric Heater (17°F Ambient),Electric Resistance Heater Stages
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,47370a67-a5f6-4639-971d-f303031f8ed5,085524d0-0dca-472f-b74a-e878865857c8,,,,,,,"{"kind":"flat","type":"Elect Heater Lvg Air DB","unit":"F","value":"86.4","category":"Heating Capacities: 2nd Stage Electric Heater (17°F Ambient)"}",86.4,F,Heating Capacities: 2nd Stage Electric Heater (17°F Ambient),Elect Heater Lvg Air DB
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,2e2eeb4c-1787-483c-b6f0-ea8d5a4288f0,085524d0-0dca-472f-b74a-e878865857c8,bc663106-1c5c-4cc9-9f68-3a51eb3d4c5b,Manufacturer,,,,,"{"kind":"flat","type":"Manufacturer","unit":null,"value":"AAON","category":null}",AAON,,,Manufacturer
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,25c9226a-3a36-408a-8ea9-40939c6dbd2c,085524d0-0dca-472f-b74a-e878865857c8,cc68b26a-394c-44e8-a784-a92d7f6d5379,Energy Efficiency Ratio,,,,,"{"kind":"flat","type":"EER","unit":null,"value":"10.6","category":"MIN AHRI COOLING η (EFF)"}",10.6,,MIN AHRI COOLING η (EFF),EER
ec62e3a3-2a5b-4074-8759-fad67b00bbeb,436d585f-5b91-427c-8908-d0bf450368cb,085524d0-0dca-472f-b74a-e878865857c8,2f61801b-7073-4f31-bf70-c7acde22774c,Integrated Energy Efficiency Ratio,,,,,"{"kind":"flat","type":"IEER","unit":null,"value":"13.5","category":"MIN AHRI HEATING η (EFF)"}",13.5,,MIN AHRI HEATING η (EFF),IEER
