package_id,package,equipment_id,equipment_tag,component_type_id,component_type_name,quantity,component_id,component_name,component_model,component_manufacturer_name,bod_manufacturer_name
9f7395ee-e023-4f04-a236-e2a81b4ae5c7,AIR HANDLING UNIT SCHEDULE,6f64c5c1-5114-4ab4-807c-5ebd3b2735da,AHU-14,e2c6a92a-d155-49c2-9344-099111825947,Indoor Central-Station Air-Handling Units,0,,,,,
9f7395ee-e023-4f04-a236-e2a81b4ae5c7,AIR HANDLING UNIT SCHEDULE,a49961aa-dfb1-4fbd-b609-292cee343de5,AHU-13,e2c6a92a-d155-49c2-9344-099111825947,Indoor Central-Station Air-Handling Units,0,,,,,
9f7395ee-e023-4f04-a236-e2a81b4ae5c7,AIR HANDLING UNIT SCHEDULE,ff9dba64-ed15-4693-84ea-a093625dbc80,AHU-2,e2c6a92a-d155-49c2-9344-099111825947,Indoor Central-Station Air-Handling Units,0,,,,,
9f7395ee-e023-4f04-a236-e2a81b4ae5c7,AIR HANDLING UNIT SCHEDULE,fc71afc8-bbc7-4779-bc1f-9b85dce1c1a7,AHU-1,e2c6a92a-d155-49c2-9344-099111825947,Indoor Central-Station Air-Handling Units,0,,,,,
31a01375-6fc8-461e-9440-0fa2fce8ff1a,CLEAN AIR SYSTEM,8b77f600-7166-4457-a82a-f4fcb9e9b0da,CA-1,b973541b-525a-4aaf-aa12-f2b2c7446518,Bipolar Ionization Systems,0,4ba21cbc-c423-4746-b0e0-a3037c7db357,SIAQ1-DIST1S-DC-BK-120,SIAQ1-DIST1S-DC-BK-120,SMARTIAQ,SMARTIAQ
6fe88b4c-697b-402f-b3e4-9cb6b72166cc,DEDICATED OUTSIDE AIR SYSTEM (DOAS) SCHEDULE,3b82639d-7438-4ae2-910e-12e06c244688,DOAS-1,d19f3f23-ff8d-4796-8707-88d0507ffc8f,Dedicated Outdoor-Air Units,0,,,,,
6fe88b4c-697b-402f-b3e4-9cb6b72166cc,DEDICATED OUTSIDE AIR SYSTEM (DOAS) SCHEDULE,f4b59024-d63d-4ebf-b483-0b96adffbdd9,DOAS-3,d19f3f23-ff8d-4796-8707-88d0507ffc8f,Dedicated Outdoor-Air Units,0,,,,,
6fe88b4c-697b-402f-b3e4-9cb6b72166cc,DEDICATED OUTSIDE AIR SYSTEM (DOAS) SCHEDULE,326c41f3-2c68-4093-ad6a-75079e2e8217,DOAS-2,d19f3f23-ff8d-4796-8707-88d0507ffc8f,Dedicated Outdoor-Air Units,0,,,,,
d2e23e4e-ff27-40cf-9a9a-b95f8661c5ef,ROOFTOP UNIT SCHEDULE HW CHW,569ca784-73c7-40ad-a614-7753dfcf68e2,RTU-7,c9f534b8-3836-487c-b8c4-6faa10e0b1f2,Packaged Rooftop Air-Conditioning Units,0,,,,,
d2e23e4e-ff27-40cf-9a9a-b95f8661c5ef,ROOFTOP UNIT SCHEDULE HW CHW,c7d9699b-273c-4f2b-a25a-f96ce7d6a21e,RTU-8,c9f534b8-3836-487c-b8c4-6faa10e0b1f2,Packaged Rooftop Air-Conditioning Units,0,,,,,
