package_id,package,equipment_id,equipment_tag,component_type_id,component_type_name,quantity,component_id,component_name,component_model,component_manufacturer_name,bod_manufacturer_name
943e215c-197b-415a-ae31-c248fb444b80,CLEAN AIR SYSTEM,94f1255d-0bc9-4586-8a1c-9565f219648a,CAS-1,b973541b-525a-4aaf-aa12-f2b2c7446518,Bipolar Ionization Systems,0,4ba21cbc-c423-4746-b0e0-a3037c7db357,SIAQ1-DIST1S-DC-BK-120,SIAQ1-DIST1S-DC-BK-120,SMARTIAQ,SMARTIAQ
23da1242-602c-49a6-b0a2-be11dfa2a4ca,ROOFTOP UNIT SCHEDULE HW CHW,7add8695-87d0-4424-a4ce-de69f8f6f0b9,RTU-7,c9f534b8-3836-487c-b8c4-6faa10e0b1f2,Packaged Rooftop Air-Conditioning Units,0,,,,,
23da1242-602c-49a6-b0a2-be11dfa2a4ca,ROOFTOP UNIT SCHEDULE HW CHW,3c0e4c53-c525-4c3b-a821-815b0b810852,RTU-8,c9f534b8-3836-487c-b8c4-6faa10e0b1f2,Packaged Rooftop Air-Conditioning Units,0,,,,,
871223f3-3693-4931-9c0f-5dac1c05fc68,SINGLE DUCT VARIABLE & CONSTANT VOLUME TERMINAL UNIT SCHEDULE,23b64de7-92d3-4951-a714-b9739ccf0e9b,VAV-13-07,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,,,,,
871223f3-3693-4931-9c0f-5dac1c05fc68,SINGLE DUCT VARIABLE & CONSTANT VOLUME TERMINAL UNIT SCHEDULE,e4d83fe5-5b58-4acd-bb1f-cfa77c9a543c,VAV-13-03,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,,,,,
871223f3-3693-4931-9c0f-5dac1c05fc68,SINGLE DUCT VARIABLE & CONSTANT VOLUME TERMINAL UNIT SCHEDULE,fcdc8d28-3265-4227-ba74-96a58da697c2,VAV-2-01,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,,,,,
871223f3-3693-4931-9c0f-5dac1c05fc68,SINGLE DUCT VARIABLE & CONSTANT VOLUME TERMINAL UNIT SCHEDULE,9d23d0ba-596e-49d5-a73b-92998761a3e6,VAV-13-02,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,,,,,
871223f3-3693-4931-9c0f-5dac1c05fc68,SINGLE DUCT VARIABLE & CONSTANT VOLUME TERMINAL UNIT SCHEDULE,8b880801-d79d-478e-960d-9c8384efe827,VAV-13-06,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,,,,,
871223f3-3693-4931-9c0f-5dac1c05fc68,SINGLE DUCT VARIABLE & CONSTANT VOLUME TERMINAL UNIT SCHEDULE,83168b2e-1347-47cc-9453-68c676a5ff13,VAV-13-04,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,,,,,
871223f3-3693-4931-9c0f-5dac1c05fc68,SINGLE DUCT VARIABLE & CONSTANT VOLUME TERMINAL UNIT SCHEDULE,14f99594-9e6c-44b8-95a0-1e6978de8c40,VAV-3-01,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,,,,,
871223f3-3693-4931-9c0f-5dac1c05fc68,SINGLE DUCT VARIABLE & CONSTANT VOLUME TERMINAL UNIT SCHEDULE,9cb4aa1f-5cf3-41d0-b162-c261e358c9fb,VAV-13-05,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,,,,,
871223f3-3693-4931-9c0f-5dac1c05fc68,SINGLE DUCT VARIABLE & CONSTANT VOLUME TERMINAL UNIT SCHEDULE,55fa7534-2c33-422e-a637-0797a67a8cfe,VAV-13-01,f261e3df-df3f-44ac-a1a8-189e4f0a4c88,Single-Duct VAV Terminal Units,0,,,,,
c922f4b7-bcb1-4403-babf-7c15cabdd55e,DEDICATED OUTSIDE AIR SYSTEM (DOAS) SCHEDULE,1103efe4-8a9c-49b4-bcf0-31b1f1d4aaa5,DOAS-2,d19f3f23-ff8d-4796-8707-88d0507ffc8f,Dedicated Outdoor-Air Units,0,,,,,
c922f4b7-bcb1-4403-babf-7c15cabdd55e,DEDICATED OUTSIDE AIR SYSTEM (DOAS) SCHEDULE,46f61948-400c-4cfa-9a30-c28c6caf99ac,DOAS-1,d19f3f23-ff8d-4796-8707-88d0507ffc8f,Dedicated Outdoor-Air Units,0,,,,,
c922f4b7-bcb1-4403-babf-7c15cabdd55e,DEDICATED OUTSIDE AIR SYSTEM (DOAS) SCHEDULE,aeee4239-50ea-43a4-980b-12ac492b421f,DOAS-3,d19f3f23-ff8d-4796-8707-88d0507ffc8f,Dedicated Outdoor-Air Units,0,,,,,
db32cc62-e66e-4cb2-b7e4-8039fc654181,AIR HANDLING UNIT SCHEDULE,48ad7dc6-4642-4894-a88d-2a6490e3275a,AHU-14,56868738-7ef3-4341-9db1-897acc8cd62b,Factory-Fabricated Air-Handling Units,0,,,,,
db32cc62-e66e-4cb2-b7e4-8039fc654181,AIR HANDLING UNIT SCHEDULE,f4b91374-337b-4cd8-a154-ed686e315029,AHU-13,56868738-7ef3-4341-9db1-897acc8cd62b,Factory-Fabricated Air-Handling Units,0,,,,,
db32cc62-e66e-4cb2-b7e4-8039fc654181,AIR HANDLING UNIT SCHEDULE,6416adf6-b5c0-4fbc-9f92-456eede72983,AHU-1,56868738-7ef3-4341-9db1-897acc8cd62b,Factory-Fabricated Air-Handling Units,0,,,,,
db32cc62-e66e-4cb2-b7e4-8039fc654181,AIR HANDLING UNIT SCHEDULE,1cadc305-7192-4c18-ae98-1727d94dc655,AHU-2,56868738-7ef3-4341-9db1-897acc8cd62b,Factory-Fabricated Air-Handling Units,0,,,,,
7d0aec6f-0eec-46c0-86de-256700f89d67,HVAC Fans,34c84510-0d75-4468-820d-d2233125074b,CF-1,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,0,4c4a41cc-15e9-48e4-a568-63181df543e8,GOLD LINE 260F-7,GOLD LINE 260F-7,ENVIRO-FAN,ENVIRO-FAN
