equipment_id,equipment_tag,component_type_id,component_type_name,quantity,component_id,component_name,component_model,component_manufacturer_name,bod_manufacturer_name
d39815cb-c0e5-43d0-afae-9b189b472127,EF-10,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,2,48209991-5a05-4745-ba28-0d1b0f4ed5d8,DU33HFA,DU33HFA,CaptiveAire,
4a6b2c00-1d54-45b1-815c-1f6f7baca7c6,EF-8,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,2,48209991-5a05-4745-ba28-0d1b0f4ed5d8,DU33HFA,DU33HFA,CaptiveAire,
6f76e858-4a90-4a2c-b858-3927e517bef3,EF-3,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,1,c188137a-ecff-4044-840c-80124b0cfbee,DU85HFA,DU85HFA,CaptiveAire,
e0d6dc56-d644-4bd5-b746-8a612194acf2,EF-5,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,2,b1f8743c-1194-488c-8a64-7d397b33b392,DU180HFA,DU180HFA,CaptiveAire,CaptiveAire
bb56a1ba-dd15-4f28-bd5e-ba43c761ee7e,EF-6,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,1,b1f8743c-1194-488c-8a64-7d397b33b392,DU180HFA,DU180HFA,CaptiveAire,CaptiveAire
40af065b-b6f8-471a-a6cd-0e0f86c005c1,EF-4,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,1,c188137a-ecff-4044-840c-80124b0cfbee,DU85HFA,DU85HFA,CaptiveAire,
ff75b40d-2f18-4fea-a755-f971e29cd7f2,EF-9,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,1,48209991-5a05-4745-ba28-0d1b0f4ed5d8,DU33HFA,DU33HFA,CaptiveAire,
aa173d48-6f30-47da-9d01-0d60505a151d,EF-7,5a722346-9839-40ec-836b-61db06ae3b1b,Ceiling Fans*,1,9c3505ff-8c7f-4a9b-bd3f-06dc7eff1162,CFA-D200-CA,CFA-D200-CA,CaptiveAire,
ca036b30-2ed1-424a-a079-e642684315a4,EF-2,5a722346-9839-40ec-836b-61db06ae3b1b,Ceiling Fans*,3,522b6600-644a-4065-94f2-295c57b9ec74,CFA-D90-CA,CFA-D90-CA,CaptiveAire,
f4e5a4f8-c127-4893-a47f-b2af96c79b25,EF-1,5a722346-9839-40ec-836b-61db06ae3b1b,Ceiling Fans*,3,522b6600-644a-4065-94f2-295c57b9ec74,CFA-D90-CA,CFA-D90-CA,CaptiveAire,
0ce5c2ad-8b6a-42ad-8985-646f4313fc39,F-2,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,1,d21c2d84-1378-491d-9ecd-64969b8d1221,60-10018-00 ,60-10018-00,MacroAir,
f779038b-aa33-400d-83b4-19695917fda8,F-1,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,1,4d5bc722-b218-4acc-9513-a790ff2021d8,60-10012-00,60-10012-00,MacroAir,
344ad601-a89a-4c28-b6b4-b2bd84c09297,F-6,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,3,a1a8e838-5258-437a-8fef-29071f5db019,60-10010-00,60-10010-00,MacroAir,
0c6d8729-44fd-4aaf-8e02-e6a77e1e0f9f,F-3,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,1,d21c2d84-1378-491d-9ecd-64969b8d1221,60-10018-00 ,60-10018-00,MacroAir,
d1e1023e-40d8-40ed-9cdc-951cce76f0ed,F-4,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,1,d21c2d84-1378-491d-9ecd-64969b8d1221,60-10018-00 ,60-10018-00,MacroAir,
a69d6cde-d197-4733-8381-ee7424e959b0,F-5,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,1,d21c2d84-1378-491d-9ecd-64969b8d1221,60-10018-00 ,60-10018-00,MacroAir,
d0f2a810-a133-47eb-8097-ded2efc0a144,F-7,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,1,d21c2d84-1378-491d-9ecd-64969b8d1221,60-10018-00 ,60-10018-00,MacroAir,
99564e96-aa31-40ba-aee6-f2adbf9292f2,EF-11,705363ff-26fc-4460-b413-8e1e894bc068,HVAC Fans,0,48209991-5a05-4745-ba28-0d1b0f4ed5d8,DU33HFA,DU33HFA,CaptiveAire,CaptiveAire
