package_id,package,equipment_id,equipment_tag,component_type_id,component_type_name,quantity,component_id,component_name,component_model,component_manufacturer_name,bod_manufacturer_name
8ef53bb5-20ba-47f4-9bea-4a781605e262,DIRECT FIRED MAKE-UP AIR UNIT SCHEDULE,9e88758b-4706-4fba-a49d-a7c2e7f15b7e,MAU-1,05edafda-804f-4ad2-9e95-c541ad1bef26,"Packaged, Direct-Fired, Outdoor, Heating-Only Makeup-Air Units",0,f9433349-b831-4f10-9e11-b7c506bc4679,CAS-HVAC3-1.500-20-12.5T-MPU,CAS-HVAC3-1.500-20-12.5T-MPU,CAPTIVAIRE,CAPTIVAIRE
584bc79c-037c-4aeb-9b29-71d05c690773,PACKAGED ROOFTOP AIR CONDITIONING UNIT SCHEDULE - PART A,eea807f5-0ebc-412c-b8ca-c04f9c499a11,RTU-4,c9f534b8-3836-487c-b8c4-6faa10e0b1f2,Packaged Rooftop Air-Conditioning Units,0,3f8c9fad-38e2-4f9d-9b3a-b92244e4628d,RQ-002-3-0-HAAY-V0-21-000-A,RQ-002-3-0-HAAY-V0-21-000-A,AAON,AAON
584bc79c-037c-4aeb-9b29-71d05c690773,PACKAGED ROOFTOP AIR CONDITIONING UNIT SCHEDULE - PART A,c03e72d2-0f92-4212-a731-f618c210d0f9,RTU-2,c9f534b8-3836-487c-b8c4-6faa10e0b1f2,Packaged Rooftop Air-Conditioning Units,0,a23c860d-f3b6-4261-bca1-57aac3b939d7,RN-015-3-0-HABY-V0-21-000-A,RN-015-3-0-HABY-V0-21-000-A,AAON,AAON
584bc79c-037c-4aeb-9b29-71d05c690773,PACKAGED ROOFTOP AIR CONDITIONING UNIT SCHEDULE - PART A,6e5d12c2-fa05-4da2-b401-2421d7349182,RTU-1,c9f534b8-3836-487c-b8c4-6faa10e0b1f2,Packaged Rooftop Air-Conditioning Units,0,febfb734-c01a-41d2-9ebc-6114cc7d6dd1,RN-008-3-0-HAAY-V0-21-000-A,RN-008-3-0-HAAY-V0-21-000-A,AAON,AAON
584bc79c-037c-4aeb-9b29-71d05c690773,PACKAGED ROOFTOP AIR CONDITIONING UNIT SCHEDULE - PART A,a0a06961-eab1-4390-a11b-890e13e3cd68,RTU-3,c9f534b8-3836-487c-b8c4-6faa10e0b1f2,Packaged Rooftop Air-Conditioning Units,0,0d605261-1276-489c-a9f5-2e4058770684,RN-011-3-0-HABY-V0-21-000-A,RN-011-3-0-HABY-V0-21-000-A,AAON,AAON
a16d6dea-1d9f-45d8-8787-96447969821c,GRAVITY RELIEF HOOD SCHEDULE,6eed5f81-e49c-4973-ac65-124cfa858a70,GRH-2,9d6f151a-4dc1-481d-8e6d-e1ce7595e2b2,Ventilation Hoods,0,f7fb76a3-a485-476d-920b-7aec8e488914,FGI-18X18,FGI-18X18,Greenheck,Greenheck
a16d6dea-1d9f-45d8-8787-96447969821c,GRAVITY RELIEF HOOD SCHEDULE,d2d87871-5fe5-45c9-89d4-8e4da7e5bb51,GRH-1,9d6f151a-4dc1-481d-8e6d-e1ce7595e2b2,Ventilation Hoods,0,f7fb76a3-a485-476d-920b-7aec8e488914,FGI-18X18,FGI-18X18,Greenheck,Greenheck
d30d2592-e779-44e8-9b89-2a530fa7de29,Energy Recovery Units,0effecc5-d28d-4044-84c3-d6955a592b75,ERU-6,0105a4ef-cf83-4dcc-acd9-9e1fabea5a1a,Energy Recovery Units,0,facab6ae-3266-437a-b1d2-5fc4933e8d1c,RN-031-3-0-HABY-V0-21-000-A,RN-031-3-0-HABY-V0-21-000-A,AAON,AAON
d30d2592-e779-44e8-9b89-2a530fa7de29,Energy Recovery Units,1a89c0c1-9288-4e45-9a49-73699e34a1c9,ERU-5,0105a4ef-cf83-4dcc-acd9-9e1fabea5a1a,Energy Recovery Units,0,34c9fc4d-61d8-4112-b88a-8f4af8c97082,RN-007-3-0-HABY-V0-21-000-A,RN-007-3-0-HABY-V0-21-000-A,AAON,AAON
d30d2592-e779-44e8-9b89-2a530fa7de29,Energy Recovery Units,b197ab36-a08f-4f52-9704-a0c345667610,ERU-9,c9f534b8-3836-487c-b8c4-6faa10e0b1f2,Packaged Rooftop Air-Conditioning Units,0,0d605261-1276-489c-a9f5-2e4058770684,RN-011-3-0-HABY-V0-21-000-A,RN-011-3-0-HABY-V0-21-000-A,AAON,AAON
