package_id,spec_id,equipment_id,type_id,type_name,option_id,option_name,unit_id,unit_name,raw_specs,literal_value,literal_unit,literal_category,literal_type
8ef53bb5-20ba-47f4-9bea-4a781605e262,8a60a711-5f48-49c5-91a9-7b22127a0f05,9e88758b-4706-4fba-a49d-a7c2e7f15b7e,,,,,,,"{"kind":"flat","type":"Maximum Required Inlet Pressure at Gas Train","unit":null,"value":"14","category":"Heating Section - Gas Fired (Natural Gas)"}",14,,Heating Section - Gas Fired (Natural Gas),Maximum Required Inlet Pressure at Gas Train
8ef53bb5-20ba-47f4-9bea-4a781605e262,ac4b8bf0-b601-4297-80f1-43a3f7bfd6c2,9e88758b-4706-4fba-a49d-a7c2e7f15b7e,,,,,,,"{"kind":"flat","type":"MCA","unit":null,"value":"30","category":"Total Unit Electrical"}",30,,Total Unit Electrical,MCA
8ef53bb5-20ba-47f4-9bea-4a781605e262,bfa597c0-80af-4220-9b04-4f287b1e2b39,9e88758b-4706-4fba-a49d-a7c2e7f15b7e,,,,,,,"{"kind":"flat","type":"MOP","unit":null,"value":"35","category":"Total Unit Electrical"}",35,,Total Unit Electrical,MOP
8ef53bb5-20ba-47f4-9bea-4a781605e262,3189d47c-975e-448e-8b48-99c23f0ada08,9e88758b-4706-4fba-a49d-a7c2e7f15b7e,,,,,b587274f-851a-4db2-a430-02c0c13ca0b2,kiloampere,"{"kind":"flat","type":"SCCR","unit":"kA","value":"5","category":"Total Unit Electrical"}",5,kA,Total Unit Electrical,SCCR
8ef53bb5-20ba-47f4-9bea-4a781605e262,4991e3bc-ab6c-46eb-adaa-be6010ee66b2,9e88758b-4706-4fba-a49d-a7c2e7f15b7e,,,,,,,"{"kind":"flat","type":"Options / Accessories","unit":null,"value":"B","category":null}",B,,,Options / Accessories
8ef53bb5-20ba-47f4-9bea-4a781605e262,7952b75c-23b1-42d5-a746-4347f255ef69,9e88758b-4706-4fba-a49d-a7c2e7f15b7e,,,,,,,"{"kind":"flat","type":"Model Number","unit":null,"value":"CAS-HVAC3-1.500-20-12.5T-MPU","category":null}",CAS-HVAC3-1.500-20-12.5T-MPU,,,Model Number
8ef53bb5-20ba-47f4-9bea-4a781605e262,895bc1cc-021a-4ba6-a91b-0efb0bcaf305,9e88758b-4706-4fba-a49d-a7c2e7f15b7e,,,,,,,"{"kind":"flat","type":"Area Served","unit":null,"value":"KITCHEN HOOD","category":null}",KITCHEN HOOD,,,Area Served
8ef53bb5-20ba-47f4-9bea-4a781605e262,aa40dafc-4e37-4ca6-b493-b5764f50272d,9e88758b-4706-4fba-a49d-a7c2e7f15b7e,ae7301a4-c7c6-41b3-bb5f-f19d2d1437df,Airflow,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,"{"kind":"flat","type":"Airflow","unit":"CFM","value":"4000","category":"Supply Fan"}",4000,CFM,Supply Fan,Airflow
8ef53bb5-20ba-47f4-9bea-4a781605e262,88b574c7-bb62-49d4-9aa4-b8800069096b,9e88758b-4706-4fba-a49d-a7c2e7f15b7e,,,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,"{"kind":"flat","type":"Minimum Outside Airflow","unit":"CFM","value":"4000","category":"Supply Fan"}",4000,CFM,Supply Fan,Minimum Outside Airflow
8ef53bb5-20ba-47f4-9bea-4a781605e262,2ddf7723-76e5-4138-8a4d-b17b85de38b0,9e88758b-4706-4fba-a49d-a7c2e7f15b7e,385a8abb-6167-4062-88c6-d7ffc22a5a39,External Static Pressure,,,55d4740f-1ada-4220-9d87-55fb1d417e14,inches of water gauge,"{"kind":"flat","type":"E.S.P.","unit":"IN. W.G.","value":"0.75","category":"Supply Fan"}",0.75,IN. W.G.,Supply Fan,E.S.P.
8ef53bb5-20ba-47f4-9bea-4a781605e262,4a5d240a-9700-4930-96eb-f90ba5f21000,9e88758b-4706-4fba-a49d-a7c2e7f15b7e,,,,,55d4740f-1ada-4220-9d87-55fb1d417e14,inches of water gauge,"{"kind":"flat","type":"T.S.P.","unit":"IN. W.G.","value":"1.35","category":"Supply Fan"}",1.35,IN. W.G.,Supply Fan,T.S.P.
