spec_id,equipment_id,type_id,type_name,option_id,option_name,unit_id,unit_name,raw_specs,literal_value,literal_unit,literal_category,literal_type
dcc92893-6290-4777-be99-f90665d06c2a,a7c196b0-7ead-4890-adda-eccf9efd5d74,ae7301a4-c7c6-41b3-bb5f-f19d2d1437df,Airflow,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,"{"kind":"flat","type":"Supply Air CFM","unit":"CFM","value":"1,700","category":null}","1,700",CFM,,Supply Air CFM
57b886fd-dffe-4058-abd7-97efa185c4f6,a7c196b0-7ead-4890-adda-eccf9efd5d74,,,,,a791359d-783e-49ff-9190-1b028e527495,Cubic Feet per Minute,"{"kind":"flat","type":"Outside Air CFM","unit":"CFM","value":"1,700","category":null}","1,700",CFM,,Outside Air CFM
91b9cf4f-ee8d-4550-9f84-93301294930e,a7c196b0-7ead-4890-adda-eccf9efd5d74,,,,,5ef02a97-a952-44f9-96f9-ba15ea8ebac0,Inches of Water Column,"{"kind":"flat","type":"Ext. Static Pressure","unit":"IN. W.C.","value":"0.45","category":"Fan"}",0.45,IN. W.C.,Fan,Ext. Static Pressure
bcd4df80-d4e8-473b-8c08-d4259f909b34,a7c196b0-7ead-4890-adda-eccf9efd5d74,,,,,,,"{"kind":"flat","type":"Horse Power","unit":null,"value":"0.5","category":"Fan"}",0.5,,Fan,Horse Power
ad261085-1832-45d4-a1cc-4a195b54ba83,a7c196b0-7ead-4890-adda-eccf9efd5d74,f8c7b985-288e-4160-b9f9-f923877ec673,Voltage,,,,,"{"kind":"flat","type":"V","unit":null,"value":"208","category":"Current Char"}",208,,Current Char,V
e7838a11-0bcf-4a24-9636-1e7543128d98,a7c196b0-7ead-4890-adda-eccf9efd5d74,dc025f71-f7e9-4f8b-afe8-776f30a7acc7,Phase,,,,,"{"kind":"flat","type":"P","unit":null,"value":"3","category":"Current Char"}",3,,Current Char,P
781fcf1e-c4b8-4596-99fa-cd0b53bc46ae,a7c196b0-7ead-4890-adda-eccf9efd5d74,,,,,,,"{"kind":"flat","type":"F","unit":null,"value":"60","category":"Current Char"}",60,,Current Char,F
753b699f-044e-4d64-b756-f0de2a821b0f,a7c196b0-7ead-4890-adda-eccf9efd5d74,,,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"Entering Dry Bulb","unit":"°F","value":"92.0","category":"Air Temperature"}",92.0,°F,Air Temperature,Entering Dry Bulb
e0bebbe7-ef4a-49c9-8c19-d07c1b923494,a7c196b0-7ead-4890-adda-eccf9efd5d74,,,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"Entering Wet Bulb","unit":"°F","value":"81.0","category":"Air Temperature"}",81.0,°F,Air Temperature,Entering Wet Bulb
6aaaf17b-ca60-4d5e-a074-a3a4f91b87b8,a7c196b0-7ead-4890-adda-eccf9efd5d74,b75fb69b-0f62-4cac-aa36-e7c927a32596,Ambient Temperature Range,,,74d20bbe-dc1e-4477-ad2e-b9a7abbcf136,Degrees Fahrenheit,"{"kind":"flat","type":"Ambient Temp","unit":"°F","value":"92","category":"Air Temperature"}",92,°F,Air Temperature,Ambient Temp
ae6e8ee1-8eb7-429a-a7ef-ee8706382ad4,a7c196b0-7ead-4890-adda-eccf9efd5d74,2d2ae19d-c0d6-41f1-a2c0-2a2b97a70745,Heating Capacity,,,1f5263a0-5733-973d-b828-5b7e46e03d48,British Thermal Unit,"{"kind":"flat","type":"Total Capacity","unit":"BTU","value":"50,700","category":"Cooling"}","50,700",BTU,Cooling,Total Capacity
b7430058-eb75-4b45-ab3d-d42bc5569ad7,a7c196b0-7ead-4890-adda-eccf9efd5d74,ee42cdfe-bea4-4963-aa29-7170ed419a8a,Cooling Capacity,,,1f5263a0-5733-973d-b828-5b7e46e03d48,British Thermal Unit,"{"kind":"flat","type":"Sensible Capacity","unit":"BTU","value":"31,200","category":"Cooling"}","31,200",BTU,Cooling,Sensible Capacity
ab21cb20-09b9-4d4f-9389-6fd0da4711d5,a7c196b0-7ead-4890-adda-eccf9efd5d74,bc663106-1c5c-4cc9-9f68-3a51eb3d4c5b,Manufacturer,,,,,"{"kind":"flat","type":"Manufacturer","unit":null,"value":"ACCUREX","category":"Basis of Design"}",ACCUREX,,Basis of Design,Manufacturer
4e7501b2-856e-4e45-bfe2-978f69c4bf1a,a7c196b0-7ead-4890-adda-eccf9efd5d74,,,,,,,"{"kind":"flat","type":"Model","unit":null,"value":"XMSX","category":"Basis of Design"}",XMSX,,Basis of Design,Model
75eca53c-de16-4dc5-97b9-05b99899d09c,a7c196b0-7ead-4890-adda-eccf9efd5d74,,,,,,,"{"kind":"flat","type":"MCA","unit":null,"value":"21.4","category":"Basis of Design"}",21.4,,Basis of Design,MCA
