package_id,package,equipment_id,equipment_tag,component_type_id,component_type_name,quantity,component_id,component_name,component_model,component_manufacturer_name,bod_manufacturer_name
d69237ba-a4f3-4c3a-8781-d3b401be0ae3,UNIT HEATER - ELECTRIC,5350e5df-8654-4691-ad75-bdd90182b801,EUH-1,3d63895f-b8c9-4a24-a60a-ea6460f15a2e,Electric Unit Heaters,0,f396c570-7cfb-4e54-b1c3-334695a9d73f,EUH Electric Unit Heater,EUH,Reznor,Reznor
3e404e48-f950-4c88-8b46-d7bdf6f60bc3,KITCHEN MAKEUP AIR UNIT - GAS HEAT,6c118e1b-4dbf-4e7d-b0e4-98089f5b852e,KSF-4,05edafda-804f-4ad2-9e95-c541ad1bef26,"Packaged, Direct-Fired, Outdoor, Heating-Only Makeup-Air Units",0,4dd5e69a-ab6b-4d66-b798-a963a897c5bb,Direct Gas Heated Makeup Air XDGX,XDGX,Accurex,Accurex
3e404e48-f950-4c88-8b46-d7bdf6f60bc3,KITCHEN MAKEUP AIR UNIT - GAS HEAT,7f04fbdb-5f84-487f-aea7-b8bd05011d48,KSF-3,05edafda-804f-4ad2-9e95-c541ad1bef26,"Packaged, Direct-Fired, Outdoor, Heating-Only Makeup-Air Units",0,4dd5e69a-ab6b-4d66-b798-a963a897c5bb,Direct Gas Heated Makeup Air XDGX,XDGX,Accurex,Accurex
3e404e48-f950-4c88-8b46-d7bdf6f60bc3,KITCHEN MAKEUP AIR UNIT - GAS HEAT,a7c196b0-7ead-4890-adda-eccf9efd5d74,KSF-1,4bc17faf-7c15-41f7-86b0-76e2f7c5c64d,"Packaged, Outdoor, Heating-Only Makeup-Air Units",0,0f9f3d97-7127-4025-ae83-f1de765cbd70,XMSX Series,XMSX,Accurex,Accurex
3e404e48-f950-4c88-8b46-d7bdf6f60bc3,KITCHEN MAKEUP AIR UNIT - GAS HEAT,a44026e8-03dd-4f17-89a5-bd90ec64dde4,KSF-2,05edafda-804f-4ad2-9e95-c541ad1bef26,"Packaged, Direct-Fired, Outdoor, Heating-Only Makeup-Air Units",0,4dd5e69a-ab6b-4d66-b798-a963a897c5bb,Direct Gas Heated Makeup Air XDGX,XDGX,Accurex,Accurex
fac1db9f-00d0-44b2-a5bb-fba3624d7f75,DAMPER,fb04a49e-bab0-4bd1-ae5b-9bc1d33b1693,D-1,24074cf0-d09f-4f23-b6e5-866c864d4844,Air Coils,0,,,,,Price Industries
fac1db9f-00d0-44b2-a5bb-fba3624d7f75,DAMPER,f329e10d-aaa6-45d7-a947-64fba94512ce,D-2,67515ee4-d441-4497-a6d2-dea4c565341c,Dampers,0,f6c36ec8-b84a-4469-833c-f9ce30f8d0c4,MD-35,MD-35,Ruskin,Ruskin
fac1db9f-00d0-44b2-a5bb-fba3624d7f75,DAMPER,c409ff2e-f450-44a9-a46e-26dd9c878569,D-3,67515ee4-d441-4497-a6d2-dea4c565341c,Dampers,0,375f0057-2cb9-4115-a354-058e9957d203,CD60 Control Damper,CD60,Ruskin,Ruskin
03aebe24-d2c4-4dbb-9171-0861250dcd6f,GRILLE,11608905-3a50-493d-b472-b88c4e960a90,H,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,e7763758-944e-4fd0-8876-0f1007026d1d,PAR,PAR,Titus,Titus
03aebe24-d2c4-4dbb-9171-0861250dcd6f,GRILLE,e8c5392d-2b77-4142-ad01-268fbf1d01f3,C,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,023227c6-367e-41f2-8a0f-281090687ca9,OMNI,OMNI,Titus,Titus
03aebe24-d2c4-4dbb-9171-0861250dcd6f,GRILLE,570a5b1e-c525-4048-b042-1c74c8c5305a,E,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,15191566-6dcf-4a3c-bfca-b2fa5d44a1d2,50-F,50-F,Titus,Titus
03aebe24-d2c4-4dbb-9171-0861250dcd6f,GRILLE,06f99ba6-5f83-4d8b-99d2-13e6a53f3f5f,G,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,e7763758-944e-4fd0-8876-0f1007026d1d,PAR,PAR,Titus,Titus
03aebe24-d2c4-4dbb-9171-0861250dcd6f,GRILLE,8e7ab5c9-0e43-4305-9951-3bd0518d93b1,A,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,10aa1871-c48a-4b99-af18-ce7c71f8d2f6,TMR,TMR,Titus,Titus
03aebe24-d2c4-4dbb-9171-0861250dcd6f,GRILLE,ba29af70-cd93-4027-91b5-39717b5fdef3,F,42900260-9152-49ee-a2b5-4a4802e0bda7,Air Outlets and Inlets,0,8db74e91-ed51-469a-9c81-3fb504c3a2b9,350RL,350RL,Titus,Titus
03aebe24-d2c4-4dbb-9171-0861250dcd6f,GRILLE,cc022a95-702d-4ccf-9347-05afd5c16295,D,8102129d-90c1-4eba-9f1e-4ade21100199,"Diffusers, Registers, and Grilles",0,023227c6-367e-41f2-8a0f-281090687ca9,OMNI,OMNI,Titus,Titus
03aebe24-d2c4-4dbb-9171-0861250dcd6f,GRILLE,cb23a742-c58b-4d22-b711-432621bd91fa,B,42900260-9152-49ee-a2b5-4a4802e0bda7,Air Outlets and Inlets,0,9231029b-6ccf-4ae1-bc1c-15aa96225145,300RL,300RL,Titus,Titus
b15de411-e7c5-49a5-be80-bdd99726b6cd,FAN SCHEDULE,58dff9c1-a29e-4d30-aeaa-9cf7611667c1,KEF-3,70453ac9-069e-4574-9d1e-42bbfd7fb5a9,HVAC Power Ventilators,0,b49d7127-ec11-4033-8774-3d33a2965f1b,XCUBE Belt Drive Upblast Exhaust Fan ,XCUBE,Accurex,Accurex
b15de411-e7c5-49a5-be80-bdd99726b6cd,FAN SCHEDULE,055b3d85-d935-447c-827a-ab18050ce427,KEF-2,70453ac9-069e-4574-9d1e-42bbfd7fb5a9,HVAC Power Ventilators,0,e7be1bbb-f7a2-405b-ad96-ca12373d888e,XRUBS Series,XRUBS,Accurex,Accurex
b15de411-e7c5-49a5-be80-bdd99726b6cd,FAN SCHEDULE,287c6b95-f6cb-41fb-969e-36b6b64740f1,DEF-1,70453ac9-069e-4574-9d1e-42bbfd7fb5a9,HVAC Power Ventilators,0,17b601d4-ab1c-46af-bb24-1599a41731e9,XCUE Direct Drive Upblast Exhaust Fan ,XCUE,Accurex,Accurex
b15de411-e7c5-49a5-be80-bdd99726b6cd,FAN SCHEDULE,8ccf8fd8-19f2-4f43-b533-ca300368c81b,EF-2,5f8252fe-6cc4-47a4-be5d-e9608420df5b,Centrifugal HVAC Fans,0,a2ff7d15-e7ed-40f7-9c94-9661cc1b659b,SQ Centrifugal Inline Fan,SQ,Greenheck,Greenheck
b15de411-e7c5-49a5-be80-bdd99726b6cd,FAN SCHEDULE,37a95bfd-1bce-4b4c-beb4-639a5a51c3bc,KEF-4,70453ac9-069e-4574-9d1e-42bbfd7fb5a9,HVAC Power Ventilators,0,b49d7127-ec11-4033-8774-3d33a2965f1b,XCUBE Belt Drive Upblast Exhaust Fan ,XCUBE,Accurex,Accurex
b15de411-e7c5-49a5-be80-bdd99726b6cd,FAN SCHEDULE,ffdfa9ae-646b-4b9a-be71-a27ac033b886,KEF-1,70453ac9-069e-4574-9d1e-42bbfd7fb5a9,HVAC Power Ventilators,0,b49d7127-ec11-4033-8774-3d33a2965f1b,XCUBE Belt Drive Upblast Exhaust Fan ,XCUBE,Accurex,Accurex
b15de411-e7c5-49a5-be80-bdd99726b6cd,FAN SCHEDULE,1f99ce20-5e72-48e7-8239-9716502a4b66,EF-1,5f8252fe-6cc4-47a4-be5d-e9608420df5b,Centrifugal HVAC Fans,0,a2ff7d15-e7ed-40f7-9c94-9661cc1b659b,SQ Centrifugal Inline Fan,SQ,Greenheck,Greenheck
